"Name","Can reside in","Can reside in","Can reside in","Can reside in","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from"
"Name","ESP , URL: /wiki/EFI_System_partition
","MBR , URL: /wiki/Master_boot_record
","VBR , URL: /wiki/Volume_boot_record
","Floppy , URL: /wiki/Floppy
","Hard disk , URL: /wiki/Hard_disk
","Second Hard disk","Logical partitions , URL: /wiki/Logical_disk
","CD-ROM , URL: /wiki/CD-ROM
","Floppy , URL: /wiki/Floppy_disk
","USB , URL: /wiki/Universal_Serial_Bus
","Zip , URL: /wiki/Zip_drive
","LAN , URL: /wiki/Local_area_network
"
"Acronis OS Selector , URL: /wiki/Acronis_Disk_Director_Suite
","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"AiR-BOOT","?","Yes","No","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?"
"Barebox , URL: /wiki/Barebox
","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"BOOTBOOT","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"BootIt Bare Metal","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"BootKey , URL: /wiki/BootKey
","?","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No"
"BootManager , URL: /wiki/Bootmanager
","?","Yes","No","No","Yes","?","?","?","?","?","?","No"
"BootX (Apple) , URL: /wiki/BootX_(Apple)
","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"BootX (Linux) , URL: /wiki/BootX_(Linux)
","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Clover","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","Yes","?","No"
"Darwin Boot Loader","Yes","?","?","?","Yes","Yes","?","?","?","Yes","?","?"
"Das U-Boot , URL: /wiki/Das_U-Boot
","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"FreeBSD loader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"GAG , URL: /w/index.php?title=GAG_(boot_loader)&action=edit&redlink=1
","?","Yes (SafeBoot)","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"GRUB Legacy , URL: /wiki/GNU_GRUB
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GNU GRUB , URL: /wiki/GNU_GRUB
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Grub2Win , URL: /w/index.php?title=Grub2Win&action=edit&redlink=1
","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GRUB4DOS , URL: /wiki/GRUB4DOS
","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gujin","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"systemd-boot / Gummiboot , URL: /wiki/Gummiboot_(software)
","Yes","No","No","No","Yes","Yes","Yes","?","?","Yes","?","?"
"iBoot , URL: /wiki/IBoot_(Bootloader)
","Yes","?","?","?","Yes","?","?","No","?","?","?","?"
"LILO , URL: /wiki/LILO_(boot_loader)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Limine","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"loadlin , URL: /wiki/Loadlin
","?","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MasterBooter","?","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?"
"NTLDR , URL: /wiki/NTLDR
","?","No","Yes","Yes","Yes","?","No","No","Yes","Yes","?","?"
"OpenCore","Yes","Yes","?","?","Yes","Yes","?","No","?","Yes","?","No"
"OSL2000 Boot Manager","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"PLoP Boot Manager","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RedBoot , URL: /wiki/RedBoot
","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"rEFInd , URL: /wiki/REFInd
","Yes","No","No","No","Yes","Yes","?","Yes","?","Yes","?","Yes"
"rEFIt , URL: /wiki/REFIt
","Yes","No","No","No","Yes","Yes","?","No","?","Yes","?","No"
"Smart Boot Manager","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"SPFdisk , URL: /wiki/SPFdisk
","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?"
"SYSLINUX , URL: /wiki/SYSLINUX
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tianocore EDK II","?","No","No","No","Yes","Yes","?","Yes","?","Yes","No","Yes"
"Windows Boot Manager , URL: /wiki/Windows_Boot_Manager
","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"XOSL , URL: /wiki/XOSL
","?","No","No","Yes","Yes","Yes","Yes","Yes","?","No","?","No"
"FreeLoader , URL: /w/index.php?title=FreeLoader&action=edit&redlink=1
","?","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"Name","Can reside in","Can reside in","Can reside in","Can reside in","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from"
