"","Developer , URL: /wiki/Video_game_developer
","First release , URL: /wiki/Software_release_life_cycle#Release
","Latest release","License","Platform"
"Battle Chess","Interplay , URL: /wiki/Interplay_Entertainment
Silicon & Synapse , URL: /wiki/Silicon_%26_Synapse
","1988","1994","Commercial , URL: /wiki/Commercial_software
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Apple Inc. , URL: /wiki/Apple_Inc.
Amiga , URL: /wiki/Amiga
3DO , URL: /wiki/3DO_Interactive_Multiplayer
Acorn Archimedes , URL: /wiki/Acorn_Archimedes
Atari , URL: /wiki/Atari
Commodore 64 , URL: /wiki/Commodore_64
MS-DOS , URL: /wiki/MS-DOS
FM Towns , URL: /wiki/FM_Towns
NES , URL: /wiki/Nintendo_Entertainment_System
PC-98 , URL: /wiki/PC-98
Sharp X68000 , URL: /wiki/Sharp_X68000
"
"Battle Chess: Game of Kings","Interplay , URL: /wiki/Interplay_Entertainment
","2014","n/a","Commercial , URL: /wiki/Commercial_software
","Steam , URL: /wiki/Steam_(service)
"
"Battle vs. Chess","Targem Games , URL: /wiki/Targem_Games
Zuxxez Entertainment , URL: /wiki/Zuxxez_Entertainment
","2011","n/a","Commercial , URL: /wiki/Commercial_software
Topware Interactive , URL: /wiki/Topware_Interactive
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
Nintendo DS , URL: /wiki/Nintendo_DS
PlayStation 3 , URL: /wiki/PlayStation_3
PlayStation Portable , URL: /wiki/PlayStation_Portable
Xbox 360 , URL: /wiki/Xbox_360
Wii , URL: /wiki/Wii
"
"Chessaria: The Tactical Adventure","Pixel Wizards[2][3]","2018","n/a","Commercial , URL: /wiki/Commercial_software
","Steam , URL: /wiki/Steam_(service)
Microsoft Windows , URL: /wiki/Microsoft_Windows
Mac OS X , URL: /wiki/Mac_OS_X
"
"Chess Assistant","Victor Zakharov","1988","2018","Commercial , URL: /wiki/Commercial_software
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Chessbase","Mathias Feist , URL: /wiki/Mathias_Feist
","1987","2018","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Android , URL: /wiki/Android_(operating_system)
Steam , URL: /wiki/Steam_(service)
"
"Chessmaster","David Kittinger, Kathe and Dan Spracklen, Johan de Koning","1986","2007","Commercial , URL: /wiki/Commercial_software
Ubisoft , URL: /wiki/Ubisoft
","Microsoft Windows , URL: /wiki/Microsoft_Windows
MS-DOS , URL: /wiki/MS-DOS
PlayStation , URL: /wiki/PlayStation_(console)
Xbox 360 , URL: /wiki/Xbox_360
XBLA , URL: /wiki/Xbox_Live_Arcade
PSP , URL: /wiki/PlayStation_Portable
PS2 , URL: /wiki/PS2
"
"Chess Titans","Oberon Games , URL: /wiki/Oberon_Media
","2007","n/a","Included in Microsoft Windows Vista and 7","Windows Vista , URL: /wiki/Windows_Vista
Windows 7 , URL: /wiki/Windows_7
"
"ChessV","Gregory Strong","2009","n/a","GPL , URL: /wiki/GPL
","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Fritz","Mathias Feist , URL: /wiki/Mathias_Feist
Vasik Rajlich , URL: /wiki/Vasik_Rajlich
","1991","2018","Commercial , URL: /wiki/Commercial_software
Chessbase , URL: /wiki/Chessbase
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Steam , URL: /wiki/Steam_(service)
PlayStation 3 , URL: /wiki/PlayStation_3
Wii , URL: /wiki/Wii
Nintendo DS , URL: /wiki/Nintendo_DS
"
