"Software","Maintainer","Category","Development status","ArchitectureOCS","High-Performance , URL: /wiki/High-performance_computing
High-Throughput Computing , URL: /wiki/High-Throughput_Computing
","License , URL: /wiki/Software_license
","Platforms supported","Cost","Paid support available"
"Accelerator","Altair","Job Scheduler","actively developed","Master/worker distributed","HPC/HTC","Proprietary","Linux, Windows","Cost","Yes"
"Amoeba , URL: /wiki/Amoeba_distributed_operating_system
","","","No active development","","","MIT , URL: /wiki/MIT_license
","","",""
"Base One Foundation Component Library , URL: /wiki/Base_One_Foundation_Component_Library
","","","","","","Proprietary , URL: /wiki/Proprietary_software
","","",""
"DIET , URL: /wiki/DIET
","INRIA , URL: /wiki/Institut_national_de_recherche_en_informatique_et_en_automatique
","All in one","","GridRPC, SPMD, Hierarchical and distributed architecture, CORBA","HTC/HPC","CeCILL , URL: /wiki/CeCILL
","Unix-like , URL: /wiki/Unix-like
Mac OS X , URL: /wiki/Mac_OS_X
AIX , URL: /wiki/AIX
","Free",""
"Enduro/X , URL: /wiki/Enduro/X
","Mavimax, Ltd.","Job/Data Scheduler","actively developed","SOA Grid","HTC/HPC/HA","GPLv2 or Commercial","Linux, FreeBSD, MacOS, Solaris, AIX","Free / Cost","Yes"
"Ganglia , URL: /wiki/Ganglia_(software)
","","Monitoring","actively developed","","","BSD , URL: /wiki/BSD_license
","Unix , URL: /wiki/Unix
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","Free",""
"Globus Toolkit , URL: /wiki/Globus_Toolkit
","Globus Alliance, Argonne National Laboratory","Job/Data Scheduler","actively developed","SOA Grid","","","Linux","Free",""
"Grid MP , URL: /wiki/Grid_MP
","Univa , URL: /wiki/Univa
United Devices , URL: /wiki/United_Devices
","Job Scheduler","no active development","Distributed master/worker","HTC/HPC","Proprietary , URL: /wiki/Proprietary_software
","Windows, Linux, Mac OS X, Solaris","Cost",""
"Apache Mesos , URL: /wiki/Apache_Mesos
","Apache","","actively developed","","","Apache license , URL: /wiki/Apache_license
","Linux","Free","Yes"
"Moab Cluster Suite , URL: /wiki/Moab_Cluster_Suite
","Adaptive Computing","Job Scheduler","actively developed","","HPC","Proprietary , URL: /wiki/Proprietary_software
","Linux, Mac OS X, Windows, AIX, OSF/Tru-64, Solaris, HP-UX, IRIX, FreeBSD & other UNIX platforms","Cost","Yes"
