"Name","Implementation Language","Active; Passive [17]","Model[17]","Typical input","Other input","Typical output"
"Xomega.Net for Visual Studio","C#, XSL, XSD","Active","Mixed","User-defined models, XML","Templates, Import from DB","Complete Application - User Interface (HTML5, ASP.NET, WPF, SPA), Service Layer (REST, WCF), Business Layer (EF), DAL, DB scripts, Config files, VS project files"
"Acceleo , URL: /wiki/Acceleo
","Java","Active","Tier","EMF , URL: /wiki/Eclipse_Modeling_Framework
","Any EMF based input (Xtext DSLs, GMF graphical models, etc.)","Any textual language."
"Accelerator , URL: /wiki/Accelerator_(software)
","C#","Active","Tier","Database schema , URL: /wiki/Database_schema
","XML Schema, Templates and configuration tables","C#, WPF, ASP.NET, MVC, ASP.NET, WCF, WebServices(complete application)"
"actifsource , URL: /wiki/Actifsource
","Java","Active","Tier","User-defined Models","Import from UML, Ecore.","Any textual language."
"Adaptive Reuse Technique (vclang)","Java","Active","Tier","Templates","","Any text"
"aicodoo","Machine Learning , URL: /wiki/Machine_Learning
","Active","Mixed","Online-editor","Machine Learning , URL: /wiki/Machine_Learning
","All programming languages. Java in current showcase."
"any<code/>","Java","Active","Tier","User-defined models","Custom templates (Groovy)","Any textual language, depends on your template code. Built-in directives in Java, JPA, Objective-C added since v1.2.0"
"Appsroller Web Form Generator","JavaScript","Active","Web Tier","Any code","JavaScript",""
"Apeel PHP Code Generator Pro","Delphi","Passive","Tier","Database schema , URL: /wiki/Database_schema
","PHP, HTML, CSS","Full Application – PHP, CSS, Apeel Open Source Framework."
"AtomWeaver","C++, Lua","Active","Tier","Tree models built using a cooperative template system, based on the ABSE modeling approach","Code in any language","Any textual language"
"Bootify","Java, Kotlin","Passive","Tier","Database schema , URL: /wiki/Database_schema
","Existing SQL Schema","Spring Boot application with JPA/Hibernate entities, REST API"
"Catapult","C#, JavaScript, HTML","Active","Web Tier","Tree models built using Catapult UI","Templates","C#, JavaScript, HTML, CSS"
"Celerio","Java","Active","Tier","Database schema , URL: /wiki/Database_schema
","Custom templates (velocity)","Any textual language, but traditionally Java, HTML, XML, etc."
"Click2Code for windows","Visual Basic 6.0","Active","Mixed","User-defined Templates","Templates","User Interface"
"Code4Green","C#, VB.NET, ASP.NET, SharePoint, SQL, JAVA, classical ASP, HTML, XML","Active","Tier","","Code in C#, VB.NET, ASP.NET, SharePoint, SQL, JAVA, classical ASP, HTML, XML","Output determined by the selected language type. It is a plain text."
"Code-bay","PHP, Symfony","Active","Tier","Online swagger editor","","Symfony php code, Swagger definition file"
