"Shell","Usual environment","Usually invoked","Introduced","Platform-independent , URL: /wiki/Cross-platform
","Default login shell in","Default script shell in","License","Source code availability","User interface","Mouse support","Unicode , URL: /wiki/Unicode
","ISO 8601 , URL: /wiki/ISO_8601
","Console redirection , URL: /wiki/Console_redirection
","Stream , URL: /wiki/Standard_streams
redirection , URL: /wiki/Redirection_(computing)
","Configurability","Startup/shutdown scripts","Batch scripts","Logging","available as statically linked, independent single file executable"
"Thompson shell , URL: /wiki/Thompson_shell
","UNIX , URL: /wiki/Unix
","sh","1971","N/A","UNIX , URL: /wiki/Unix
","UNIX , URL: /wiki/Unix
","N/A","Yes","CLI , URL: /wiki/Command-line_interface
","No","No","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
"Bourne shell , URL: /wiki/Bourne_shell
","7th Ed. UNIX , URL: /wiki/Version_7_Unix
","sh","1977","Yes[1]","7th Ed. UNIX , URL: /wiki/Version_7_Unix
","7th Ed. UNIX , URL: /wiki/Version_7_Unix
","Proprietary[2]","Yes","CLI , URL: /wiki/Command-line_interface
","No","No","N/A","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Yes ( .profile)","Yes (Unix feature)","No","Yes"
"Bourne shell , URL: /wiki/Bourne_shell
","UNIX , URL: /wiki/Unix
","sh","1977","Yes[3]","SunOS-5.x, FreeBSD (non-root user)[4]","SunOS-5.x","CDDL , URL: /wiki/Common_Development_and_Distribution_License
","Yes","CLI , URL: /wiki/Command-line_interface
","No","Yes[nb 1][better source needed]","N/A","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Yes ( .profile)","Yes (Unix feature)","Yes[nb 2]","Yes"
"POSIX , URL: /wiki/POSIX
","POSIX , URL: /wiki/POSIX
","sh","1992[7]","N/A","N/A","POSIX , URL: /wiki/POSIX
","N/A","N/A","Text-based CLI","No","Yes, if used by configured locale","N/A","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Unspecified ( .profile given as an example)","Yes (Unix feature)","Yes","N/A"
"bash , URL: /wiki/Bash_(Unix_shell)
","POSIX , URL: /wiki/POSIX
","bash, sh","1989[8]","Yes","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux
Haiku , URL: /wiki/Haiku_(operating_system)
macOS , URL: /wiki/MacOS
","GPL , URL: /wiki/GPL
","Yes","Text-based CLI","No","Yes[9][better source needed]","Yes ( printf builtin)","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Yes ( /etc/profile, .bash_profile, .bash_login, .profile, .bashrc)","Yes (Unix feature)","Yes","Yes"
"csh , URL: /wiki/C_shell
","POSIX , URL: /wiki/POSIX
","csh","1978","Yes","SunOS , URL: /wiki/SunOS
","?","BSD , URL: /wiki/BSD_licenses
","Yes","Text-based CLI","No","No","?","Yes","Yes ( stdin, stdout, stdout+stderr)","Yes (via variables and options)","Yes ( ~/.cshrc, ~/.login, ~/.logout)","Yes (Unix feature)","Yes","Yes"
"tcsh , URL: /wiki/Tcsh
","POSIX , URL: /wiki/POSIX
","tcsh, csh","1983[10]","Yes","FreeBSD , URL: /wiki/FreeBSD
Mac OS X , URL: /wiki/Mac_OS_X
","?","BSD , URL: /wiki/BSD_licenses
","Yes","Text-based CLI","No","Yes","?","Yes","Yes ( stdin, stdout, stdout+stderr)","Yes (via variables and options)","Yes ( /etc/csh.cshrc, /etc/csh.login, ~/.tcshrc, ~/.cshrc, ~/.history, ~/.login, ~/.cshdirs)","Yes (Unix feature)","Yes","Yes"
"Hamilton C shell , URL: /wiki/Hamilton_C_shell
","Win32 , URL: /wiki/Win32
","csh","1988[11]","Yes (OS/2 version no longer maintained)","Optional","Optional","Proprietary , URL: /wiki/Proprietary_software
","No","Text-based CLI","No","No","Yes (-t timestamp operator)","Yes","Yes ( stdin, stdout, stdout+stderr)","Yes (via variables and options)","Yes (via login.csh, startup.csh and logout.csh)","Yes (command line option)","Yes","Yes"
"Scsh , URL: /wiki/Scsh
","POSIX , URL: /wiki/POSIX
","scsh","1994","Yes","?","?","BSD , URL: /wiki/BSD_licenses
","Yes","?","?","?","?","?","Yes","?","?","?","?","Yes"
"ksh , URL: /wiki/Korn_Shell
","POSIX , URL: /wiki/POSIX
","ksh","1983[12][13]","Yes","AIX , URL: /wiki/AIX
HP-UX , URL: /wiki/HP-UX
","OpenSolaris , URL: /wiki/OpenSolaris
","Common Public License , URL: /wiki/Common_Public_License
","Yes","Text-based CLI","No","Yes","Yes ( printf builtin with %(%F)T[14])","Yes","Yes ( fds up to 9)[14]","Yes (via variables and options)","Yes (system and user's profile and kshrc)","Yes (Unix feature)","Yes","Yes"
"pdksh , URL: /wiki/Pdksh
","POSIX , URL: /wiki/POSIX
","ksh, sh","1989?","Yes","OpenBSD , URL: /wiki/OpenBSD
","OpenBSD , URL: /wiki/OpenBSD
","Public Domain , URL: /wiki/Public_Domain
","Yes","Text-based CLI","No","No","N/A","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Yes ( /etc/profile, .profile)","Yes (Unix feature)","Yes","Yes"
"zsh , URL: /wiki/Zsh
","POSIX , URL: /wiki/POSIX
","zsh","1990","Yes","Deepin , URL: /wiki/Deepin
GoboLinux , URL: /wiki/GoboLinux
Grml , URL: /wiki/Grml
macOS , URL: /wiki/MacOS
","Grml , URL: /wiki/Grml
macOS , URL: /wiki/MacOS
","MIT , URL: /wiki/MIT_license
","Yes","Text-based CLI","via additional code[16]","Yes","Yes (various internal features involving the date, by using the %F strftime format[17] and the -i option for the fc builtin[18])","Yes","Yes ( fds up to 9)[19]","Yes (via variables, options, functions, styles, etc.)","Yes (system and user's zshenv, zprofile, zshrc, zlogin, zlogout)","Yes (Unix feature)","Yes","Yes"
"ash , URL: /wiki/Almquist_shell
","POSIX , URL: /wiki/POSIX
","sh","1989","Yes","Minix , URL: /wiki/Minix
BusyBox , URL: /wiki/BusyBox
","NetBSD , URL: /wiki/NetBSD
Minix , URL: /wiki/Minix
BusyBox , URL: /wiki/BusyBox
","BSD , URL: /wiki/BSD_licenses
","Yes","Text-based CLI","No","Partial (for BusyBox, supported in command-line editing, but not in string handling[20])","N/A","Yes","Yes (arbitrary fds[citation needed])","Yes (via variables and options)","Yes ( /etc/profile, .profile)","Yes (Unix feature)","Yes","Yes"
"CCP , URL: /wiki/CCP_(CP/M)
","CP/M , URL: /wiki/CP/M
MP/M , URL: /wiki/MP/M
","(CCP)","1976 (1974)","No","CP/M , URL: /wiki/CP/M
MP/M , URL: /wiki/MP/M
","CP/M , URL: /wiki/CP/M
MP/M , URL: /wiki/MP/M
","Freeware (originally proprietary)","Yes (originally closed-source)","CLI , URL: /wiki/Command-line_interface
","No","No","No","No","No","No","Yes (automatic via $$$.SUB)","Partial (only via external SUBMIT command to update $$$.SUB)","No","Yes"
"COMMAND.COM , URL: /wiki/COMMAND.COM
","DOS , URL: /wiki/DOS
","COMMAND , URL: /wiki/COMMAND_(DOS_command)
","1980","No (3rd party implementations, not bound to a specific DOS vendor or version, available)","DOS , URL: /wiki/DOS
Windows 95 , URL: /wiki/Windows_95
98 , URL: /wiki/Windows_98
SE , URL: /wiki/Windows_98_SE
ME , URL: /wiki/Windows_ME
","DOS , URL: /wiki/DOS
Windows 95 , URL: /wiki/Windows_95
98 , URL: /wiki/Windows_98
SE , URL: /wiki/Windows_98_SE
ME , URL: /wiki/Windows_ME
","MS , URL: /wiki/Microsoft
EULA , URL: /wiki/Software_license_agreement
BSD , URL: /wiki/BSD
GPL , URL: /wiki/GPL
","No (except for OpenDOS, DR-DOS, PTS/DOS and FreeDOS)","Text-based CLI","No","No","No (except for DR-DOS)","Yes (via COMMAND con: or CTTY con:)","Yes ( stdin, stdout)","Yes (via startup parameters and environment variables, DR-DOS also supports DIR /C /R user-default switch command)","Yes (automatic \AUTOEXEC.BAT for primary shell, or explicitly via /P, /P:filename.bat or /K startup options)","Yes (via CALL command or /C and /K startup options)","No","Yes"
"CMD.EXE , URL: /wiki/CMD.EXE_(OS/2)
","OS/2 , URL: /wiki/OS/2
eComStation , URL: /wiki/EComStation
ArcaOS , URL: /wiki/ArcaOS
","CMD , URL: /wiki/CMD_(OS/2_command)
","1987","No","OS/2 , URL: /wiki/OS/2
eComStation , URL: /wiki/EComStation
ArcaOS , URL: /wiki/ArcaOS
","OS/2 , URL: /wiki/OS/2
eComStation , URL: /wiki/EComStation
ArcaOS , URL: /wiki/ArcaOS
","IBM , URL: /wiki/IBM
EULA , URL: /wiki/Software_license_agreement
","No","Text-based CLI","No","No","No","No","Yes ( stdin, stdout, stderr)","?","Partial (only via /K startup option)","Yes (via CALL command or /C and /K startup options)","No","Yes"
