"Format","Filename extension , URL: /wiki/Filename_extension
","Owner or creator","Initial release","License[a]","VBR , URL: /wiki/Variable_bit_rate
","VFR , URL: /wiki/Variable_frame_rate
","Hardware players","Streaming , URL: /wiki/Streaming_media
","Metadata , URL: /wiki/Metadata
","Chapters","Attachments[C]","menus , URL: /wiki/Menu_(computing)
","3D , URL: /wiki/Digital_3D
"
"Matroska , URL: /wiki/Matroska
",".mkv, .mk3d[E]","CoreCodec[F]","2002-12-06","Freely licensed[G]","Yes[H]","Yes[H]","Yes[I]","Yes[J]","Yes[13]","Yes[14]","Yes[15]","Planned[16]","Yes[15]"
"MPEG-4 Part 14 , URL: /wiki/MPEG-4_Part_14
",".mp4, m4v[K]","MPEG , URL: /wiki/MPEG
","2001-10","Patent encumbered[17]","Yes","Yes","Yes","Yes","Yes","Not standard[L]","Yes","Yes","Only at video format level"
"QuickTime File Format , URL: /wiki/QuickTime_File_Format
",".mov, .qt","Apple Inc. , URL: /wiki/Apple_Inc.
","1991-12-02","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not standard"
"Advanced Systems Format , URL: /wiki/Advanced_Systems_Format
",".asf, .wmv[M]","Microsoft , URL: /wiki/Microsoft
","1996-09-16","Royalties on codecs[N]","Yes","Yes","Yes","Yes[22]","Yes","Yes","No","No","Not standard"
"Audio Video Interleave , URL: /wiki/Audio_Video_Interleave
",".avi","Microsoft , URL: /wiki/Microsoft
","1992-11-10","Proprietary , URL: /wiki/Proprietary_software
","Yes[O]","Yes[P]","Yes","No","Yes","Needs alterations","No","No","No"
"Material Exchange Format , URL: /wiki/Material_Exchange_Format
",".mxf","SMPTE , URL: /wiki/Society_of_Motion_Picture_and_Television_Engineers
","2004-09-22","Patent-free[24]","Yes","Yes","No","Yes[24]","Yes","No","No","No","Yes[25]"
"MPEG program stream , URL: /wiki/MPEG_program_stream
",".m2p, .ps[Q]","MPEG , URL: /wiki/MPEG
","1993-08","Patent-free[26]","Yes","Yes[R]","Yes","No","No","No","No","No","No"
"MPEG transport stream , URL: /wiki/MPEG_transport_stream
",".ts, .tsv[S][Q]","MPEG , URL: /wiki/MPEG
","1995-07-10","Patent-free[26]","Yes","Yes","Yes","Yes","No","No","No","No","No"
"M2TS , URL: /wiki/.m2ts
",".m2ts, .mts","BDA , URL: /wiki/Blu-ray_Disc_Association
","2004-08","Patent encumbered","Yes","Yes","Yes","DVB , URL: /wiki/Digital_Video_Broadcasting
","Needs multiple files[T]","Needs multiple files[U]","Needs multiple files[V]","Yes","Needs multiple files[W]"
"VOB , URL: /wiki/VOB
",".vob","DVD Forum , URL: /wiki/DVD_Forum
","1996-11-01","Patent encumbered","Yes","Yes","Yes","No","No","Needs multiple files[X]","No","Needs multiple files[X]","No"
"Enhanced VOB , URL: /wiki/Enhanced_VOB
",".evo","DVD Forum , URL: /wiki/DVD_Forum
","2006-03-31","Patent encumbered[29]","Yes","Yes","Yes","No","No","Needs multiple files[Y]","No","Yes","No"
"3GPP , URL: /wiki/3GP_and_3G2
",".3gp","3GPP , URL: /wiki/3GPP
","2003-04-04","Patent encumbered","Yes","Yes","Yes","Yes[31]","Yes","No","No","No","No"
"3GPP2 , URL: /wiki/3GP_and_3G2
",".3g2","3GPP2 , URL: /wiki/3rd_Generation_Partnership_Project_2
","2004-01","Patent encumbered","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Flash Video , URL: /wiki/Flash_Video
",".f4v[Z]","Adobe Inc. , URL: /wiki/Adobe_Inc.
","2007-12-03","Patent encumbered","Yes","Yes","Yes","Yes","Yes","Yes[32]","No","No","No"
"Flash Video , URL: /wiki/Flash_Video
",".flv","Adobe Inc. , URL: /wiki/Adobe_Inc.
","2003-09-10","Proprietary , URL: /wiki/Proprietary_software
","Yes[AA]","Yes","Yes","RTMP , URL: /wiki/Real-Time_Messaging_Protocol
","Yes","Yes[32]","No","No","No"
"Ogg , URL: /wiki/Ogg
",".ogv, .ogx[AB]","Xiph.Org , URL: /wiki/Xiph.Org_Foundation
","2003-05","Open source[38]","Yes","Yes","Yes","Yes[39]","Yes[40]","Vorbis comments , URL: /wiki/Vorbis_comment
","No","No","No"
"WebM , URL: /wiki/WebM
",".webm","Google , URL: /wiki/Google
","2010-05-18","Royalty-free[42]","Yes","Yes","Yes","Yes","Yes[43]","Yes[43]","No[43]","No[43]","Yes[AD]"
"RMVB , URL: /wiki/RMVB
",".rmvb","RealNetworks , URL: /wiki/RealNetworks
","2003","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes[44]","No","No","No","No"
"DivX Media Format , URL: /wiki/DivX_Media_Format
",".divx","DivX, Inc. , URL: /wiki/DivX,_Inc.
","2005-06-15","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
