"Tool","Creator","Target Business Size","License , URL: /wiki/Software_license
","Supported Database Platforms","Supported OSs","Standalone or bundled into a larger toolkit","Launch Date"
"Astah , URL: /wiki/Astah
","Change Vision , URL: /w/index.php?title=Change_Vision&action=edit&redlink=1
","Enterprises","Proprietary , URL: /wiki/Proprietary_software
","MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_database
","Windows, macOS, Linux","Standalone","2006"
"Database Workbench , URL: /wiki/Database_Workbench
","Upscene Productions","SMBs and enterprises","Proprietary , URL: /wiki/Proprietary_software
","MS SQL Server , URL: /wiki/MS_SQL_Server
MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_database
Firebird , URL: /wiki/Firebird_(database_server)
InterBase , URL: /wiki/InterBase
SQL Anywhere , URL: /wiki/SQL_Anywhere
NexusDB , URL: /wiki/NexusDB
MariaDB , URL: /wiki/MariaDB
","Windows, Linux and FreeBSD (both through Wine)","Standalone","2001"
"Enterprise Architect , URL: /wiki/Enterprise_Architect_(software)
","Sparx Systems , URL: /wiki/Sparx_Systems
","SMBs and enterprises","Proprietary , URL: /wiki/Proprietary_software
","IBM DB2 , URL: /wiki/IBM_DB2
Firebird , URL: /wiki/Firebird_(database_server)
InterBase , URL: /wiki/InterBase
Informix , URL: /wiki/Informix
Ingres , URL: /wiki/Ingres_(database)
Access , URL: /wiki/Microsoft_Access
MS SQL Server , URL: /wiki/MS_SQL_Server
MySQL , URL: /wiki/MySQL
SQLite , URL: /wiki/SQLite
Oracle , URL: /wiki/Oracle_database
PostgreSQL , URL: /wiki/PostgreSQL
Sybase , URL: /wiki/Sybase
","CrossOver , URL: /wiki/CrossOver_(software)
","Data modeling is supported as part of a complete modeling platform.","2000"
"ER/Studio , URL: /wiki/ER/Studio
","Embarcadero (acquired by IDERA) , URL: /wiki/Embarcadero_Technologies
","SMBs and enterprises","Proprietary , URL: /wiki/Proprietary_software
","Access , URL: /wiki/Microsoft_Access
Snowflake , URL: /wiki/Snowflake_Inc.
Microsoft Azure , URL: /wiki/Microsoft_Azure
IBM DB2 , URL: /wiki/IBM_DB2
Informix , URL: /wiki/Informix
Firebird , URL: /wiki/Firebird_(database_server)
Interbase , URL: /wiki/Interbase
MySQL , URL: /wiki/MySQL
MS SQL Server , URL: /wiki/MS_SQL_Server
Netezza , URL: /wiki/Netezza
Oracle , URL: /wiki/Oracle_database
PostgreSQL , URL: /wiki/PostgreSQL
Sybase , URL: /wiki/Sybase
Teradata , URL: /wiki/Teradata
Visual Foxpro , URL: /wiki/Visual_FoxPro
","Windows","Standalone","1998"
"Erwin Data Modeler , URL: /wiki/Erwin_Data_Modeler
","Logic Works (now Quest)","SMBs and enterprises","Proprietary , URL: /wiki/Proprietary_software
","Access , URL: /wiki/Microsoft_Access
IBM DB2 , URL: /wiki/IBM_DB2
Informix , URL: /wiki/Informix
MySQL , URL: /wiki/MySQL
MS SQL Server , URL: /wiki/MS_SQL_Server
Netezza , URL: /wiki/Netezza
Oracle , URL: /wiki/Oracle_database
PostgreSQL , URL: /wiki/PostgreSQL
Sybase , URL: /wiki/Sybase
","Windows","Standalone","1998"
"MagicDraw , URL: /wiki/MagicDraw
","No Magic , URL: /wiki/No_Magic
","Enterprises, SMBs, personal","Proprietary , URL: /wiki/Proprietary_software
","MS SQL Server , URL: /wiki/MS_SQL_Server
Oracle , URL: /wiki/Oracle_database
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
IBM DB2 , URL: /wiki/IBM_DB2
","Windows, Linux, macOS","Standalone","1995"
"SQL Server Management Studio , URL: /wiki/SQL_Server_Management_Studio
","Microsoft , URL: /wiki/Microsoft
","Unknown","Proprietary , URL: /wiki/Proprietary_software
","MS SQL Server , URL: /wiki/MS_SQL_Server
","Windows","Standalone","2005"
"ModelRight , URL: /wiki/ModelRight
","ModelRight , URL: /wiki/ModelRight
","Enterprises, SMBs, personal","Proprietary , URL: /wiki/Proprietary_software
","Access , URL: /wiki/Microsoft_Access
MS SQL Server , URL: /wiki/MS_SQL_Server
Oracle , URL: /wiki/Oracle_database
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
IBM DB2 , URL: /wiki/IBM_DB2
","Windows","Standalone","2005"
"MySQL Workbench , URL: /wiki/MySQL_Workbench
","MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_Corporation
","SMBs - personal","Proprietary , URL: /wiki/Proprietary_software
GPL , URL: /wiki/GNU_General_Public_License
","MySQL , URL: /wiki/MySQL
","Linux, Windows, macOS","Standalone","2006"
"Navicat , URL: /wiki/Navicat
","PremiumSoft","SMBs and enterprises","Proprietary , URL: /wiki/Proprietary_software
","MySQL , URL: /wiki/MySQL
MS SQL Server , URL: /wiki/MS_SQL_Server
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_database
SQLite , URL: /wiki/SQLite
","Windows, macOS, Linux","Standalone","2012"
"NORMA , URL: /wiki/NORMA_(software_modeling_tool)
","Terry Halpin","SMBs and enterprises","CPL , URL: /wiki/Open_Source
","MySQL , URL: /wiki/MySQL
MS SQL Server , URL: /wiki/MS_SQL_Server
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_Database
DB2 , URL: /wiki/IBM_Db2
","Windows","Visual Studio Extension","2005"
"Open ModelSphere , URL: /wiki/Open_ModelSphere
","Grandite","Enterprises - SMBs - personal","GNU GPL3 , URL: /wiki/Open_source
","MS SQL Server , URL: /wiki/MS_SQL_Server
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_Database
DB2 , URL: /wiki/IBM_DB2
","Windows, macOS, Linux","Standalone with Data, UML, and process modeling","2008"
"Oracle SQL Developer , URL: /wiki/Oracle_SQL_Developer
","Oracle , URL: /wiki/Oracle_Corporation
","Enterprises","Proprietary , URL: /wiki/Proprietary_software
","Oracle , URL: /wiki/Oracle_database
MS SQL Server , URL: /wiki/MS_SQL_Server
IBM DB2 , URL: /wiki/IBM_DB2
","Cross-platform","Standalone","2009"
