"Tools","User Interface , URL: /wiki/User_Interface
","Create & Alter wizard","Create & Alter wizard","Create & Alter wizard","Create & Alter wizard","Browse , URL: /wiki/User_interface
","Browse , URL: /wiki/User_interface
","Browse , URL: /wiki/User_interface
","Browse , URL: /wiki/User_interface
","Auto Completion","Syntax colored","Multi server support","Monitoring server"
"Tools","User Interface , URL: /wiki/User_Interface
","Database , URL: /wiki/Database
","Table , URL: /wiki/Table_(database)
","Procedure","Trigger , URL: /wiki/Database_trigger
","Database , URL: /wiki/Database
","Table , URL: /wiki/Table_(database)
","Procedure","Trigger , URL: /wiki/Database_trigger
","Auto Completion","Syntax colored","Multi server support","Monitoring server"
"Adminer , URL: /wiki/Adminer
","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"Altova DatabaseSpy , URL: /wiki/DatabaseSpy
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DaDaBIK","Browser-based","No","Some[note 1]","No","No","No","Some[note 2]","No","No","No","No","No","?"
"Database Workbench , URL: /wiki/Database_Workbench
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DataGrip , URL: /wiki/DataGrip
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"DBeaver , URL: /wiki/DBeaver
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DBEdit , URL: /wiki/DBEdit
","desktop","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","?"
"DbVisualizer , URL: /w/index.php?title=DbVisualizer&action=edit&redlink=1
","desktop / CLI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Epictetus , URL: /wiki/Epictetus_Database_Client
","desktop","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Microsoft SQL Server Management Studio , URL: /wiki/SQL_Server_Management_Studio
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"ModelRight , URL: /wiki/ModelRight
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"MySQL Workbench , URL: /wiki/MySQL_Workbench
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some"
"Navicat , URL: /wiki/Navicat
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Navicat Data Modeler , URL: /wiki/Navicat
","desktop","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","?"
"Oracle Enterprise Manager , URL: /wiki/Oracle_Enterprise_Manager
","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Oracle SQL Developer , URL: /wiki/Oracle_SQL_Developer
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Orbada , URL: /wiki/Orbada
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"pgAdmin , URL: /wiki/PgAdmin_III
","TDI , URL: /wiki/Tabbed_document_interface
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some"
"phpLiteAdmin , URL: /wiki/PhpLiteAdmin
","Browser-based","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?"
"phpMyAdmin , URL: /wiki/PhpMyAdmin
","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SQL Database Studio , URL: /wiki/SQL_Database_Studio
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SQLyog , URL: /wiki/SQLyog
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"SQuirreL SQL , URL: /wiki/SQuirreL_SQL
","desktop","?","?","?","?","Yes","Yes","?","?","Yes","Yes","Some","?"
"Toad , URL: /wiki/Toad_(software)
","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Toad Data Modeler , URL: /wiki/Toad_Data_Modeler
","desktop","Yes","Yes","Yes","Yes","Some","Some","Some","Some","No","Yes","?","?"
"TOra , URL: /wiki/TOra
","desktop","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
