"Desktop publishing software","Windows , URL: /wiki/Microsoft_Windows
","Mac OS (X) , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","UNIX , URL: /wiki/UNIX
","Other"
"Apache OpenOffice Writer , URL: /wiki/Apache_OpenOffice_Writer
","Yes","Yes","Yes","Yes","Yes","No"
"Collabora Online , URL: /wiki/Collabora_Online
","Yes","Yes","Yes","Yes","Yes","Android, Chrome OS, iOS, iPadOS. All with a modern web browser"
"CorelDRAW , URL: /wiki/CorelDRAW
","Yes","supported versions<11","No","No","No","No"
"Fatpaint , URL: /wiki/Fatpaint
","Yes","Yes","Yes","No","No","No"
"Flare , URL: /wiki/Flare
","Yes","No","No","No","No","No"
"FrameMaker , URL: /wiki/FrameMaker
","Yes","supported versions<7","No","No","supported versions<8","No"
"InDesign , URL: /wiki/InDesign
","Yes","Yes","No","No","No","No"
"InPage , URL: /wiki/InPage
","Yes","No","No","No","No","No"
"iStudio Publisher , URL: /wiki/IStudio_Publisher
","No","Yes","No","No","No","No"
"LibreOffice , URL: /wiki/LibreOffice
","Yes","Yes","Yes","Yes","Yes","OpenIndiana , URL: /wiki/OpenIndiana
"
"LyX , URL: /wiki/LyX
","Yes","Yes","Yes","Yes","Yes","OS/2 , URL: /wiki/OS/2
"
"Microsoft Publisher , URL: /wiki/Microsoft_Publisher
","Yes","No","No","No","No","No"
"PageMaker , URL: /wiki/PageMaker
","Yes","Yes","No","No","No","No"
"PagePlus , URL: /wiki/PagePlus
","Yes","No","No","No","No","No"
"Pages , URL: /wiki/Pages_(iWork)
","No","Yes","No","No","No","No"
"PageStream , URL: /wiki/PageStream
","Yes","Yes","Yes","No","No","AmigaOS , URL: /wiki/AmigaOS
MorphOS , URL: /wiki/MorphOS
"
"QuarkXPress , URL: /wiki/QuarkXPress
","Yes","Yes","No","No","No","No"
"Ready,Set,Go! , URL: /wiki/Ready,Set,Go!
","Yes","Yes","No","No","No","No"
"Scribus , URL: /wiki/Scribus
","Yes","Yes","Yes","Yes","Yes","OS/2 , URL: /wiki/OS/2
ArcaOS , URL: /wiki/ArcaOS
eComStation , URL: /wiki/EComStation
OpenIndiana , URL: /wiki/OpenIndiana
Solaris , URL: /wiki/Solaris_(operating_system)
Haiku , URL: /wiki/Haiku_(operating_system)
"
"The Print Shop , URL: /wiki/The_Print_Shop
","Yes","Yes","No","No","No","No"
"Ventura , URL: /wiki/Corel_Ventura
","Yes","No","No","No","No","No"
"Desktop publishing software","Windows , URL: /wiki/Microsoft_Windows
","Mac OS (X) , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","UNIX , URL: /wiki/UNIX
","Other"
