"Level","Sensor","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020"
"Level","Sensor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Professional","Full frame","","","","","","","","","","","","","","","","","","","","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","α900 , URL: /wiki/Sony_Alpha_900
","","","","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","α99 II","",""
"Professional","Full frame","","","","","","","","","","","","","","","","","","","","","","","","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","α850 , URL: /wiki/Sony_Alpha_850
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"High-end","APS-C","","","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","DG-7D","","","","","","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","α700 , URL: /wiki/Sony_%CE%B1700
","","","","","","","","","α77","α77","α77","α77","α77","α77","α77","α77","α77","α77","α77","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","α77 II","",""
"Midrange","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","α65","α65","α65","α65","α65","α65","α65","α65","α65","α65","α65","α65","","","","","","","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","α68","",""
"Upper-entry","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","α55","α55","α55","α55","α55","α55","α55","α57","α57","α57","α57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper-entry","APS-C","","","","","","","","","","","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","α100 , URL: /wiki/Sony_Alpha_100
","","","","","","α550 , URL: /wiki/Sony_Alpha_550
","α550 , URL: /wiki/Sony_Alpha_550
","α550 , URL: /wiki/Sony_Alpha_550
","α550 , URL: /wiki/Sony_Alpha_550
","α580","α580","α580","α580","α580","α580","α580","","","","","","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","α58","","","","","","","","","","","","","",""
"Upper-entry","APS-C","","","","","","","DG-5D , URL: /wiki/Konica_Minolta_DG-5D
","DG-5D , URL: /wiki/Konica_Minolta_DG-5D
","DG-5D , URL: /wiki/Konica_Minolta_DG-5D
","","","","","","","","","","","","","","α500 , URL: /wiki/Sony_Alpha_500
","α500 , URL: /wiki/Sony_Alpha_500
","α500 , URL: /wiki/Sony_Alpha_500
","α500 , URL: /wiki/Sony_Alpha_500
","α560","α560","α560","α560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper-entry","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","α450 , URL: /w/index.php?title=Sony_%CE%B1450&action=edit&redlink=1
","α450 , URL: /w/index.php?title=Sony_%CE%B1450&action=edit&redlink=1
","α450 , URL: /w/index.php?title=Sony_%CE%B1450&action=edit&redlink=1
","α450 , URL: /w/index.php?title=Sony_%CE%B1450&action=edit&redlink=1
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
