"","OMF , URL: /wiki/OMFI
","AAF , URL: /wiki/Advanced_Authoring_Format
","MIDI , URL: /wiki/Musical_Instrument_Digital_Interface
","WAV , URL: /wiki/WAV
","MP3 , URL: /wiki/MP3
","AAC , URL: /wiki/Advanced_Audio_Coding
","Ogg , URL: /wiki/Ogg
","REX2 , URL: /wiki/REX2
","AIFF , URL: /wiki/AIFF
","FLAC , URL: /wiki/FLAC
","Others"
"Acoustica , URL: /wiki/Acoustica_(software)
","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","W64"
"Ardour , URL: /wiki/Ardour_(audio_processor)
","No[4]","No[5]","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes","W64, libsndfile library formats[6]"
"Audacity , URL: /wiki/Audacity_(audio_editor)
","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","AMR"
"AudioDesk , URL: /wiki/AudioDesk
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","SDII , URL: /wiki/Digidesign#Sound_Designer_file_formats
"
"Audiotool , URL: /wiki/Audiotool
","No","No","No","Import","Export","No","Export","No","No","No",""
"Audition , URL: /wiki/Adobe_Audition
","Yes","Unknown","No (unsupported since CS5)","Yes","Yes","Yes","Yes","No","Yes","Yes","AU, IFF, RAW/PCM, SMP, VOC, VOX, WMA"
"BIAS Peak , URL: /wiki/BIAS_Peak
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Bitwig Studio , URL: /wiki/Bitwig_Studio
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Cakewalk by BandLab , URL: /wiki/Cakewalk_by_BandLab
","Yes","No","Yes","Yes","Yes","Import","Yes","Yes","Yes","Yes","W64, CAF, SDII, AU, SND, DSF, DFF, RCY, ASF, WMA, WMV"
"Cubase , URL: /wiki/Steinberg_Cubase
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","WMA, W64"
"Diamond Cut ART , URL: /wiki/Diamond_Cut_Audio_Restoration_Tools
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Digital Performer , URL: /wiki/Digital_Performer
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","SDII (native)"
