"null","null","null","null","null","null","null","null","null"
"Java","Apache License 2.0","HDFS, FUSE, HTTP/REST, S3","hot standby","No","Replication[1]","File[2]","2013",""
"C++","LGPL","librados (C, C++, Python, Ruby), S3, Swift, FUSE","Yes","Yes","Pluggable erasure codes[3]","Pool[4]","2010","1 per TB of storage"
"C","GPL","C","Yes","Yes","Replication","Volume[5]","1987",""
"C","GPLv3","libglusterfs, FUSE, NFS, SMB, Swift, libgfapi","mirror","Yes","Reed-Solomon[6]","Volume[7]","2005",""
"Java","Apache License 2.0","Java and C client, HTTP, FUSE[8]","transparent master failover","No","Reed-Solomon[9]","File[10]","2005",""
"Go","Apache 2.0 or MIT","HTTP gateway, FUSE, Go client, Javascript client, command line tool","Yes","with IPFS Cluster","Replication[11]","Block[12]","2015[13]",""
"Go","AGPLv3","POSIX, FUSE, HDFS, S3","Yes","No","Reed-Solomon","Object","2021",""
"Go","GPLv3","HTTP(REST), CLI, C# Client, Go Client","Yes","","Replication","","2020",""
"C++","GPLv3","POSIX, FUSE, NFS-Ganesha, Ceph FSAL (via libcephfs)","master","No","Reed-Solomon[14]","File[15]","2013",""
"C","GPLv2","POSIX, NFS-Ganesha, NFS, SMB","Yes","Yes","No redundancy[16]","No redundancy[17]","2003",""
"Go","AGPL3.0","AWS S3 API","Yes","Yes","Reed-Solomon[18]","Object[19]","2014",""
"C","GPLv2","POSIX, FUSE","master","No","Replication[20]","File[21]","2008",""
"C","IBM Public License","Virtual file system, Installable File System","","","Replication","Volume[22]","2000 [23]",""
"C","AGPLv3 / LGPLv3","Native (Python, C, Java), HTTP/REST, S3, Swift, FUSE (POSIX, NFS, SMB, FTP)","Yes","","Pluggable erasure codes[25]","Object[26]","2015","0.5"
"C, C++","MIT","libori, FUSE","","","Replication","Filesystem[28]","2012",""
"C","Apache License 2.0","C++ client, FUSE (C++ server: MetaServer and ChunkServer are both in C++)","master","No","Reed-Solomon[29]","File[30]","2012",""
"C, Python","GPLv2","FUSE, SMB, NFS, key/value","Yes","","Mojette[31]","Volume[32]","2011[33]",""
"Go, Java","Apache License 2.0","HTTP (REST), POSIX, FUSE, S3, HDFS","requires CockroachDB, undocumented config","","Reed-Solomon[34]","Volume[35]","2015",""
"Python","GNU GPL[36]","HTTP (browser or CLI), SFTP, FTP, FUSE via SSHFS, pyfilesystem","","","Reed-Solomon[37]","File[38]","2007",""
"Java, C++","BSD License","libxtreemfs (Java, C++), FUSE","","","Replication[39]","File[40]","2009",""
