"Language , URL: /wiki/Markup_language
","First public release date","Creator","Editor","Viewer , URL: /wiki/File_viewer
"
"AsciiDoc , URL: /wiki/AsciiDoc
","2002","Stuart Rackham","Text editor , URL: /wiki/Text_editor
","XHTML , URL: /wiki/XHTML
HTML , URL: /wiki/HTML
DocBook , URL: /wiki/DocBook
PDF , URL: /wiki/PDF
EPUB , URL: /wiki/EPUB
DVI , URL: /wiki/Device_independent_file_format
LaTeX , URL: /wiki/LaTeX
roff , URL: /wiki/Roff_(computer_program)
PostScript , URL: /wiki/PostScript
"
"Computable Document Format , URL: /wiki/Computable_Document_Format
","2010","Wolfram Research , URL: /wiki/Wolfram_Research
","Wolfram Language , URL: /wiki/Wolfram_Language
Mathematica , URL: /wiki/Mathematica
","CDF Player , URL: /wiki/CDF_Player
"
"Creole , URL: /wiki/Creole_(markup)
","2007","","Text editor , URL: /wiki/Text_editor
","HTML , URL: /wiki/HTML
RTF , URL: /wiki/Rich_Text_Format
LaTeX , URL: /wiki/LaTeX
MFC , URL: /wiki/Microsoft_Foundation_Class_Library
"
"Darwin Information Typing Architecture (DITA) , URL: /wiki/Darwin_Information_Typing_Architecture
","2005","OASIS , URL: /wiki/OASIS_(organization)
","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
","HTML , URL: /wiki/HTML
PDF , URL: /wiki/Portable_Document_Format
CHM , URL: /wiki/Microsoft_Compiled_HTML_Help
javadoc , URL: /wiki/Javadoc
"
"DocBook , URL: /wiki/DocBook
","1992","The Davenport Group , URL: https://web.archive.org/web/20050923154045/http://docbook.org/oasis/intro.html
OASIS , URL: /wiki/OASIS_(organization)
","XML editor , URL: /wiki/XML_editor
","HTML , URL: /wiki/HTML
PDF , URL: /wiki/Portable_Document_Format
CHM , URL: /wiki/Microsoft_Compiled_HTML_Help
javadoc , URL: /wiki/Javadoc
"
"Encoded Archival Description (EAD) , URL: /wiki/Encoded_Archival_Description
","1998","Berkeley Project , URL: https://www.loc.gov/ead/eaddev.html
","Text editor , URL: /wiki/Text_editor
","Web browser , URL: /wiki/Web_browser
"
"Extensible HyperText Markup Language (XHTML) , URL: /wiki/XHTML
","2000 (January 26)","W3C , URL: /wiki/W3C
","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
HTML editor , URL: /wiki/HTML_editor
","Web browser , URL: /wiki/Web_browser
"
"HyperText Markup Language (HTML) , URL: /wiki/HTML
","1993","Tim Berners-Lee , URL: /wiki/Tim_Berners-Lee
","Text editor , URL: /wiki/Text_editor
HTML editor , URL: /wiki/HTML_editor
","Web browser , URL: /wiki/Web_browser
"
"LilyPond , URL: /wiki/GNU_LilyPond
","1996","Han-Wen Nienhuys , URL: /wiki/Han-Wen_Nienhuys
Jan Nieuwenhuizen , URL: /wiki/Jan_Nieuwenhuizen
","Text editor , URL: /wiki/Text_editor
Scorewriter , URL: /wiki/Scorewriter
","DVI , URL: /wiki/DVI_file_format
PDF , URL: /wiki/Portable_Document_Format
PostScript , URL: /wiki/PostScript
PNG , URL: /wiki/Portable_Network_Graphics
"
"Maker Interchange Format (MIF) , URL: /wiki/Maker_Interchange_Format
","1986","Frame Technology , URL: /wiki/Adobe_FrameMaker
Adobe Systems , URL: /wiki/Adobe_Systems
","Text editor , URL: /wiki/Text_editor
FrameMaker , URL: /wiki/FrameMaker
","FrameMaker , URL: /wiki/FrameMaker
"
"MakeDoc , URL: /wiki/MakeDoc
","2000","Carl Sassenrath , URL: /wiki/Carl_Sassenrath
","Text editor , URL: /wiki/Text_editor
","Web browser , URL: /wiki/Web_browser
XHTML , URL: /wiki/XHTML
HTML , URL: /wiki/HTML
"
"Markdown , URL: /wiki/Markdown
","2004","John Gruber , URL: /wiki/John_Gruber
Aaron Swartz , URL: /wiki/Aaron_Swartz
","Text editor , URL: /wiki/Text_editor
E-mail client , URL: /wiki/E-mail_client
","Web browser , URL: /wiki/Web_browser
XHTML , URL: /wiki/XHTML
HTML , URL: /wiki/HTML
"
"Textile , URL: /wiki/Textile_(markup_language)
","2002[1]","Dean Allen","Text editor , URL: /wiki/Text_editor
","Web browser , URL: /wiki/Web_browser
XHTML , URL: /wiki/XHTML
HTML , URL: /wiki/HTML
"
"Math Markup Language (MathML) , URL: /wiki/MathML
","1999 (July)","W3C , URL: /wiki/W3C
","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
TeX , URL: /wiki/TeX
","Web browser , URL: /wiki/Web_browser
Word processor , URL: /wiki/Word_processor
"
"The Music Encoding Initiative (MEI) , URL: /wiki/Music_Encoding_Initiative
","1999","The MEI Community","XML editor , URL: /wiki/XML_editor
","Verovio"
"Music Extensible Markup Language (MusicXML) , URL: /wiki/MusicXML
","2002","Recordare","Scorewriter , URL: /wiki/Scorewriter
","Scorewriter , URL: /wiki/Scorewriter
"
"Office Open XML (OOXML) , URL: /wiki/Office_Open_XML
","2006","Ecma International , URL: /wiki/Ecma_International
ISO , URL: /wiki/International_Organisation_for_Standardisation
IEC , URL: /wiki/International_Electrotechnical_Commission
","Office suite , URL: /wiki/Office_suite
","Office suite , URL: /wiki/Office_suite
"
"OpenDocument Format (ODF) , URL: /wiki/OpenDocument
","2005","OASIS , URL: /wiki/OASIS_(organization)
ISO , URL: /wiki/International_Organisation_for_Standardisation
IEC , URL: /wiki/International_Electrotechnical_Commission
","Office suite , URL: /wiki/Office_suite
","Office suite , URL: /wiki/Office_suite
"
"Open Mathematical Documents (OMDoc) , URL: /wiki/OMDoc
","2000","Michael Kohlhase , URL: /wiki/Michael_Kohlhase
","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
","XHTML , URL: /wiki/XHTML
MathML , URL: /wiki/MathML
TeX , URL: /wiki/TeX
"
"Org-mode , URL: /wiki/Org-mode
","2003","Org-mode project","Emacs , URL: /wiki/Emacs
","Emacs , URL: /wiki/Emacs
HTML , URL: /wiki/HTML
PDF , URL: /wiki/Portable_Document_Format
DocBook , URL: /wiki/DocBook
FreeMind , URL: /wiki/FreeMind
OpenDocument Format (ODF) , URL: /wiki/OpenDocument
"
"reStructuredText , URL: /wiki/ReStructuredText
","2001[3]","David Goodger","Text editor , URL: /wiki/Text_editor
","HTML , URL: /wiki/HTML
LaTeX , URL: /wiki/LaTeX
PDF , URL: /wiki/Portable_Document_Format
Unix man pages , URL: /wiki/Man_page
ODT , URL: /wiki/OpenDocument
S5 (HTML Slide Shows) , URL: /wiki/S5_(file_format)
XML , URL: /wiki/XML
"
"Scalable Vector Graphics (SVG) , URL: /wiki/Scalable_Vector_Graphics
","2004","W3C , URL: /wiki/W3C
","Vector graphics editor , URL: /wiki/List_of_vector_graphics_editors
","Web browser , URL: /wiki/Web_browser
"
"Script , URL: /wiki/SCRIPT_(markup)
GML , URL: /wiki/IBM_Generalized_Markup_Language
","1968 1971","IBM , URL: /wiki/IBM
","Text editor , URL: /wiki/Text_editor
","AFP , URL: /wiki/IBM_Advanced_Function_Printing_(AFP)
"
"TeX , URL: /wiki/TeX
LaTeX , URL: /wiki/LaTeX
","1978 1984","Donald Knuth , URL: /wiki/Donald_Knuth
Leslie Lamport , URL: /wiki/Leslie_Lamport
","Text editor , URL: /wiki/Text_editor
","DVI , URL: /wiki/DVI_file_format
Portable Document Format (PDF) , URL: /wiki/Portable_Document_Format
"
"Texinfo , URL: /wiki/Texinfo
","1986","Richard Stallman , URL: /wiki/Richard_Stallman
","Text editor , URL: /wiki/Text_editor
","DVI , URL: /wiki/DVI_file_format
Portable Document Format (PDF) , URL: /wiki/Portable_Document_Format
HTML , URL: /wiki/HTML
DocBook , URL: /wiki/DocBook
"
"TeXmacs format , URL: /wiki/TeXmacs
","1998","Joris van der Hoeven , URL: /wiki/Joris_van_der_Hoeven
","Text , URL: /wiki/Text_editor
TeXmacs editor , URL: /wiki/GNU_TeXmacs#The_TeXmacs_editor
","PDF , URL: /wiki/Portable_Document_Format
PostScript , URL: /wiki/PostScript
TeX , URL: /wiki/TeX
LaTeX , URL: /wiki/LaTeX
XHTML , URL: /wiki/XHTML
Mathml , URL: /wiki/Mathml
"
"Text Encoding Initiative (TEI) , URL: /wiki/Text_Encoding_Initiative
","1990","Text Encoding Initiative Consortium","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
","Web Browser , URL: /wiki/Web_Browser
XHTML , URL: /wiki/XHTML
PDF , URL: /wiki/Portable_Document_Format
Word Processor , URL: /wiki/Word_Processor
ODF , URL: /wiki/OpenDocument
EPUB , URL: /wiki/EPUB
"
"troff (typesetter runoff) , URL: /wiki/Troff
groff (GNU runoff) , URL: /wiki/Groff_(software)
","1973","Joe Ossanna , URL: /wiki/Joe_Ossanna
","Text editor , URL: /wiki/Text_editor
","PostScript , URL: /wiki/PostScript
"
"Wireless Markup Language (WML) , URL: /wiki/Wireless_Markup_Language
","1999","WAP Forum , URL: /wiki/WAP_Forum
","Text , URL: /wiki/Text_editor
XML editor , URL: /wiki/XML_editor
","Mobile browser , URL: /wiki/Mobile_browser
"
