"Model","Release date","Coverage per room , URL: /w/index.php?title=Coverage_per_room&action=edit&redlink=1
","Self-charging","Self-cleaning","Sensors","Cleaning algorithm","Surfaces/areas treated","Expansion interfaces[clarification needed]","Filter quality[1]"
"Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots","Floor cleaning/vacuuming robots"
"Neato , URL: /wiki/Neato_Robotics
","2016","high","Yes","No","lasers, cliff IR, object IR, dirt, motion,","Laser mapping","low-mid carpet, floors","No","0.3µm not HEPA"
"Roomba , URL: /wiki/Roomba
","2015-16","high","Yes","No","bump, cliff IR, object IR, motion, dirt","Mapping","low-mid carpet, floors","Yes","10µm"
"bObsweep , URL: /wiki/BObsweep
","2010","high","Yes","No","bump, cliff IR, object IR, dirt, motion,","Unknown","low-mid carpet, floors","Unknown","Unknown"
"Koolvac , URL: /wiki/Koolvac
","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Milagrow BlackCat[2]","2011[3]","High","Yes","Yes","Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, UV Bulb, Dirt Detection Sensors, Battery Status Sensors, RF Remote, Gyro and Accelerometer","Zig Zag, Spiral, Wall-to-wall and Auto Random","Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass","Yes","Unknown"
"Milagrow RedHawk[4]","2011[5]","Very High","Yes","Yes","Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, UV Bulb, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer","Zig Zag, Spiral, Wall-to-wall and Auto Random","Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass","Yes","Unknown"
"Milagrow RoboCop[6]","2011","High","Yes","Yes","Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer","Zig Zag, Spiral, Wall-to-wall and Auto Random","Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass","Yes","Unknown"
"Milagrow SuperBot[7]","2011","High","Yes","Yes","Cliff IR, Optical Floor Sensor, Obstacle IR Sensors, Dirt Detection Sensors, Battery Status Sensors, Gyro and Accelerometer","Zig Zag, Spiral, Wall-to-wall and Auto Random","Tile, Marble, Wood, Low-mid carpets, Linoleum, Glass","Yes","Unknown"
"Roboking , URL: /wiki/LG_Roboking
","Dec 2009","Very High","Yes","Unknown","Vision Camera, Ultrasonic, Cliff IR, PSD IR, Optical Floor Sensor, Gyro and Accelerometer","Cell by Cell, Zig Zag, Spiral and Reservation","low-mid carpet, floors","Unknown","Unknown"
"Orazio , URL: /w/index.php?title=Orazio_(vacuum_cleaner)&action=edit&redlink=1
","Unknown","Unknown","No","Unknown","Unknown","Unknown","low-mid carpet, floors","Unknown","Unknown"
"Kärcher RC3000/Siemens sensor cruiser , URL: /wiki/K%C3%A4rcher_RC3000
","September 2002","Very high","Yes","Automatic dustbin emptying","cliff, bump, IR, dirt, motion, dustbin","simple repertoire","low-mid carpet, floors","Unknown","Unknown"
"Roboking , URL: /wiki/LG_Roboking
","Dec 2009","Very High","Yes","Unknown","Vision Camera, Ultrasonic, Cliff IR, PSD IR, Optical Floor Sensor, Gyro and Accelerometer","Cell by Cell, Zig Zag, Spiral and Reservation","low-mid carpet, floors","Unknown","Unknown"
"Roomba , URL: /wiki/Roomba
","October 2002","high","No","No","bump, cliff IR, motion","simple repertoire","low-mid carpet, floors","Yes","Unknown"
"Roomba , URL: /wiki/Roomba
","July 2004","high","Yes","No","bump, cliff IR, motion, dirt","simple repertoire","low-mid carpet, floors","Yes","Unknown"
"Roomba , URL: /wiki/Roomba
","2007","high","Yes","No","bump, cliff IR, object IR, motion, dirt","simple repertoire","low-mid carpet, floors","Yes","Unknown"
"Trilobite , URL: /wiki/Electrolux_Trilobite
","2001","high","Yes","No","ultrasonic, IR, bump, others?","mapping","low to deep pile","Unknown","Unknown"
"Neato XV-11 , URL: /wiki/Neato_XV-11
","February 2010","high","Yes","No","laser, cliff, bump","mapping","low-mid carpet, floors","Unknown","Unknown"
"Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots","Floor washing robots"
"Scooba , URL: /wiki/Scooba_(brand)
","2006","Medium","No","No","cliff, soft-touch, IR","simple repertoire","hard floors","Yes","Unknown"
"Scooba 450 , URL: /wiki/Scooba_450
","2014","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
