"Device","Photo","Mfg. country","Size, mm","Weight, g","Power supply","Display","Sound","Vibration","Detector type","μSv , URL: /wiki/Sievert
","μR , URL: /wiki/Roentgen_(unit)
","Measurement time, seconds","Measuring of beta radiation and range of energy","PC link","Extra features"
"SA-05A[1]","
URL: /wiki/File:Geiger_Counter_Survey_Meter_%22White_Cat%22_Edition_SA-05A.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Geiger_Counter_Survey_Meter_%22White_Cat%22_Edition_SA-05A.jpg/40px-Geiger_Counter_Survey_Meter_%22White_Cat%22_Edition_SA-05A.jpg
","Switzerland , URL: /wiki/Switzerland
","119x65x26.5","135","Built-in lithium polymer battery","LCD","No","No","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.01–6000","No","1–60","0.05–1.3 MeV","USB , URL: /wiki/USB
","Clock, calendar and data logger"
"ANRI 01-02 Sosna[2]","
URL: /wiki/File:Dosimeter_sosna_front.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Dosimeter_sosna_front.jpg/40px-Dosimeter_sosna_front.jpg
","Russia , URL: /wiki/Russia
","133x82x45","350","Nine-volt battery , URL: /wiki/Nine-volt_battery
","LCD","Yes","No","Geiger–Müller tubes , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.1–100","10–104","20±5","Combined, 0.5–3.0 MeV","No",""
"DKG-RM1203M[3]","","Belarus , URL: /wiki/Belarus
","125x42x24","90","LR44 , URL: /wiki/LR44
","LCD","Yes","No","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.01–2000","1–2*105","?","No","Infrared","Clock with alarm"
"MKS-05 «Terra-P»","","Ukraine , URL: /wiki/Ukraine
","120×52×26","150","AAA , URL: /wiki/AAA_battery
","LCD","Yes","No","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.1–1000","10–105","5–70","Combined, 0.5–3.0 MeV","No","Clock with alarm, cover as option"
"MKS-05 «Terra» (New edition)","","Ukraine , URL: /wiki/Ukraine
","120×52×26","150","AAA , URL: /wiki/AAA_battery
","LCD with backlight","Yes","Yes","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.1–104","10–106","1–70","Combined, 0.5–3.0 MeV","Bluetooth , URL: /wiki/Bluetooth
","Clock with alarm, cover"
"DKR-04","","?","74х48х16","50","AAA , URL: /wiki/AAA_battery
","LCD","Yes","No","Semiconductor","0.1–106","10–108","4–256","No","No",""
"Radex RD1503, RD1503+","
URL: /wiki/File:Rd1503.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Rd1503.jpg/40px-Rd1503.jpg
","Russia , URL: /wiki/Russia
","105х60х26","90","AAA , URL: /wiki/AAA_battery
","LCD with backlight","Yes","Only RD1503+","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.05–10","5–1000","up to 40","Combined, 0.1–1,25 MeV","No",""
"Radex RD1706","
URL: /wiki/File:Rd1503.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Rd1503.jpg/40px-Rd1503.jpg
","Russia , URL: /wiki/Russia
","105х60х26","90","AAA , URL: /wiki/AAA_battery
","LCD with backlight","Yes","Yes","Geiger–Müller tubes , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.05–1000","5–105","1–26","Combined, 0.1–1.25 MeV","No","Background mode"
"Radex RD1212","","Russia , URL: /wiki/Russia
","97x68x24","80","AAA , URL: /wiki/AAA_battery
","LCD with backlight","Yes","Yes","Geiger–Müller tube , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.05–999","5–105","1–10","Combined, 0.4–3.5 MeV","USB , URL: /wiki/USB
","Background mode, integrated flashlight, time and date functions, multilingual"
"Radex RD1008","
URL: /wiki/File:Rd1008-kcl.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Rd1008-kcl.jpg/40px-Rd1008-kcl.jpg
","Russia , URL: /wiki/Russia
","140х64х26","175","AA , URL: /wiki/AA_battery
","LCD with backlight","Yes","Yes","Geiger–Müller tubes , URL: /wiki/Geiger%E2%80%93M%C3%BCller_tube
","0.1–1000","2–120","2–21","Separated, 0.05–3.5 MeV","No","Background mode, separated indication of beta and gamma radiation"
