"Manager","Web browser , URL: /wiki/Web_browser
","Resuming","Download acceleration , URL: /wiki/Download_manager#Download_acceleration
","URLs , URL: /wiki/Uniform_Resource_Locator
","Mirror search","Auto dial/hangup","Categorized downloads","Cookies , URL: /wiki/HTTP_Cookie
","Speed limit","File browser","ZIP , URL: /wiki/ZIP_(file_format)
","Add-on support","Scheduler","Checksum , URL: /wiki/Checksum
","Remote Access/Control","Modified Time-stamp preserved"
"4K Video Downloader , URL: /wiki/4K_Video_Downloader
","No","Yes","Yes","?","No","No","No","No","No","Yes","No","No","No","No","No","?"
"BitComet , URL: /wiki/BitComet
","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"Download Accelerator Plus , URL: /wiki/Download_Accelerator_Plus
","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"DownloadStudio , URL: /wiki/DownloadStudio
","Yes","Yes","Yes","1","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?"
"DownThemAll! , URL: /wiki/DownThemAll!
","Requires Firefox","Yes","Yes","10","Beta , URL: /wiki/Software_release_life_cycle#Beta
","No","Yes","No","Beta , URL: /wiki/Software_release_life_cycle#Beta
","No","No","No","No","Yes","No","Yes"
"FlashGet , URL: /wiki/FlashGet
","Yes","Yes","Yes","unknown limit","Yes","Yes","Yes","Yes","All downloads","Yes","No","Yes","N/A","No","No","?"
"Free Download Manager , URL: /wiki/Free_Download_Manager
","Yes","Yes","Yes","10","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Free Studio , URL: /wiki/Free_Studio
","Yes","Yes","Yes","unlimited","No","No","No","No","No","No","No","No","No","No","No","?"
"Freemake Video Downloader , URL: /wiki/Freemake_Video_Downloader
","No","Yes","Yes","unlimited","No","No","No","No","Yes","Yes","No","No","No","No","No","?"
"GetRight , URL: /wiki/GetRight
","Yes","Yes","10 streams, needs mirrors for >4 streams","unlimited","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Scripting","Yes","Yes","Yes","Yes"
"Go!Zilla , URL: /wiki/Go!Zilla
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Internet Download Accelerator","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Internet Download Manager , URL: /wiki/Internet_Download_Manager
","Yes","Yes","Yes","1 refreshable","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"JDownloader , URL: /wiki/JDownloader
","Yes","Yes","Yes","1","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?"
"Jigdo , URL: /wiki/Jigdo
","No","Yes","?","unlimited","?","No","No","No","No","No","No","?","No","Yes","No","No"
"KGet , URL: /wiki/KGet
","Konqueror , URL: /wiki/Konqueror
Fx , URL: /wiki/Mozilla_Firefox
","Yes","Yes","unlimited","Yes","Yes","Yes","Yes","BitTorrent Only[18]","Yes","No","Yes","?","Yes","Yes","?"
"Microsoft Download Manager , URL: /wiki/Microsoft_Download_Manager
","Yes","Yes","Yes","?","No","No","No","No","No","No","No","No","No","No","No","?"
"MiniDM , URL: /wiki/MiniDM
","Yes","Yes","Yes","unlimited","No","No","No","No","No","Yes","No","Yes","?","Yes","Yes","?"
"MLDonkey , URL: /wiki/MLDonkey
","Partial","Yes","No","unlimited","No","No","Yes","No","Yes","No","No","Yes","?","Yes","Yes","?"
"Shareaza , URL: /wiki/Shareaza
","IE , URL: /wiki/Internet_Explorer
Fx , URL: /wiki/Mozilla_Firefox
","Yes","Yes","unlimited","Yes","via Scheduler","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Manager","Web browser , URL: /wiki/Web_browser
","Resuming","Download acceleration , URL: /wiki/Download_manager#Download_acceleration
","URLs , URL: /wiki/Uniform_Resource_Locator
","Mirror search","Auto dial/hangup","Categorized downloads","Cookies , URL: /wiki/HTTP_Cookie
","Speed limit","File browser","ZIP , URL: /wiki/ZIP_(file_format)
","Add-on support","Scheduler","Checksum , URL: /wiki/Checksum
","Remote Access/Control","Modified Time-stamp preserved"
