"Reader","Plain text","PDF","ePub","HTML","Mobi- Pocket","Fiction- Book (fb2)","DjVu","Broadband eBook (BBeB)[h 1]","eReader[h 1]","Kindle[h 1]","WOLF[h 1]","Tome Raider[h 1]","Open eBook[h 2]","Comic Book","OpenXPS"
"Amazon Kindle 1","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Aluratek Libre Ereader Pro","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Amazon Kindle 2, DX","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Amazon Kindle , URL: /wiki/Amazon_Kindle
","Yes","Yes","No[h 3]","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Amazon Kindle Fire , URL: /wiki/Kindle_Fire
","Yes","Yes","Yes[h 4]","Yes","Yes","No","No","No","No","Yes","No","No","No","?","?"
"Android Devices","Yes","Yes","Yes","Yes","Yes[h 5][36]","Yes","Yes[h 5][37]","No","Yes[h 5][38]","Yes","No","Yes[h 5][31]","Yes[h 5]","Yes[h 6]","Yes"
"Apple iOS Devices","Yes","Yes","Yes","Yes","Yes[h 5]","Yes[h 5]","Yes[h 5]","No","Yes[h 5]","Yes[h 5]","No","Yes[h 5]","Yes[h 5]","Yes[h 6]","?"
"Azbooka WISEreader","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Barnes & Noble Nook , URL: /wiki/Barnes_%26_Noble_Nook
","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","?","?"
"Barnes & Noble Nook Color , URL: /wiki/Barnes_%26_Noble_Nook_Color
","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"Bookeen Cybook Gen3, Opus","Yes","Yes","Yes[h 7]","Yes","Yes[h 7]","Yes[h 8]","No","No","No","No","No","No","Yes","?","?"
"COOL-ER Classic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Linux , URL: /wiki/Linux
","Yes","Yes","Yes","Yes","Yes","Yes[h 9]","Yes","Yes[h 10]","?","?","?","?","?","Yes","Yes"
"Foxit eSlick , URL: /wiki/ESlick
","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","?","?"
"Hanlin e-Reader V3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","?","?"
"Hanvon WISEreader","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"iRex iLiad","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","?","?"
"Iriver Story","Yes","Yes","Yes","No","No","Yes[h 5]","Yes[h 5]","No","No","No","No","No","No","?","?"
"Kobo eReader , URL: /wiki/Kobo_eReader
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","?"
"Nokia N900","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","?"
"NUUTbook 2","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","?","?"
"OLPC XO, Sugar","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","?","?"
"Onyx Boox 60","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Mac OS X","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","?","?"
"TrekStor eBook Reader Pyrus[39]","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Windows","Yes","Yes","Yes","Yes","Yes","Yes[h 11]","Yes","?","Yes","Yes[h 12]","?","?","Yes","Yes[h 13]","Yes[h 14]"
"Pocketbook 301 Plus, 302, 360°","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Pocketbook Aqua","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?","?"
"Sony Reader","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","?","?"
"Viewsonic VEB612","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","?","?"
"Windows Phone 7","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","?","?"
