"Client","Client","IP to Country , URL: http://wiki.emule-web.de/index.php/Ip2country
","Protocol Obfuscation[N 7]","Handles files >4GB , URL: http://wiki.emule-web.de/index.php/English:Large_File_Support
","Chat[N 8]","Buddy list","Send FILERATING tags to servers","EndGame , URL: http://wiki.emule-web.de/index.php/English:Faster_Endgame
","AICH , URL: https://web.archive.org/web/20091106045934/http://wiki.amule.org/index.php/AICH
","L2HAC , URL: /w/index.php?title=L2HAC&action=edit&redlink=1
","Secure User ID","Global Searches","UPnP port mapping[N 10]","Intelligent Chunk Selection","Lancast , URL: http://wiki.emule-web.de/index.php/Lancast
","HideOS / SotN"
"aMule , URL: /wiki/AMule
","aMule , URL: /wiki/AMule
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes[N 11]","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","Official , URL: /wiki/EMule
","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","Osp","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","AnalyZZUL","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","beba","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","Magic Angel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule , URL: /wiki/EMule#eMule_mods
","Mephisto","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule , URL: /wiki/EMule#eMule_mods
","MorphXT","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule , URL: /wiki/EMule#eMule_mods
","NeoMule","Yes","Yes","Yes","Yes","Yes","Yes","own simplified implementation","Yes","Yes","Yes","Yes","Yes","Version 2","Version 2","own implementation"
"eMule , URL: /wiki/EMule#eMule_mods
","ScarAngel","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","both"
"eMule , URL: /wiki/EMule#eMule_mods
","SharkX","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","Sivka","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Version 1","HideOS"
"eMule , URL: /wiki/EMule#eMule_mods
","Spike2","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","StulleMule","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","both"
"eMule , URL: /wiki/EMule#eMule_mods
","Xtreme","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","No","No","own implementation"
"eMule , URL: /wiki/EMule#eMule_mods
","X-Ray","Yes","Yes","Yes","Yes","Yes","Yes","DBR","Yes","Yes","Yes","Yes","Yes","Version 1","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","ZZUL","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","ZZUL BastarD","No","Yes","Yes","Yes","Yes","Yes","zz's Version","Yes","No","Yes","Yes","Yes","No","No","No"
"eMule , URL: /wiki/EMule#eMule_mods
","eMule Plus","Yes","No","up to 512GB","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","Yes","Version 1","manual hiding"
"Lphant , URL: /wiki/Lphant
","Lphant , URL: /wiki/Lphant
","No","Yes","Yes","Yes","Yes","Yes","Yes","CCH (similar to ICH)","No","Yes","No","Yes","No","Version 1","No"
"MLDonkey , URL: /wiki/MLDonkey
","MLDonkey , URL: /wiki/MLDonkey
","Yes","No","Yes","Yes","Yes","?","No","Yes","No","Yes","Yes","Yes","No","No","No"
"Shareaza , URL: /wiki/Shareaza
","Shareaza , URL: /wiki/Shareaza
","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"xMule , URL: /wiki/XMule
","xMule , URL: /wiki/XMule
","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Client","Client","IP to Country , URL: http://wiki.emule-web.de/index.php/English:IP2country
","Protocol Obfuscation[N 7]","Handles files >4GB , URL: http://wiki.emule-web.de/index.php/English:Large_File_Support
","Chat[N 8]","Buddy list","Send FILERATING tags to servers","EndGame , URL: http://wiki.emule-web.de/index.php/English:Faster_Endgame
","AICH , URL: https://web.archive.org/web/20061012230859/http://www.amule.org/wiki/index.php/AICH
","L2HAC [N 9]","Secure User ID","Global Searches","UPnP port mapping[N 10]","Intelligent Chunk Selection","Lancast , URL: http://wiki.emule-web.de/index.php/Lancast
","HideOS / SotN"
