"Client","First public Date","First public Version","First stable Date","First stable Version","Latest stable release","Latest stable release"
"Alpine , URL: /wiki/Alpine_(email_client)
","2006-11","0.8","2007 December","1.00","2.25 (September 18, 2021; 6 months ago (2021-09-18)) [±]","2.25 (September 18, 2021; 6 months ago (2021-09-18)) [±]"
"Apple Mail , URL: /wiki/Apple_Mail
","?","?","?","?","1.3.3 (19 September 2019; 2 years ago (19 September 2019))","1.3.3 (19 September 2019; 2 years ago (19 September 2019))"
"Becky! Internet Mail , URL: /wiki/Becky!
","1996","1","?","?","2.75.04 (May 6, 2021; 10 months ago (2021-05-06) [3]) [±]","2.75.04 (May 6, 2021; 10 months ago (2021-05-06) [3]) [±]"
"Citadel , URL: /wiki/Citadel/UX
","1987","?","1988","1.00","906 (January 15, 2017; 5 years ago (2017-01-15)) [±]","906 (January 15, 2017; 5 years ago (2017-01-15)) [±]"
"Claws Mail , URL: /wiki/Claws_Mail
","2001-05","0.4.67","2005-01","1.0.0","
URL: https://www.wikidata.org/wiki/Q1099163?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","
URL: https://www.wikidata.org/wiki/Q1099163?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Courier , URL: /wiki/Courier_(email_client)
","2004-06","3.5","discontinued","discontinued","3.5 (June 2004) [±]","3.5 (June 2004) [±]"
"Elm , URL: /wiki/Elm_(email_client)
","1986","?","1987-03","2","2.5.8 (August 18, 2005; 16 years ago (2005-08-18)) [±]","2.5.8 (August 18, 2005; 16 years ago (2005-08-18)) [±]"
"eM Client , URL: /wiki/EM_Client
","2007-11","1.0","2007-11","1.0","8.2 (March 22, 2021; 11 months ago (2021-03-22)) [±]","8.2 (March 22, 2021; 11 months ago (2021-03-22)) [±]"
"EmailTray , URL: /wiki/EmailTray
","2010-10","2.0","2011-03","3.11","4.0 (July 2, 2012; 9 years ago (2012-07-02)) [±]","4.0 (July 2, 2012; 9 years ago (2012-07-02)) [±]"
"Eudora , URL: /wiki/Eudora_(email_client)
","1988[5]","?","1988[5]","?","7.1 (Windows), 6.2.4 (Mac OS) (October 11, 2006; 15 years ago (2006-10-11)) [±]","7.1 (Windows), 6.2.4 (Mac OS) (October 11, 2006; 15 years ago (2006-10-11)) [±]"
"Evolution , URL: /wiki/Evolution_(software)
","2000-05-11","0.0","2001-12-03","1.0","
URL: https://www.wikidata.org/wiki/Q336251?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","
URL: https://www.wikidata.org/wiki/Q336251?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
