"Client","IMSP , URL: /wiki/IMSP
","ACAP , URL: /wiki/Application_Configuration_Access_Protocol
","RSS 0.91 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 1.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","RSS 2.0 , URL: /wiki/RSS_(file_format)
Feeds , URL: /wiki/Web_feed
","ATOM , URL: /wiki/Atom_(standard)
Feeds , URL: /wiki/Web_feed
","iCalendar , URL: /wiki/ICalendar
","MAPI/RPC , URL: /wiki/Messaging_Application_Programming_Interface
","CalDAV , URL: /wiki/CalDAV
","CardDAV , URL: /wiki/CardDAV
"
"Alpine , URL: /wiki/Alpine_(email_client)
","?","?","?","?","?","?","?","?","?","?"
"Apple Mail , URL: /wiki/Apple_Mail
","?","?","?","?","?","?","Yes","?","Yes","Yes"
"Becky! Internet Mail , URL: /wiki/Becky!
","?","?","Yes [Note 8]","Yes [Note 8]","Yes [Note 8]","Yes [Note 8]","?","?","?","?"
"Citadel , URL: /wiki/Citadel/UX
","?","?","?","?","?","?","?","?","?","?"
"Claws Mail , URL: /wiki/Claws_Mail
","?","?","No","Yes [Note 9]","Yes [Note 9]","Yes [Note 9]","Yes [Note 10]","?","?","?"
"Courier , URL: /wiki/Courier_(email_client)
","No","No","No","No","No","No","No","?","?","?"
"Elm , URL: /wiki/Elm_(email_client)
","?","?","?","?","?","?","?","?","?","?"
"eM Client , URL: /wiki/EM_Client
","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"EmailTray , URL: /wiki/EmailTray
","No","No","No","No","No","No","No","No","?","?"
"Eudora , URL: /wiki/Eudora_(email_client)
","No","Yes","No","No","No","No","No","?","?","?"
"Evolution , URL: /wiki/Evolution_(software)
","No","No","No [Note 11]","No [Note 11]","No [Note 11]","No","Yes","Yes","Yes","Yes"
"Gnus , URL: /wiki/Gnus
","?","?","Yes","Yes","Yes","No","?","?","?","?"
"GroupWise , URL: /wiki/GroupWise
","?","No","?","?","?","?","Yes","?","?","?"
"Hiri , URL: /wiki/Hiri_(email_client)
","No","No","No","No","No","No","No","No","No","No"
"i.Scribe / InScribe , URL: /wiki/Scribe_Mail
","No","No","No","No","No","No","No","Yes","?","?"
"IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","No","No","Yes [Note 12]","Yes","Yes","Yes","Yes","?","?","?"
"KMail , URL: /wiki/KMail
","?","?","Yes [Note 13]","Yes [Note 13]","Yes [Note 13]","Yes [Note 13]","Yes [Note 14]","?","Yes","Yes"
"Mailpile , URL: /wiki/Mailpile
","?","?","?","?","?","?","?","?","?","?"
"Microsoft Entourage , URL: /wiki/Microsoft_Entourage
","?","?","?","?","?","?","Yes","?","?","?"
