"Name","Developer/Manufacturer","Release Year","Current Model?"
"datAshur PRO","iStorage Limited , URL: /w/index.php?title=IStorage_Limited&action=edit&redlink=1
","2015","Yes"
"datAshur PRO²","iStorage Limited , URL: /w/index.php?title=IStorage_Limited&action=edit&redlink=1
","-","Yes"
"diskAshur PRO²","iStorage Limited , URL: /w/index.php?title=IStorage_Limited&action=edit&redlink=1
","2017","Yes"
"SafeStick","BlockMaster , URL: /w/index.php?title=BlockMaster&action=edit&redlink=1
","2004","Yes"
"SafeStick SuperSonic","BlockMaster , URL: /w/index.php?title=BlockMaster&action=edit&redlink=1
","2009","Yes"
"IronKey S100","IronKey , URL: /wiki/IronKey
","2005","No"
"IronKey S200","IronKey , URL: /wiki/IronKey
","2009","Yes"
"IronKey D200","IronKey , URL: /wiki/IronKey
","2009","Yes"
"CryptX2","CryptX2 , URL: /w/index.php?title=CryptX2&action=edit&redlink=1
","2012","Yes"
"DataTraveler 5000","Kingston Technology , URL: /wiki/Kingston_Technology
","2010","Yes"
"DataTraveler Locker+","Kingston Technology , URL: /wiki/Kingston_Technology
","","Yes"
"DataTraveler Vault","Kingston Technology , URL: /wiki/Kingston_Technology
","","Yes"
"DataTraveler Vault – Privacy Edition","Kingston Technology , URL: /wiki/Kingston_Technology
","","Yes"
"JumpDrive SecureII Plus","Lexar , URL: /wiki/Lexar
","","Yes"
"IronClad","Lockheed Martin , URL: /wiki/Lockheed_Martin
","2010","Yes"
"Cruzer Enterprise","SanDisk , URL: /wiki/SanDisk
","","Yes"
"Store 'n' Go Corporate","Verbatim , URL: /wiki/Verbatim_Corporation
","","Yes"
"Kanguru Defender 2000","Kanguru Solutions , URL: /w/index.php?title=Kanguru_Solutions&action=edit&redlink=1
","2012","Yes"
"Name","Developer/Manufacturer","Release Year","Current Model?"
