"null","null","null"
"iStorage Limited","2015","Yes"
"iStorage Limited","-","Yes"
"iStorage Limited","2017","Yes"
"BlockMaster","2004","Yes"
"BlockMaster","2009","Yes"
"IronKey","2005","No"
"IronKey","2009","Yes"
"IronKey","2009","Yes"
"CryptX2 / Open Source","2012","Yes"
"Kingston Technology","2010","Yes"
"Kingston Technology","","Yes"
"Kingston Technology","","Yes"
"Kingston Technology","","Yes"
"Lexar","","Yes"
"Lockheed Martin","2010","Yes"
"SanDisk","","Yes"
"Verbatim","","Yes"
"Kanguru Solutions","2012","Yes"
"null","null","null"
