"v t e Differentiable computing","v t e Differentiable computing","v t e Differentiable computing"
"General , URL: /wiki/Differentiable_function
","Differentiable programming Neural Turing machine Differentiable neural computer Automatic differentiation Neuromorphic engineering Cable theory Pattern recognition Computational learning theory Tensor calculus","Differentiable programming Neural Turing machine Differentiable neural computer Automatic differentiation Neuromorphic engineering Cable theory Pattern recognition Computational learning theory Tensor calculus"
"Concepts","Gradient descent SGD Clustering Regression Overfitting Adversary Attention Convolution Loss functions Backpropagation Normalization Activation Softmax Sigmoid Rectifier Regularization Datasets Augmentation","Gradient descent SGD Clustering Regression Overfitting Adversary Attention Convolution Loss functions Backpropagation Normalization Activation Softmax Sigmoid Rectifier Regularization Datasets Augmentation"
"Programming languages","Python Julia","Python Julia"
"Application","Machine learning Artificial neural network Deep learning Scientific computing Artificial Intelligence","Machine learning Artificial neural network Deep learning Scientific computing Artificial Intelligence"
"Hardware","IPU TPU VPU Memristor SpiNNaker","IPU TPU VPU Memristor SpiNNaker"
"Software library","TensorFlow PyTorch Keras Theano","TensorFlow PyTorch Keras Theano"
"Implementation","Audio-visual","AlexNet WaveNet Human image synthesis HWR OCR Speech synthesis Speech recognition Facial recognition AlphaFold DALL-E"
"Implementation","Verbal","Word2vec Transformer BERT NMT Project Debater Watson GPT-2 GPT-3"
"Implementation","Decisional","AlphaGo AlphaZero Q-learning SARSA OpenAI Five Self-driving car MuZero Action selection Robot control"
"People","Alex Graves Ian Goodfellow Yoshua Bengio Geoffrey Hinton Yann LeCun Andrew Ng Demis Hassabis David Silver Fei-Fei Li","Alex Graves Ian Goodfellow Yoshua Bengio Geoffrey Hinton Yann LeCun Andrew Ng Demis Hassabis David Silver Fei-Fei Li"
"Organizations","DeepMind OpenAI MIT CSAIL Mila Google Brain FAIR","DeepMind OpenAI MIT CSAIL Mila Google Brain FAIR"
"Portals Computer programming Technology Category Artificial neural networks Machine learning","Portals Computer programming Technology Category Artificial neural networks Machine learning","Portals Computer programming Technology Category Artificial neural networks Machine learning"
