"File archivers","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"File archivers","Developer","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","AmigaOS","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","BSD","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","DOS","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","macOS","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","Unix","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","Windows","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"7-Zip , URL: /wiki/7-Zip
","Igor Pavlov","1999-01-02","Windows Mobile","
URL: https://www.wikidata.org/wiki/Q215051?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-26","LGPL-2.1-or-later , URL: /wiki/GNU_Lesser_General_Public_License
proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"ALZip , URL: /wiki/ALZip
","ESTsoft , URL: /wiki/ESTsoft
","1999[a]","DOS","
URL: https://www.wikidata.org/wiki/Q294542?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-03-10","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
