"File manager","Family","UI , URL: /wiki/User_interface
","Icon view","List view","Column view","Thumbnails","Details + Thumbs","Grouping","Content dependent [56]","Twin panel","Favorites / Bookmark","Panel tabs"
"Altap Salamander , URL: /wiki/Altap_Salamander
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","No","No","No","Yes","Partial","No"
"Commander One , URL: /wiki/Commander_One
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","?","?","No","?","Yes","Yes"
"Demos Commander , URL: /wiki/Demos_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","?","Yes","?","?","?","?","?","Yes","?","?"
"Directory Opus , URL: /wiki/Directory_Opus
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dired , URL: /wiki/Dired
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","?","Yes","?","Yes, on GUI[57]","Yes, on GUI[57]","?","?","Yes, one or more","Partial (bookmarks)","Yes (show tab-bar optional) [58]"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Double Commander , URL: /wiki/Double_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DOS Navigator , URL: /wiki/DOS_Navigator
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","?","Yes","?","?","?","?","?","Yes","?","?"
"emelFM2 , URL: /wiki/EmelFM2
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","No","Yes","No","Yes[59]","?","No","No","Yes","?","No"
"FAR Manager , URL: /wiki/FAR_Manager
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","Partial[61]","Yes","Yes","Yes[62]","Partial[61]","Yes","Yes","Yes","Yes","Partial [m 1]"
"File Commander , URL: /wiki/File_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","No","Yes","Yes","No","Partial","Yes","No","Yes","No","No"
"File Manager , URL: /wiki/File_Manager_(Windows)
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","No","?","?","?","?","Yes","No","No"
"Files (Apple) , URL: /wiki/Files_(Apple)
","","GUI , URL: /wiki/Graphical_user_interface
","Yes","","","Yes","Yes","","","","",""
"Files by Google , URL: /wiki/Files_by_Google
","","GUI , URL: /wiki/Graphical_user_interface
","","","","","","","","","",""
"Finder , URL: /wiki/Macintosh_Finder
","Spatial , URL: /wiki/Spatial_file_manager
Miller Columns , URL: /wiki/Miller_Columns
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Cover Flow , URL: /wiki/Cover_Flow
","Yes","No","No","Yes","Yes"
"ForkLift , URL: /wiki/ForkLift_(File_Manager)
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Partial","Yes","No","Yes","Yes","Yes"
"gentoo , URL: /wiki/Gentoo_(file_manager)
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","?","Yes","?","?","?","?","?","Yes","?","?"
"GNOME Commander , URL: /wiki/GNOME_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","No","Yes","No","No","?","No","No","Yes","?","Yes"
"Konqueror , URL: /wiki/Konqueror
","Navigational , URL: /wiki/Navigational_file_manager
Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader , URL: /wiki/Krusader
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes"
"Midnight Commander , URL: /wiki/Midnight_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","No","Yes","Yes","?","?","?","Yes","Yes","Yes","?"
"GNOME Files (Nautilus) , URL: /wiki/GNOME_Files
","Navigational , URL: /wiki/Navigational_file_manager
Spatial , URL: /wiki/Spatial_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Nemo , URL: /wiki/Nemo_(file_manager)
","Navigational , URL: /wiki/Navigational_file_manager
Spatial , URL: /wiki/Spatial_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","No","No","Yes,press[F3]","Yes","Yes"
"Nomad.NET , URL: /wiki/Nomad.NET
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","?","Yes","Partial, Manual","Yes","Yes","Yes, Shared"
"Path Finder , URL: /wiki/Path_Finder
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"PCManFM , URL: /wiki/PCMan_File_Manager
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes"
"ROX-Filer , URL: /wiki/ROX-Filer
","Spatial , URL: /wiki/Spatial_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No"
"STDU Explorer , URL: /wiki/STDU_Explorer
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"Total Commander , URL: /wiki/Total_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","Yes","Yes In viewing","Yes","Yes","Yes"
"Thunar , URL: /wiki/Thunar
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes","Yes","Yes","No","?","No","Yes","Yes"
"Volkov Commander , URL: /wiki/Volkov_Commander
","Orthodox , URL: /wiki/Orthodox_file_manager
","Text , URL: /wiki/Text_user_interface
","?","Yes","?","?","?","?","?","Yes","?","?"
"Windows Explorer , URL: /wiki/Windows_Explorer
","Navigational , URL: /wiki/Navigational_file_manager
Spatial , URL: /wiki/Spatial_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","Yes","Yes [m 2]","Yes","Partial [m 3]","Yes","Yes","No","Yes","No"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","Navigational , URL: /wiki/Navigational_file_manager
","GUI , URL: /wiki/Graphical_user_interface
","Yes","?","?","?","?","?","?","?","?","?"
