"File Manager","Undo/redo file operation","File compression","File encryption","Rename busy files","File preview","File coloring filter [46]","File selection filter","Paste clipboard as file","File and folder reports","Access control list , URL: /wiki/Access_control_list
","Mass rename [47]","Run executable files"
"Altap Salamander , URL: /wiki/Altap_Salamander
","?","Yes","Yes","?","Yes","Yes","Yes, multiple [48]","?","Yes","Yes [49]","Yes","Yes"
"Commander One , URL: /wiki/Commander_One
","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?","?"
"Directory Opus , URL: /wiki/Directory_Opus
","Yes","Yes","Partial","Partial","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Dired , URL: /wiki/Dired
","?","Yes","Yes","Yes","No","Yes","Yes","No","?","No","Yes","Yes"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","Yes"
"Double Commander , URL: /wiki/Double_Commander
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"emelFM2 , URL: /wiki/EmelFM2
","?","Yes","Yes","Yes","No","?","Yes","No","?","Yes","?","?"
"FAR Manager , URL: /wiki/FAR_Manager
","?","Yes","Yes","Yes","Yes","Yes","Yes","Partial [50]","Yes","Plugin","Plugin","?"
"File Commander , URL: /wiki/File_Commander
","?","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","?"
"File Manager , URL: /wiki/File_Manager_(Windows)
","?","Yes","?","?","No","Yes","Yes","No","?","Yes","Yes","Yes"
"Files (Apple) , URL: /wiki/Files_(Apple)
","","Yes","","","Yes","","","","","","",""
"Files by Google , URL: /wiki/Files_by_Google
","","","","","","","","","","","",""
"Finder , URL: /wiki/Macintosh_Finder
","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","Yes","Yes","Yes"
"ForkLift , URL: /wiki/ForkLift_(File_Manager)
","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","?"
"GNOME Commander , URL: /wiki/GNOME_Commander
","?","Yes","?","?","Yes","Yes","?","?","?","No","Yes","?"
"Konqueror , URL: /wiki/Konqueror
","Partial [51]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[52]","Yes"
"Krusader , URL: /wiki/Krusader
","?","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes[52]","Yes"
"Midnight Commander , URL: /wiki/Midnight_Commander
","?","Yes","?","?","?","Yes","Yes","Partial[53]","?","?","Yes","Yes"
"GNOME Files (Nautilus) , URL: /wiki/GNOME_Files
","Yes","Yes","No","Yes","Yes","No","No","Partial [54]","No","Yes","No","No [55]"
"Nemo , URL: /wiki/Nemo_(file_manager)
","Yes","Yes","Yes","?","Yes","Yes","?","Yes","?","?","No","Yes"
"Nomad.NET , URL: /wiki/Nomad.NET
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","?"
"Path Finder , URL: /wiki/Path_Finder
","?","Yes","No [56]","No","Yes","No","Yes","No","Yes","No","No","?"
"PCManFM , URL: /wiki/PCMan_File_Manager
","No","Yes","?","Yes","No","?","?","?","?","?","?","Yes"
"ROX-Filer , URL: /wiki/ROX-Filer
","?","With helper applications","With helper applications","Yes","Yes","No","Yes","No","No","No","Yes","?"
"STDU Explorer , URL: /wiki/STDU_Explorer
","?","No","No","No","Yes","No","No","No","No","No","No","?"
"Thunar , URL: /wiki/Thunar
","No","No","No","?","Yes","No","Yes","?","?","?","Yes","Yes"
"Total Commander , URL: /wiki/Total_Commander
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Log file","Yes","Yes"
"Windows Explorer , URL: /wiki/Windows_Explorer
","Yes","Yes","Partial[57]","No","Yes","No","No","Partial [58]","No","Yes [59]","Partial","Yes"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","?","?","?","?","?","?","?","?","?","?","?","?"
"Xfe , URL: /wiki/Xfe
","Yes","Yes","No","Yes","No","?","Yes","No","?","Yes","No","?"
"Xfm , URL: /wiki/Xfm_(file_manager)
","?","?","?","?","?","?","?","?","?","?","?","?"
"xplorer² , URL: /wiki/Xplorer%C2%B2
","No","Yes","Partial [57]","Partial","Yes","Yes","Yes","Yes","Yes","Yes [60]","Yes","Yes"
"XYplorer , URL: /wiki/XYplorer
","Yes","Yes","Partial [57]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"ZTreeWin , URL: /wiki/ZTreeWin
","?","Yes","Partial [61]","Yes","Yes","Yes","Yes","No","Yes","No","Yes","?"
"File Manager","Undo/redo file operation","File compression","File encryption","Rename busy files","File preview","File coloring filter","File selection filter","Paste clipboard as file","File and folder reports","Access control list , URL: /wiki/Access_control_list
","Mass rename","Run executable files"
