"File manager","Symbolic links , URL: /wiki/Symbolic_link
","Windows long path support","Browse compressed folders","Slideshows","Shows combined size of selected directories","Branch sizes","Directory compare","Synchronizer","Find as you type (Type-ahead find) , URL: /wiki/Incremental_search
","Embedded/integrated terminal","For directories, size column shows:"
"Altap Salamander , URL: /wiki/Altap_Salamander
","?","?","Yes","No","Yes","?","Yes","Partial (for remote folders)","Yes","Yes","DIR"
"Commander One , URL: /wiki/Commander_One
","Yes","?","Yes","No","Yes","?","No","No","Yes","Yes, in the PRO Pack[62]","DIR and total size including subdirectories"
"Directory Opus , URL: /wiki/Directory_Opus
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","DIR and total size including subdirectories"
"Dired , URL: /wiki/Dired
","?","?","Yes","No","No","?","?","?","Yes","Yes[63]","Literal [browse 1]"
"DOS Navigator , URL: /wiki/DOS_Navigator
","No","?","Yes","No","Yes","?","Yes","?","Yes[64]","Yes","Total size including subdirectories"
"Dolphin , URL: /wiki/Dolphin_(file_manager)
","Yes","?","Yes","No","Yes","No","No","No","Yes","Yes","Number of entries"
"Double Commander , URL: /wiki/Double_Commander
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","DIR"
"emelFM2 , URL: /wiki/EmelFM2
","?","?","?","No","Yes","?","Yes","?","Yes","Yes","Literal [browse 1]"
"FAR Manager , URL: /wiki/FAR_Manager
","Yes","?","Yes","Partial [n 1]","Yes","Yes","Yes","Partial [65]","Yes","Yes","?"
"File Commander , URL: /wiki/File_Commander
","?","?","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?"
"Files (Apple) , URL: /wiki/Files_(Apple)
","","?","","","","","","","","",""
"Files by Google , URL: /wiki/Files_by_Google
","","?","","","","","","","","",""
"Finder , URL: /wiki/Macintosh_Finder
","?","?","No","Yes","Yes","?","No","No","Yes","No","Yes"
"ForkLift , URL: /wiki/ForkLift_(File_Manager)
","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","DIR and total size including subdirectories"
"GNOME Commander , URL: /wiki/GNOME_Commander
","?","?","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Konqueror , URL: /wiki/Konqueror
","Yes","?","Yes","Yes","Yes (with konq-plugin)","Yes","Yes (with kdiff3 plugin)","Yes (with kdiff3 plugin)","Yes","Yes","Folder only size (default) selectable to file count/total size"
"Krusader , URL: /wiki/Krusader
","?","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Midnight Commander , URL: /wiki/Midnight_Commander
","Yes","?","Yes[66]","?","Yes","?","Yes","Yes[67]","Yes","Yes","?"
"muCommander , URL: /wiki/MuCommander
","No[68]","?","?","?","?","?","?","Yes","?","Partial, command execution only","?"
"GNOME Files (Nautilus) , URL: /wiki/GNOME_Files
","?","?","No","No","Yes","No","No","No","Yes","Yes, With Plugin[69][70]","Number of entries"
"Nemo , URL: /wiki/Nemo_(file_manager)
","?","?","?","?","?","?","?","?","?","Yes, with nemo-terminal extension",""
"Nomad.NET , URL: /wiki/Nomad.NET
","Yes","?","Yes","No","Yes","Yes","Yes","No","Yes","Yes, via Plugin","DIR and total size including subdirectories"
"Path Finder , URL: /wiki/Path_Finder
","?","?","No","Yes","Partial","?","No","No","Yes","Yes[71]","Yes"
"PCManFM , URL: /wiki/PCMan_File_Manager
","?","?","Yes","No","Yes","Yes","No","?","Yes","No, but there is a fork attempt[72]","Nothing"
"ROX-Filer , URL: /wiki/ROX-Filer
","?","?","No","No","Yes","?","No","?","Yes, and browsing with tab completion","No","Nothing"
"Thunar , URL: /wiki/Thunar
","?","?","No","?","Yes","?","No","No","Yes","No","Literal*"
"Total Commander , URL: /wiki/Total_Commander
","Yes[73]","?","Yes","Yes In plugin","Yes","Yes","Yes","Yes","Yes","Yes","DIR and total size including subdirectories"
"Windows Explorer , URL: /wiki/Windows_Explorer
","Partial[74]","Partial","Yes","Yes","Yes (in folder tooltips)","Partial","No","Yes","Yes","No","?"
"Xandros File Manager , URL: /wiki/Xandros_File_Manager
","?","?","?","?","?","?","?","?","?","No","?"
"Xfe , URL: /wiki/Xfe
","Yes","?","No","No","Yes","?","Yes","?","No","No","?"
"Xfile , URL: /wiki/Xfile
","?","?","?","?","?","?","?","?","?","No[75]","?"
"Xfm , URL: /wiki/Xfm_(file_manager)
","?","?","?","?","?","?","?","?","?","No","?"
"xplorer² , URL: /wiki/Xplorer%C2%B2
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes[76]","?"
"XYplorer , URL: /wiki/XYplorer
","Yes","Yes","Yes","Yes[77]","Yes","Yes","Yes","Partial","Yes","Yes[78]","Contents including subs"
"ZTreeWin , URL: /wiki/ZTreeWin
","?","?","Yes","No","Yes","Yes","Yes","No","Yes","?","Selectable: number of entries or size (optional: including subs)"
"File manager","Symbolic links , URL: /wiki/Symbolic_link
","Windows long path support","Browse compressed folders","Slideshows","Shows combined size of selected directories","Branch sizes","Directory compare","Synchronizer","Find as you type (Type-ahead find) , URL: /wiki/Incremental_search
","Embedded/integrated terminal","For directories, size column shows:"
