"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Conduit","Python","Linux, FreeBSD","GPL","2010[1]","No","","","","","Yes","Synchronizes files, website, network apps","null","null","null","null","null"
"DirSync Pro","Java","Java SE","GPLv3","2018[2]","Yes","Yes","No","","Yes (creates backup files)","Yes (native + via OS)","sym-links, filter, metadata, contents, auto-sync","null","null","null","null","null"
"FreeFileSync","C++","Windows, macOS, Linux","GPL","2022[3]","Yes (Donation Edition)[4]","Yes[5]","Yes[5]","Yes[5]","Yes (versioning + recycler)[5]","Yes","Older version had OpenCandy Adware/malware, but now funded by donations.[6][7]","null","null","null","null","null"
"iFolder","C#, Mono","Windows, macOS, Linux, Solaris","GPL","2010","No","Yes (centralized database)","Yes (files, not folders)","","","","","null","null","null","null","null"
"InterPlanetaryFileSystem","Go","Windows, macOS, Linux","GPL","2020[8]","","Yes","","","No (Planned)[9]","","","null","null","null","null","null"
"luckyBackup","C++","Windows, macOS, Linux, FreeBSD","GPLv3","2018[10]","Yes","","","","","Yes","Uses rsync backend","null","null","null","null","null"
"Nextcloud","PHP, C++, JavaScript[11]","Server: Linux, FreeBSD Clients: Windows, macOS, Linux, FreeBSD, Android, iOS, Windows Phone","AGPLv3","2021","Yes","Yes","Yes","Yes[12]","Yes","Yes","Fork of ownCloud","Yes","No","null","null","null"
"ownCloud community edition","PHP, C++, JavaScript[13]","Server: Linux, FreeBSD Clients: Windows, macOS, Linux, FreeBSD, Android, iOS, Blackberry","AGPLv3 (Server Edition) / proprietary (Enterprise Edition)","2021","Yes","Yes","Yes","Yes[14]","Yes","Yes","external storage support; encryption","Yes","No","null","null","null"
"Pydio Open source home","Server: PHP, Python, C++ Clients: JS, C#, Swift, Java","Windows, macOS, Linux, Android, iOS","AGPLv3","2017","Yes","Yes","Yes","","Yes (Git[15])","Yes","","null","null","null","null","null"
"rclone","Go","Linux, Windows, macOS, FreeBSD, NetBSD, OpenBSD, Plan9, Solaris - Intel/AMD-64, Intel/AMD-32, ARM-32, ARM-64, MIPS-Big-Endian, MIPS-Little-Endian","MIT","2021","Yes","Yes","Yes","Yes","Yes","Yes (via OS)","Supports over 50 cloud, protocol and virtual backends including S3 buckets, Google Drive, Microsoft OneDrive, and other high latency file storage. Capabilities include sync, cache, encrypt, compress and mount.","in alpha version since 2021","Yes","","null","null"
"rsync","C in a Unix-Linux shell","Windows, macOS,[16] Linux,[17][18] BSD","GPL v3","2020","Yes","Yes","No","Yes using --delete","Yes using --backup and a time-stamped --suffix","Yes (via OS)","client & server operation. Multiple comparison criteria (date, check-sum).","No","Yes","TCP","SSH, Rsh","Yes"
"Seafile community edition","C99, Python[19]","Server: Linux, Raspbian, Windows Clients: Linux, macOS, Windows, Android, iOS.[20]","AGPLv3 (Server) + Apache License 2.0 (Client)","2020","No","Yes","Yes","Yes","Yes","Yes (via Seafile Client)","Android and iOS mobile clients","null","null","null","null","null"
"SparkleShare","C#","Windows, macOS, Linux, Android, iOS","GPL v3 and LGPL","2017","Yes","Yes","No","","Yes (Git[21])","","","null","null","null","null","null"
"SymmetricDS","Java","Java SE","GPL","2018","Yes","Yes","Yes","","No","Yes","plug-in APIs for customization","null","null","null","null","null"
"Synchronizer (krusader)","","Windows, macOS, Linux","GPL v2","2017","No","Yes","No","","No","No","","null","null","null","null","null"
"Syncthing","Go","Windows, macOS, Linux, Android, BSD, Solaris","MPL v2","2021","Yes","Yes","Yes","Yes","Yes","Yes","Distributed peer-to-peer sync with automatic NAT traversal. Custom topology (star, fullmesh, mixed). Encryption.","Yes","Yes","null","null","null"
"Synkron","C++","Windows, macOS, Linux","GPL v2","2011[22]","Yes","Yes","No","Yes","Yes","Yes","","null","null","null","null","null"
"Unison","Mainly OCaml[23]","Windows, macOS, Linux","GPL","2021","Yes","Yes","Yes","Yes","Yes","Yes","Uses rsync backend","Yes","No","TCP","SSH, socket (insecure)[24]","Yes"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
