"File system","filename , URL: /wiki/Filename
","Allowable characters in directory entries[c]","Maximum pathname length","Maximum file size","Maximum volume size[d]","Max number of files"
"BeeGFS , URL: /wiki/BeeGFS
","255 bytes","Any byte except NUL[e]","No limit defined[f]","EB , URL: /wiki/Exabyte
","EB , URL: /wiki/Exabyte
","?"
"CP/M file system , URL: /wiki/CP/M_file_system
","8.3","ASCII , URL: /wiki/ASCII
","CP/M 2.2 , URL: /wiki/CP/M_2.2
","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","?"
"IBM SFS","8.8","?","?","Non-hierarchical[8]","?","?"
"DECtape , URL: /wiki/DECtape
","6.3","A–Z, 0–9","DTxN:FILNAM.EXT = 15","bytes , URL: /wiki/Byte
","bytes , URL: /wiki/Byte
","?"
"Elektronika BK , URL: /wiki/Elektronika_BK
","16 bytes","?","No directory hierarchy","KB , URL: /wiki/Kilobyte
","KB , URL: /wiki/Kilobyte
","?"
"MicroDOS file system","14 bytes","?","?","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","?"
"Level-D","6.3","A–Z, 0–9","DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","SIXBIT bytes , URL: /wiki/Six-bit_byte
","GB , URL: /wiki/Gigabyte
MB , URL: /wiki/Megabyte
","?"
"RT-11 , URL: /wiki/RT-11
","6.3","A–Z, 0–9, $","0 (no directory hierarchy)","bytes , URL: /wiki/Byte
","bytes , URL: /wiki/Byte
","?"
"Version 6 Unix file system (V6FS)","14 bytes","NUL , URL: /wiki/Null_character
","No limit defined[f]","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","?"
"GEC DOS , URL: /wiki/GEC_DOS
","?","?","?","bytes , URL: /wiki/Byte
","?","?"
"GEC DOS , URL: /wiki/GEC_DOS
","8 bytes","A–Z, 0–9. Period was directory separator","? No limit defined (workaround for OS limit)","bytes , URL: /wiki/Byte
","?","?"
"CBM DOS , URL: /wiki/CBM_DOS
","16 bytes","Any byte except NUL","0 (no directory hierarchy)","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","?"
"Version 7 Unix file system (V7FS)","14 bytes","Any byte except NUL or /[e]","No limit defined[f]","GB , URL: /wiki/Gigabyte
","TB , URL: /wiki/Terabyte
","?"
