"File system","Internal snapshotting / branching","encryption , URL: /wiki/Filesystem-level_encryption
","deduplication , URL: /wiki/Data_deduplication
","checksum , URL: /wiki/Checksum
ECC , URL: /wiki/Error_correction_code
","Persistent Cache , URL: /wiki/Cache_(computing)
","Multiple Devices , URL: /wiki/RAID
","compression , URL: /wiki/Data_compression
"
"DECtape , URL: /wiki/DECtape
","No","No","No","No","No","No","No"
"BeeGFS , URL: /wiki/BeeGFS
","No","No","Yes","No","No","No","Yes"
"Level-D","No","No","No","No","No","No","No"
"RT-11 , URL: /wiki/RT-11
","No","No","No","No","No","No","No"
"APFS , URL: /wiki/APFS
","Yes","Yes","Yes [50]","No","No","No","Yes"
"Version 6 Unix file system (V6FS)","No","No","No","No","No","No","No"
"Version 7 Unix file system (V7FS)","No","No","No","No","No","No","No"
"exFAT , URL: /wiki/ExFAT
","No","No","No","No","No","No","No"
"FAT12 , URL: /wiki/FAT12
","No","No","No","No","No","No","Stacker 3 , URL: /wiki/Stacker_3
4 , URL: /wiki/Stacker_4
DriveSpace 3 , URL: /wiki/DriveSpace_3
"
"FAT16 , URL: /wiki/FAT16
FAT16B , URL: /wiki/FAT16B
FAT16X , URL: /wiki/FAT16X
","No","No","No","No","No","No","Stacker 3 , URL: /wiki/Stacker_3
4 , URL: /wiki/Stacker_4
DriveSpace 3 , URL: /wiki/DriveSpace_3
"
"FAT32 , URL: /wiki/FAT32
FAT32X , URL: /wiki/FAT32X
","No","No","No","No","No","No","No"
"GFS , URL: /wiki/Global_File_System
","No","No","?","No","No","No","No"
"HPFS , URL: /wiki/High_Performance_File_System
","?","No","?","No","No","No","No"
"NTFS , URL: /wiki/NTFS
","No","Yes","Yes[bz][52]","No","No","No","Yes"
"HFS Plus , URL: /wiki/HFS_Plus
","No","No[ca]","No","No","No","No","No"
"FFS , URL: /wiki/Berkeley_Fast_File_System
","No","No","No","No","No","No","No"
"UFS1 , URL: /wiki/UFS1_(file_system)
","No","No","No","No","No","No","No"
"UFS2 , URL: /wiki/UFS2_(file_system)
","Yes","No","No","No","No","No","No"
"HAMMER , URL: /wiki/HAMMER_(file_system)
","Yes","No","Yes","Yes","No","No","No"
"LFS , URL: /wiki/Log-structured_File_System_(BSD)
","Yes","No","No","No","No","No","No"
"ext , URL: /wiki/Extended_file_system
","No","No","No","No","No","No","No"
"Xiafs , URL: /wiki/Xiafs
","No","No","No","No","No","No","No"
"ext2 , URL: /wiki/Ext2
","No","No","No","No","No","No","No"
"ext3 , URL: /wiki/Ext3
","No","No","No","No","No","No","No"
"ext4 , URL: /wiki/Ext4
","No","Yes, experimental [53]","No","No[54]","No","No","No"
"NOVA , URL: /wiki/NOVA_(filesystem)
","Yes","No","No","Yes","No","No","No"
"F2FS , URL: /wiki/F2FS
","No","Yes, experimental [55]","No","No","No","No","Yes"
"Lustre , URL: /wiki/Lustre_(file_system)
","No","No","No","No","Yes","Yes","No"
"NILFS , URL: /wiki/NILFS
","Yes, continuous[bn]","No","No","Yes","No","No","No"
"ReiserFS , URL: /wiki/ReiserFS
","No","No","No","No","No","No","No"
"Reiser4 , URL: /wiki/Reiser4
","?","Yes[cb]","?","No","No","No","Yes"
"OCFS , URL: /wiki/OCFS
","No","No","No","No","No","No","No"
"OCFS2 , URL: /wiki/OCFS2
","No","No","No","No","No","No","No"
"XFS , URL: /wiki/XFS
","No","No","Yes[56]","No[54]","No","No","No"
"JFS , URL: /wiki/JFS_file_system
","?","No","?","No","No","No","only in JFS1 on AIX[57]"
"QFS , URL: /wiki/QFS
","No","No","No","No","No","No","No"
"BFS , URL: /wiki/Be_File_System
","No","No","No","No","No","No","No"
"NSS , URL: /wiki/Novell_Storage_Services
","Yes","Yes","?","No","No","No","Yes"
"NWFS , URL: /wiki/NetWare_File_System
","?","No","?","No","No","No","Yes"
"ODS-2 , URL: /wiki/ODS-2
","Yes","No","No","No","No","No","No"
"ODS-5 , URL: /wiki/ODS-5
","Yes","No","No","No","No","No",""
"UDF , URL: /wiki/Universal_Disk_Format
","No","No","No","No","No","No","No"
"VxFS , URL: /wiki/Veritas_File_System
","Yes[cc]","No","Yes","No","No","No","No"
"Fossil , URL: /wiki/Fossil_(file_system)
","Yes","No","Yes","No","No","No","Yes"
"ZFS , URL: /wiki/ZFS
","Yes","Yes[cd]","Yes","Yes","Yes","Yes","Yes"
"Btrfs , URL: /wiki/Btrfs
","Yes","No","Yes","Yes[ce]","No","Yes","Yes"
"Minix V1 , URL: /wiki/MINIX_file_system
","No","No","No","No","No","No","No"
"Minix V2 , URL: /wiki/MINIX_file_system
","No","No","No","No","No","No","No"
"Minix V3 , URL: /wiki/MINIX_file_system
","No","No","No","No","No","No","No"
"VMFS2 , URL: /wiki/VMFS2
","No","No","No","No","No","No","No"
"VMFS3 , URL: /wiki/VMFS3
","No","No","No","No","No","No","No"
"ReFS , URL: /wiki/ReFS
","?","No","Yes","Yes[cf]","No","No","No"
"ISO 9660 , URL: /wiki/ISO_9660
","No","No","No[cg]","No","No","No","No"
"Rock Ridge , URL: /wiki/Rock_Ridge
","No","No","No[cg]","No","No","No","No"
"Joliet (""CDFS"") , URL: /wiki/Joliet_(file_system)
","No","No","No[cg]","No","No","No","No"
"SquashFS , URL: /wiki/SquashFS
","No","No","Yes","Yes","No","No","Yes"
"BlueStore/Cephfs , URL: /wiki/Ceph_(software)
","Yes","No","No","Yes","Yes","Yes","Yes"
"File system","Internal snapshotting / branching","Filesystem-level encryption , URL: /wiki/Filesystem-level_encryption
","Data deduplication , URL: /wiki/Data_deduplication
","checksum , URL: /wiki/Checksum
ECC , URL: /wiki/Error_correction_code
","Persistent Cache , URL: /wiki/Cache_(computing)
","Multiple Devices , URL: /wiki/RAID
","compression , URL: /wiki/Data_compression
"
