"","Source code provided","Ajax use","Digital downloads","eBay listing integration","eBay order import","Multiple skins","Point of sale order management","Subscriptions","Taxation","Template engine"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BigCommerce , URL: /wiki/BigCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Magento , URL: /wiki/Magento
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"pimcore , URL: /wiki/Pimcore
","Yes","Yes","Yes","No","No","3rd party","Yes","Yes","Yes","Yes"
"OpenCart , URL: /wiki/OpenCart
","Yes","Yes","Yes","Add-on","Add-on","Yes","No","Yes","Yes","Yes"
"osCommerce , URL: /wiki/OsCommerce
","Yes","Yes","Yes","3rd party","3rd party","Yes","Yes","Yes","Yes","Yes"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify , URL: /wiki/Shopify
","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"SupaDupa , URL: /wiki/SupaDupa
","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes"
"WooCommerce , URL: /wiki/WooCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zen Cart , URL: /wiki/Zen_Cart
","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes"
"","Source code provided","Ajax use","Digital downloads","eBay listing integration","eBay order import","Multiple skins","Point of sale order management","Subscriptions","Taxation","Template engine"
