"","Guest account","Customer testimonials","Featured products","Glossary, tool tip words","Image enlarge","Mini cart","Multiple addresses","Newest products","Newsletter","News","Next-previous product links","Polls","Popular products","Printing-friendly"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Batavi , URL: /wiki/Batavi_(software)
","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"BigCommerce , URL: /wiki/BigCommerce
","Yes","Add-on","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","3rd party","Yes","No"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Add-on"
"KonaKart , URL: /wiki/KonaKart
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Magento , URL: /wiki/Magento
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"osCommerce , URL: /wiki/OsCommerce
","Add-on","Add-on","Add-on","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Add-on","Yes","Add-on"
"OpenCart , URL: /wiki/OpenCart
","Yes","Yes","Yes","No","Yes","3rd party","Yes","Yes","Yes","Add-on","3rd party","No","Yes","Yes"
"pimcore , URL: /wiki/Pimcore
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify , URL: /wiki/Shopify
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SupaDupa , URL: /wiki/SupaDupa
","?","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes"
"WooCommerce , URL: /wiki/WooCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zen Cart , URL: /wiki/Zen_Cart
","Add-on[25]","Add-on[26]","Yes","No","Yes","No","Add-on[27]","Yes","Yes","No","Yes","No","Yes","Yes"
"","Guest account","Customer testimonials","Featured products","Glossary, tool tip words","Image enlarge","Mini cart","Multiple addresses","Newest products","Newsletter","News","Next-previous product links","Polls","Popular products","Printing-friendly"
