"","Product image attaching","Product rating","Product reviews","Quotes","Reordering","Returns","Searching","Search as user types","Search cloud","Site map, viewable","Social bookmarking","Tell friends","Wish list"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Batavi , URL: /wiki/Batavi_(software)
","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"BigCommerce , URL: /wiki/BigCommerce
","Yes","3rd party","3rd party","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"KonaKart , URL: /wiki/KonaKart
","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Magento , URL: /wiki/Magento
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"osCommerce , URL: /wiki/OsCommerce
","No","Yes","Yes","No","No","No","Yes","Add-on","No","No","Yes","Yes","No"
"pimcore , URL: /wiki/Pimcore
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify , URL: /wiki/Shopify
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3rd party","3rd party","Yes","Yes","Yes","Yes"
"SupaDupa , URL: /wiki/SupaDupa
","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"WooCommerce , URL: /wiki/WooCommerce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zen Cart , URL: /wiki/Zen_Cart
","Yes","Yes","Yes","Yes","No","Add-on[28]","Yes","3rd party[29]","No","Yes","Add-on[30]","Yes","Add-on[31]"
"","Product image attaching","Product rating","Product reviews","Quotes","Reordering","Returns","Searching","Search as user types","Search cloud","Site map, viewable","Social bookmarking","Tell friends","Wish list"
