"","Access control list","Form CAPTCHA","Staff action logging","PA/DSS certified"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","No"
"Batavi , URL: /wiki/Batavi_(software)
","Yes","No","Yes","No"
"BigCommerce , URL: /wiki/BigCommerce
","Yes","Yes","Yes","No"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","add-on","Yes","No"
"KonaKart , URL: /wiki/KonaKart
","Yes","No","Yes","No"
"Magento , URL: /wiki/Magento
","Yes","Yes","enterprise","No"
"Miva Merchant , URL: /wiki/Miva_Merchant
","No","Yes","No","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","No"
"osCommerce , URL: /wiki/OsCommerce
","Yes","No","No","No"
"pimcore , URL: /wiki/Pimcore
","Yes","No","No","No"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","No","No"
"Shopify , URL: /wiki/Shopify
","Yes","Yes","Yes","No"
"SupaDupa , URL: /wiki/SupaDupa
","Yes","No","No","No"
"WooCommerce , URL: /wiki/WooCommerce
","No","add-on","No","No"
"Zen Cart , URL: /wiki/Zen_Cart
","Yes","add-on","Yes","No"
"","Access control list","Form CAPTCHA","Staff action logging","PA/DSS certified"
