"GIS software","Free software , URL: /wiki/Free_software
","Open source , URL: /wiki/Open-source_software
","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","Web","Other"
"ArcGIS , URL: /wiki/ArcGIS
","Viewer(s)","No","Yes","Yes","No","No","Yes","Yes","Google Earth Plugin , URL: /wiki/Google_Earth
KML , URL: /wiki/Keyhole_Markup_Language
WMS , URL: /wiki/Web_Map_Service
"
"Autodesk , URL: /wiki/Autodesk
","Viewer(s)","No","Yes","No","Yes","No","No","Yes","No"
"Cadcorp , URL: /wiki/Cadcorp
","Viewer(s)","No","Yes","No","No","No","No","Yes","No"
"CAPAWARE , URL: /wiki/Capaware
","Yes","Yes","Yes","No","No","No","No","No","No"
"Chameleon , URL: /wiki/Chameleon_(GIS)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP , URL: /wiki/LAMP_(software_bundle)
","No"
"Deegree , URL: /wiki/Deegree
","Yes","Yes","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Yes","No"
"Erdas Imagine , URL: /wiki/Erdas_Imagine
","Viewers & Plug-ins","No","Yes","No","No","No","No","Yes","No"
"GeoBase , URL: /wiki/GeoBase_(Telogis_GIS_software)
","Trial","No","Yes","No","Yes","Yes","No","Yes","WMS , URL: /wiki/Web_Map_Service
"
"GeoNetwork , URL: /wiki/GeoNetwork_opensource
","Yes","Yes","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Yes","No"
"GeoServer , URL: /wiki/GeoServer
","Yes","Yes","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","Java , URL: /wiki/Java_(Sun)
","No"
