"null","null","null","null","null","null","null","null","null"
"Viewer(s)","No","Yes","Yes","No","No","Yes","Yes","Google Earth Plugin, KML, WMS"
"Viewer(s)","No","Yes","No","Yes","No","No","Yes","No"
"Viewer(s)","No","Yes","No","No","No","No","Yes","No"
"Yes","Yes","Yes","No","No","No","No","No","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"Viewers & Plug-ins","No","Yes","No","No","No","No","Yes","No"
"Trial","No","Yes","No","Yes","Yes","No","Yes","Traffic, WMS, ADAS, Routing"
"Yes","Yes","Java","Java","Java","Java","Java","Yes","No"
"Yes","Yes","Java","Java","Java","Java","Java","Java","No"
"Yes","Yes","Java","Java","Java","Java","Java","No","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","via pyWPS[1]","No"
"Yes","Yes","Java","Java","Java","Java","Java","No","No"
"No","No","Yes","No","No","No","No","No","No"
"Yes","Yes","Yes","No","No","No","No","No","No"
"Viewer(s)","No","Yes","No","No","No","CLIX","Yes","KML"
"Yes","Yes","Java","Java","Java","Java","Java","No","No"
"Yes","Yes","Java","Java","Java","Java","Java","No","No"
"No","No","Java","Java","Java","Java","Java","No","No"
"No","No","Yes","No","No","No","No","Yes","null"
"No","No","Yes","No","No","No","No","Yes","No"
"Discontinued","No","Yes","No","No","No","No","Yes","No"
"Viewer(s)","No","Yes","No","No","No","Yes","Yes","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","AMP","No"
"No","No","Yes","No","No","No","No","Yes","No"
"Yes","Yes","Yes","No","No","No","No","No","No"
"No","No","Yes","Yes","Yes","No","Yes","Yes","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Google Earth Plugin, KML, WMS"
"No","No","Yes","No","No","No","No","No","No"
"No","No","Yes","No","No","No","No","No","No"
"Yes","Yes","Yes","Yes","Yes","Yes","No","No","KLM"
"Free Trial","No","No","No","Yes","No","No","Yes","No"
"No","Yes","Yes","No","Yes","No","Yes","Read-only","OLE, XML, Multiuser, Utility Data Model, Data Translator export/import"
"Yes","Yes","Yes","No","Yes","No","Solaris","No","No"
"Yes","Yes","Yes","No","Yes","No","No","No","No"
"Viewer(s)","No","Yes","Yes","Yes","No","Yes","No","No"
"No","No","Yes","No","No","No","No","No","No"
"Yes","Yes","Java","Java","Java","Java","Java","No","No"
"null","null","null","null","null","null","null","null","null"
