"Format","Compression algorithm , URL: /wiki/Compression_algorithm
","Raster , URL: /wiki/Raster_graphics
vector , URL: /wiki/Vector_graphics
","Color depth , URL: /wiki/Color_depth
","Indexed color , URL: /wiki/Indexed_color
","Transparency , URL: /wiki/Transparency_in_graphic_files
","Metadata , URL: /wiki/Metadata
","Interlacing , URL: /wiki/Interlace_(bitmaps)
","Multi-page","Animation , URL: /wiki/Animation
","Layers","Color management , URL: /wiki/Color_management
","Extendable","HDR format , URL: /wiki/High_dynamic_range_imaging
"
"AI , URL: /wiki/Adobe_Illustrator_Artwork
","Lossy and lossless","Both","1, 8, 24, and 32 (possibly with multiple palettes)","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","No"
"BMP , URL: /wiki/BMP_file_format
","RLE , URL: /wiki/Run-length_encoding
","Raster","1, 4, 8, 16, 24, 32, and 64","Yes","Yes","No","No","No","No","No","Yes","No","No"
"BPG , URL: /wiki/Better_Portable_Graphics
","HEVC , URL: /wiki/HEVC
","Raster","8 to 14 bits per channel","No","Yes","Yes","No","No","Yes","Unknown","Yes","Unknown","Unknown"
"CDR , URL: /wiki/CorelDRAW
","Lossy and lossless","Both","1, 8, 24,and 32 (multiple palettes)","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","No"
"CPC , URL: /wiki/Cartesian_Perceptual_Compression
","CPC","Raster","1","No","No","Yes","No","Yes","No","No","No","Yes, via embedded dictionary","No"
"EPS , URL: /wiki/Encapsulated_PostScript
","LZW , URL: /wiki/LZW
Deflate , URL: /wiki/Deflate
RLE , URL: /wiki/Run-length_encoding
DCT , URL: /wiki/Discrete_cosine_transform
","Both","Device specific","No","Yes","Yes","N/A","Yes","No","Yes","Yes","Yes","Yes"
"EXR , URL: /wiki/OpenEXR
","RLE , URL: /wiki/Run-length_encoding
ZIP , URL: /wiki/ZIP_(file_format)
","Raster","floating-point , URL: /wiki/IEEE_floating-point_standard
","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Farbfeld","None","Raster","64 (16-bits-per-channel)","No","Yes","No","No","No","No","No","No","No","No"
"FLIF , URL: /wiki/Free_Lossless_Image_Format
","Lossless, MANIAC entropy coding","Raster","1 to 16 bits per channel","Yes","Yes","Yes","Yes, Adam∞","No","Yes","No","Yes","Yes, via chunks","color profile , URL: /wiki/ICC_profile
"
"GIF , URL: /wiki/GIF
","LZW , URL: /wiki/LZW
","Raster","Indexed (1bpc to 8bpc) and grayscale (8bpc)","Yes","Yes; 1bpp plane-only mask using color index","Yes","Yes","Yes","Yes","Yes","No","Yes (GIF89a)","No"
"HD Photo , URL: /wiki/HD_Photo
JPEG XR , URL: /wiki/JPEG_XR
","Lossy and lossless bi-orthogonal transform","Raster","floating-point , URL: /wiki/IEEE_floating-point_standard
","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"ILBM , URL: /wiki/ILBM
","run-length encoding , URL: /wiki/Run-length_encoding
","Raster","EHB , URL: /wiki/Extra_Half-Brite
8-bit , URL: /wiki/8-bit_computing
HAM6 , URL: /wiki/Hold-And-Modify
12-bit , URL: /wiki/12-bit_computing
HAM8 , URL: /wiki/Hold_And_Modify#Advanced_Graphics_Architecture_HAM_mode_(HAM8)
18-bit , URL: /wiki/18-bit_computing
24-bit , URL: /wiki/24-bit_computing
","Yes","No","Yes","Yes","No","Palette-shifting , URL: /wiki/Palette-shifting
","No","No","Yes","No"
"IMA","Lossy and lossless original mutiresolution analysis transformation","Raster","8-bit , URL: /wiki/8-bit_computing
16-bit , URL: /wiki/16-bit_computing
integer , URL: /wiki/Integer
32-bit , URL: /wiki/32-bit_computing
floating-point , URL: /wiki/Floating-point
","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"JPEG , URL: /wiki/JPEG
","DCT , URL: /wiki/Discrete_cosine_transform
RLE , URL: /wiki/Run-length_encoding
Huffman , URL: /wiki/Huffman_coding
","Raster","8-bit , URL: /wiki/8-bit_computing
greyscale , URL: /wiki/Greyscale
24-bit , URL: /wiki/24-bit_computing
","No","No","Yes","Yes","No","No","No","Yes","No","JPEG-HDR , URL: /wiki/JPEG-HDR
"
"JPEG 2000 , URL: /wiki/JPEG_2000
","DWT , URL: /wiki/Discrete_Wavelet_Transform
","Raster","8 , URL: /wiki/8-bit
16 , URL: /wiki/16-bit
greyscale , URL: /wiki/Greyscale
48-bit , URL: /wiki/48-bit
","No","Yes","Yes","Yes","No","No","No","Yes","Unknown","No"
"JPEG XL , URL: /wiki/JPEG_XL
","Lossy and lossless (VarDCT mode, Modular mode)","Raster","up to 32 bits per channel","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
