"System","Creator","License , URL: /wiki/Software_license
","Implementation language(s)","Back end , URL: /wiki/Back-end_database
","Launch Date"
"Faveo Helpdesk , URL: /wiki/Faveo
","Ladybird Web Solution","Proprietary","PHP , URL: /wiki/PHP
","MySQL , URL: /wiki/MySQL
","2015"
"GLPI , URL: /wiki/GLPI
","INDEPNET","GPL , URL: /wiki/GPL
","PHP , URL: /wiki/PHP
","MySQL , URL: /wiki/MySQL
","2003"
"HEAT , URL: /wiki/HEAT_(software)
","FrontRange Solutions","Proprietary",".NET","Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
Oracle , URL: /wiki/Oracle_Database
","1990"
"JIRA , URL: /wiki/Jira_(software)
","Atlassian , URL: /wiki/Atlassian
","Proprietary, Free for non-commercial use; hosted & on-premises","Java , URL: /wiki/Java_(software_platform)
","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","2003"
"OTRS , URL: /wiki/OTRS
","OTRS , URL: /wiki/OTRS
","AGPL , URL: /wiki/Affero_General_Public_License
","Perl , URL: /wiki/Perl
","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_Database
Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","2001"
"Request Tracker , URL: /wiki/Request_Tracker
","Best Practical Solutions, LLC","GPL , URL: /wiki/GPL
","Perl , URL: /wiki/Perl
","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Oracle , URL: /wiki/Oracle_Database
","1999-10-13"
"Spiceworks , URL: /wiki/Spiceworks
","Spiceworks IT Software","Proprietary; free for use","Ruby , URL: /wiki/Ruby_(programming_language)
","sqlite , URL: /wiki/Sqlite
","2006"
"Supportworks , URL: /wiki/Supportworks
","Hornbill Systems","Proprietary","Visual C++ , URL: /wiki/Visual_C%2B%2B
PHP , URL: /wiki/PHP
","Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_database
Sybase , URL: /wiki/Adaptive_Server_Enterprise
","1994"
"SysAid , URL: /wiki/SysAid_Technologies
","SysAid Technologies","Proprietary","Java , URL: /wiki/Java_(programming_language)
C# , URL: /wiki/C_Sharp_(programming_language)
","MySQL , URL: /wiki/MySQL
Derby , URL: /wiki/Apache_Derby
Oracle , URL: /wiki/Oracle_Database
Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","2002"
"Tracker , URL: /wiki/Tracker_(business_software)
","Automation Centre","Proprietary","Groupware , URL: /wiki/Groupware
Lotus Notes , URL: /wiki/Lotus_Notes
","IBM Lotus Domino , URL: /wiki/IBM_Lotus_Domino
","2001"
"TrackerSuite.Net , URL: /wiki/Tracker_(business_software)
","Automation Centre","Proprietary","C# , URL: /wiki/C_Sharp_(programming_language)
","Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","2006"
"Zammad , URL: /wiki/Zammad
","Zammad GmbH","AGPL , URL: /wiki/Affero_General_Public_License
","Ruby , URL: /wiki/Ruby_(programming_language)
","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
","2016"
