"","","","Ultra HD Blu-ray , URL: /wiki/Ultra_HD_Blu-ray
","Blu-ray Disc , URL: /wiki/Blu-ray_Disc
","HD DVD , URL: /wiki/HD_DVD
","CBHD , URL: /wiki/CBHD
CH-DVD , URL: /wiki/CH-DVD
","AVCHD , URL: /wiki/AVCHD
","AVCREC , URL: /wiki/AVCREC
","DVD , URL: /wiki/DVD-Video
"
"Laser , URL: /wiki/Laser
wavelength , URL: /wiki/Wavelength
","Laser , URL: /wiki/Laser
wavelength , URL: /wiki/Wavelength
","Laser , URL: /wiki/Laser
wavelength , URL: /wiki/Wavelength
","","nm , URL: /wiki/Nanometre
","nm , URL: /wiki/Nanometre
","nm , URL: /wiki/Nanometre
","405 or 650 nm","650 nm (red laser)","650 nm (red laser)"
"Numerical aperture , URL: /wiki/Numerical_aperture
","Numerical aperture , URL: /wiki/Numerical_aperture
","Numerical aperture , URL: /wiki/Numerical_aperture
","","0.85","0.65","0.65","0.85 or 0.6","0.6","0.6"
"Storage capacity (single side)","Storage capacity (single side)","per layer/maximum","100 GB","25(50)/128 GB[a]","15/30 GB[a]","15/30 GB[a]","1.4/2.6 GB (8 cm DVD), 4.7/8.5 GB (12 cm DVD), 25/50 GB (12 cm BD)","4.7/8.5 GB","4.7/8.5 GB"
"bitrate , URL: /wiki/Bitrate
","Raw data transfer","Raw data transfer","128 Mbit/s","53.95 Mbit/s","36.55 Mbit/s","36.55 Mbit/s","Unknown","Unknown","11.08 Mbit/s"
"bitrate , URL: /wiki/Bitrate
","Audio+Video+Subtitles","Audio+Video+Subtitles","","48.0 Mbit/s","30.24 Mbit/s","30.24 Mbit/s","27 Mbit/s","27 Mbit/s","10.08 Mbit/s"
"bitrate , URL: /wiki/Bitrate
","Video","Video","","40.0 Mbit/s","29.4 Mbit/s","29.4 Mbit/s","Unknown","Unknown","9.8 Mbit/s"
"video codecs , URL: /wiki/Video_codec
","video codecs , URL: /wiki/Video_codec
","video codecs , URL: /wiki/Video_codec
","H.265/MPEG-H Part 2 , URL: /wiki/H.265/MPEG-H_Part_2
","H.264/MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC
VC-1 , URL: /wiki/VC-1
MPEG-2 , URL: /wiki/MPEG-2
","H.264/MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC
VC-1 , URL: /wiki/VC-1
MPEG-2 , URL: /wiki/MPEG-2
","AVS , URL: /wiki/Audio_Video_Standard
H.264/MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC
VC-1 , URL: /wiki/VC-1
MPEG-2 , URL: /wiki/MPEG-2
","H.264/MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC
","H.264/MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC
MPEG-2 , URL: /wiki/MPEG-2
","MPEG-1 , URL: /wiki/MPEG-1
MPEG-2 , URL: /wiki/MPEG-2
"
"Audio codecs , URL: /wiki/Audio_codec
","lossy , URL: /wiki/Audio_compression_(data)#Lossy_audio_compression
","Dolby Digital , URL: /wiki/Dolby_Digital
","TBD","Mandatory 640 kbit/s","Mandatory 504 kbit/s [2]","Mandatory 504 kbit/s [2]","Mandatory 64-640 kbit/s","Mandatory 64-640 kbit/s","Mandatory 448 kbit/s"
"Audio codecs , URL: /wiki/Audio_codec
","lossy , URL: /wiki/Audio_compression_(data)#Lossy_audio_compression
","DTS , URL: /wiki/DTS_Coherent_Acoustics
","TBD","Mandatory 1.5 Mbit/s","Mandatory 1.5 Mbit/s","Unknown","N/A","N/A","Optional 1.5 Mbit/s"
"Audio codecs , URL: /wiki/Audio_codec
","lossy , URL: /wiki/Audio_compression_(data)#Lossy_audio_compression
","Dolby Digital Plus , URL: /wiki/Dolby_Digital_Plus
","TBD","Optional 1.7 Mbit/s","Mandatory 3.0 Mbit/s","Mandatory 3.0 Mbit/s","N/A","N/A","N/A"
"Audio codecs , URL: /wiki/Audio_codec
","lossy , URL: /wiki/Audio_compression_(data)#Lossy_audio_compression
","DTS-HD High Resolution , URL: /wiki/Digital_Theater_System#DTS-HD_High_Resolution_Audio
","TBD","Optional 6.0 Mbit/s","Optional 3.0 Mbit/s","Unknown","N/A","N/A","N/A"
"Audio codecs , URL: /wiki/Audio_codec
","lossless , URL: /wiki/Audio_compression_(data)#Lossless
","Linear PCM , URL: /wiki/Linear_PCM
","TBD","Mandatory","Mandatory","Mandatory","Optional","Optional","Optional"
"Audio codecs , URL: /wiki/Audio_codec
","lossless , URL: /wiki/Audio_compression_(data)#Lossless
","Dolby TrueHD , URL: /wiki/Dolby_TrueHD
","TBD","Optional 18 Mbit/s","Mandatory 18 Mbit/s","Mandatory 18 Mbit/s","N/A","N/A","N/A"
"Audio codecs , URL: /wiki/Audio_codec
","lossless , URL: /wiki/Audio_compression_(data)#Lossless
","DTS-HD Master Audio , URL: /wiki/DTS-HD_Master_Audio
","TBD","Optional 24.5 Mbit/s","Optional 18 Mbit/s","Unknown","N/A","N/A","N/A"
"PiP , URL: /wiki/Picture-in-picture
","PiP , URL: /wiki/Picture-in-picture
","PiP , URL: /wiki/Picture-in-picture
","TBD","Bonus View , URL: /wiki/Blu-ray_Disc#Player_profiles
","Mandatory","Unknown","Unknown","Unknown","N/A"
