"Product","total # of formats",".cbr/.cbz",".chm",".djvu",".epub",".fb2",".html",".mobi",".pdb",".pdf",".rtf",".txt"
"Apabi Reader , URL: /w/index.php?title=Apabi_Reader&action=edit&redlink=1
","3","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"Blio , URL: /wiki/Blio
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Bluefire Reader , URL: /wiki/Bluefire_Reader
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"BookFusion , URL: /w/index.php?title=BookFusion&action=edit&redlink=1
","10+","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"DL Reader , URL: /w/index.php?title=DL_Reader&action=edit&redlink=1
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"eBookMobi , URL: /w/index.php?title=EBookMobi&action=edit&redlink=1
","10+","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"i2Reader , URL: /w/index.php?title=I2Reader&action=edit&redlink=1
","6+","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Apple Books , URL: /wiki/Apple_Books
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Kindle , URL: /wiki/Amazon_Kindle#Kindle_applications
","2","No","No","No","No","No","No","Yes","No","Yes","No","No"
"Kobo Reading App , URL: /wiki/Kobo_eReader
","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"KyBook","8","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"KyBook 2","16","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MapleRead","2","No","No","No","Yes","No","No","No","No","Yes","No","No"
"Marvin","2","Yes","No","No","Yes","No","No","No","No","No","No","No"
"MegaReader , URL: /w/index.php?title=MegaReader&action=edit&redlink=1
","1","No","No","No","Yes","No","No","No","No","No","No","No"
"PocketBook reader , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","8+","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes"
"ShuBook 2 , URL: /w/index.php?title=ShuBook_2&action=edit&redlink=1
","5+","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"SideBooks , URL: /w/index.php?title=SideBooks&action=edit&redlink=1
","2","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Stanza , URL: /wiki/Lexcycle_Stanza
","5+","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"uBooks XL , URL: /w/index.php?title=UBooks_XL&action=edit&redlink=1
","5","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes"
"iBouquiniste , URL: /w/index.php?title=IBouquiniste&action=edit&redlink=1
","5","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes"
"Product","total # of formats",".cbr/.cbz",".chm",".djvu",".epub",".fb2",".html",".mobi",".pdb",".pdf",".rtf",".txt"
