"Name","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
"
"ACDSee , URL: /wiki/ACDSee
","Yes","Yes","No","No"
"Adobe Bridge , URL: /wiki/Adobe_Bridge
","Yes","Yes","No","No"
"Adobe Photoshop Lightroom , URL: /wiki/Adobe_Photoshop_Lightroom
","Yes","Yes","No","No"
"Aperture , URL: /wiki/Apple_Aperture
","No","Yes","No","No"
"CDisplay , URL: /wiki/CDisplay
","Yes","No","No","No"
"digiKam , URL: /wiki/DigiKam
","Yes","Yes","Yes","Yes"
"Eye of GNOME (aka Image Viewer) , URL: /wiki/Eye_of_GNOME
","No","No","Yes","Yes"
"FastPictureViewer , URL: /wiki/Fast_Picture_Viewer
","Yes","No","No","No"
"FastStone Image Viewer , URL: /wiki/FastStone_Image_Viewer
","Yes","No","No","No"
"F-Spot , URL: /wiki/F-Spot
","No","No","Yes","No"
"Geeqie , URL: /wiki/Geeqie
","No","Yes","Yes","Yes"
"Gonvisor , URL: /wiki/Gonvisor
","Yes","Yes","No","No"
"GraphicConverter , URL: /wiki/GraphicConverter
","No","Yes","No","No"
"gThumb , URL: /wiki/GThumb
","No","No","Yes","Yes"
"Gwenview , URL: /wiki/Gwenview
","No","No","Yes","Yes"
"iPhoto , URL: /wiki/IPhoto
","No","Yes","No","No"
"IrfanView , URL: /wiki/IrfanView
","Yes","No","No","No"
"KSquirrel , URL: /wiki/KSquirrel
","No","No","Yes","No"
"KPhotoAlbum , URL: /wiki/KPhotoAlbum
","No","No","Yes","Yes"
"Lphoto","No","No","Yes","Yes"
"Microsoft Photos , URL: /wiki/Microsoft_Photos
","Yes","No","No","No"
"Phase One Media Pro , URL: /wiki/Phase_One_Media_Pro
","Yes","Yes","No","No"
"Paint.NET , URL: /wiki/Paint.NET
","Yes","No","No","No"
"Apple Photos , URL: /wiki/Apple_Photos
","No","Yes","No","No"
"Picasa , URL: /wiki/Picasa
","Yes","Yes","No","No"
"Preview , URL: /wiki/Preview_(software)
","No","Yes","No","No"
"Shotwell , URL: /wiki/Shotwell_(software)
","No","No","Yes","Yes"
"STDU Viewer , URL: /wiki/STDU_Viewer
","Yes","No","No","No"
"Windows Photo Gallery , URL: /wiki/Windows_Photo_Gallery
","Yes","No","No","No"
"Windows Photo Viewer , URL: /wiki/Windows_Photo_Viewer
","Yes","No","No","No"
"XnView , URL: /wiki/XnView
","Yes","No","No","No"
"XnViewMP , URL: /wiki/XnView
","Yes","Yes","Yes","No"
"Xv , URL: /wiki/Xv_(software)
","No","No","Yes","Yes"
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","Yes","No","No","No"
