"Client","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
"Client","Developer","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
"Briar , URL: /wiki/Briar_(software)
","","May 9, 2018; 3 years ago (2018-05-09)[2]","Android","
URL: https://www.wikidata.org/wiki/Q18210428?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-27","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Discord , URL: /wiki/Discord_(software)
","Discord Inc.","March 6, 2015; 7 years ago (2015-03-06)[5]","Android","
URL: https://www.wikidata.org/wiki/Q22907849?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-11","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","350 million (2021)[7]"
"Discord , URL: /wiki/Discord_(software)
","Discord Inc.","March 6, 2015; 7 years ago (2015-03-06)[5]","iOS","
URL: https://www.wikidata.org/wiki/Q22907849?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-16","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","350 million (2021)[7]"
"Discord , URL: /wiki/Discord_(software)
","Discord Inc.","March 6, 2015; 7 years ago (2015-03-06)[5]","Linux","
URL: https://www.wikidata.org/wiki/Q22907849?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-22","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","350 million (2021)[7]"
"Discord , URL: /wiki/Discord_(software)
","Discord Inc.","March 6, 2015; 7 years ago (2015-03-06)[5]","macOS","
URL: https://www.wikidata.org/wiki/Q22907849?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-25","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","350 million (2021)[7]"
"Discord , URL: /wiki/Discord_(software)
","Discord Inc.","March 6, 2015; 7 years ago (2015-03-06)[5]","Windows","
URL: https://www.wikidata.org/wiki/Q22907849?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-18","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","350 million (2021)[7]"
"eBuddy , URL: /wiki/EBuddy
","Paulo Taylor","March 9, 2003; 19 years ago (2003-03-09)[9]","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
",""
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","Android","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-09","Apache-2.0 , URL: /wiki/Apache_License
",""
"Element , URL: /wiki/Element_(software)
","New Vector Limited","July 2016; 5 years ago (2016-07)","iOS","
URL: https://www.wikidata.org/wiki/Q47004029?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-09","Apache-2.0 , URL: /wiki/Apache_License
",""
