"System","Email , URL: /wiki/Email
","RSS , URL: /wiki/RSS
","Atom , URL: /wiki/Atom_(standard)
","XMPP , URL: /wiki/Extensible_Messaging_and_Presence_Protocol
","Twitter , URL: /wiki/Twitter
"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Yes","Yes","No","No","No"
"Assembla , URL: /wiki/Assembla
","Yes","Yes","No","No","Yes"
"Axosoft , URL: /wiki/Axosoft
","Yes","Yes","No","No","No"
"Bugzilla , URL: /wiki/Bugzilla
","Yes","Yes","Yes","No","No"
"Debbugs , URL: /wiki/Debbugs
","Yes","No","No","No","No"
"Dolibarr , URL: /wiki/Dolibarr
","Yes","No","No","No","No"
"Faveo Helpdesk , URL: /wiki/Faveo
","Yes","No","No","No","No"
"FogBugz , URL: /wiki/FogBugz
","Yes","Yes","No","No","No"
"Fossil , URL: /wiki/Fossil_(software)
","Yes","Yes","No","No","No"
"FusionForge , URL: /wiki/FusionForge
","Yes","Yes","No","No","No"
"GLPI , URL: /wiki/GLPI
","Yes","No","No","Yes","No"
"GNATS , URL: /wiki/GNATS
","Yes","No","No","No","No"
"Helix ALM , URL: /wiki/Helix_ALM
","Yes","Yes","No","No","No"
"HP Quality Center , URL: /wiki/HP_Quality_Center
","Yes","No","No","No","No"
"Jira , URL: /wiki/Jira_(software)
","Yes","Yes","No","Yes","No"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","Yes","Yes","No","No","Yes"
"Microsoft Dynamics CRM , URL: /wiki/Microsoft_Dynamics_CRM
","Yes","No","No","No","No"
"org-mode , URL: /wiki/Org-mode
","No","No","No","No","No"
"OTRS , URL: /wiki/OTRS
","Yes","No","No","No","No"
"Phabricator , URL: /wiki/Phabricator
","Yes","No","No","No","No"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Yes","Yes","Yes","No","Yes"
"Redmine , URL: /wiki/Redmine
","Yes","Yes","Yes","Yes, via plugin","Yes"
"Request Tracker , URL: /wiki/Request_Tracker
","Yes","Yes[73]","No","No","No"
"Roundup , URL: /wiki/Roundup_(issue_tracker)
","Yes","Yes[74]","Yes[74]","No","No"
"StarTeam , URL: /wiki/StarTeam
","Yes","No","No","No","No"
"Supportworks , URL: /wiki/Supportworks
","Yes","No","No","No","No"
"SysAid , URL: /wiki/SysAid_Technologies
","Yes","No","No","No","No"
"Team Foundation Server , URL: /wiki/Team_Foundation_Server
","Yes","No","No","No","No"
"Trac , URL: /wiki/Trac
","Yes","Yes","No","No","No"
"TrackerSuite.Net , URL: /wiki/Tracker_(business_software)
","Yes","No","No","No","No"
"Twproject , URL: /wiki/Twproject
","Yes","Yes","No","No","Yes"
"Wrike , URL: /wiki/Wrike_(software)
","Yes","No","No","No","No"
"YouTrack , URL: /wiki/YouTrack
","Yes","Yes","No","Yes","No"
"Zammad , URL: /wiki/Zammad
","Yes","No","No","No","Yes"
"System","Email , URL: /wiki/Email
","RSS , URL: /wiki/RSS
","Atom , URL: /wiki/Atom_(standard)
","XMPP , URL: /wiki/Extensible_Messaging_and_Presence_Protocol
","Twitter , URL: /wiki/Twitter
"
