"System","Docker Image","Helm chart"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","Unknown","Unknown"
"Assembla , URL: /wiki/Assembla
","Unknown","Unknown"
"Axosoft , URL: /wiki/Axosoft
","Unknown","Unknown"
"Bugzilla , URL: /wiki/Bugzilla
","Yes (Not official) [107]","Yes[108]"
"Debbugs , URL: /wiki/Debbugs
","Unknown","Unknown"
"Faveo Helpdesk , URL: /wiki/Faveo
","Unknown","Unknown"
"FogBugz , URL: /wiki/FogBugz
","Unknown","Unknown"
"Fossil , URL: /wiki/Fossil_(software)
","Unknown","Unknown"
"FusionForge , URL: /wiki/FusionForge
","Unknown","Unknown"
"GLPI , URL: /wiki/GLPI
","Unknown","Unknown"
"GNATS , URL: /wiki/GNATS
","Unknown","Unknown"
"Helix ALM , URL: /wiki/Helix_ALM
","Unknown","Unknown"
"HP Quality Center , URL: /wiki/HP_Quality_Center
","Unknown","Unknown"
"Jira , URL: /wiki/Jira_(software)
","Unknown","Unknown"
"MantisBT , URL: /wiki/Mantis_Bug_Tracker
","Yes (Not official) [109]","Unknown"
"Microsoft Dynamics CRM , URL: /wiki/Microsoft_Dynamics_CRM
","Unknown","Unknown"
"org-mode , URL: /wiki/Org-mode
","Unknown","Unknown"
"OTRS , URL: /wiki/OTRS
","Unknown","Unknown"
"Phabricator , URL: /wiki/Phabricator
","Unknown","Unknown"
"Pivotal Tracker , URL: /wiki/Pivotal_Tracker
","Unknown","Unknown"
"Redmine , URL: /wiki/Redmine
","Yes (Official) [110]","Yes (Bitnami) [111]"
"Request Tracker , URL: /wiki/Request_Tracker
","Unknown","Unknown"
"Roundup , URL: /wiki/Roundup_(issue_tracker)
","Unknown","Unknown"
"StarTeam , URL: /wiki/StarTeam
","Unknown","Unknown"
"Supportworks , URL: /wiki/Supportworks
","Unknown","Unknown"
"SysAid , URL: /wiki/SysAid_Technologies
","Unknown","Unknown"
"Team Foundation Server , URL: /wiki/Team_Foundation_Server
","Unknown","Unknown"
"Trac , URL: /wiki/Trac
","Unknown","Unknown"
"TrackerSuite.Net , URL: /wiki/Tracker_(business_software)
","Unknown","Unknown"
"Tuleap , URL: /wiki/Tuleap
","Unknown","Unknown"
"Twproject , URL: /wiki/Twproject
","Unknown","Unknown"
"Wrike , URL: /wiki/Wrike_(software)
","Unknown","Unknown"
"YouTrack , URL: /wiki/YouTrack
","Unknown","Unknown"
"Zammad , URL: /wiki/Zammad
","Yes","Yes"
"System","Docker Image","Helm chart"
