"Styles","Origin","Derived From","Hard and soft techniques , URL: /wiki/Hard_and_soft_techniques
","Stances , URL: /wiki/Karate_stances
","Kata , URL: /wiki/Karate_kata
","Number of kata","References"
"Chitō-ryū , URL: /wiki/Chit%C5%8D-ry%C5%AB
","Okinawa , URL: /wiki/Okinawa
","Shōrei-ryū , URL: /wiki/Sh%C5%8Drei-ry%C5%AB
Naha-te , URL: /wiki/Naha-te
Shōrin-ryū , URL: /wiki/Sh%C5%8Drin-ry%C5%AB
","both elements exist but more hard than soft","natural","Shi Ho Hai, Seisan, Ro Hai Sho, Niseishi, Bassai, Chinto, Sochin, Tenshin, Ro Hai Dai, Sanshiryu, Ryushan, Kusanku, Sanchin","15 kata not including kihon and Bo kihon/kata",""
"Genseiryū , URL: /wiki/Genseiry%C5%AB
","Okinawa , URL: /wiki/Okinawa
","Shuri-te , URL: /wiki/Shuri-te
Tomari-te , URL: /wiki/Tomari-te
","both, but mostly soft","deep/natural","Ten-i no Kata, Chi-i no Kata, Jin-i no Kata, Sansai, (Koryu) Naifanchi, (Koryu) Bassai, (Koryu) Kusanku or Koshokun (dai)","7 or 8",""
"Gōjū-ryū , URL: /wiki/G%C5%8Dj%C5%AB-ry%C5%AB
","Okinawa , URL: /wiki/Okinawa
","Fujian White Crane , URL: /wiki/Fujian_White_Crane
Naha-te , URL: /wiki/Naha-te
","both","deep/natural","Sanchin, Tensho, Gekisai Dai/Sho, Seipai, Saifa, Suparinpei","12",""
"Gosoku-ryu , URL: /wiki/Gosoku-ryu
","Japan , URL: /wiki/Japan
","Gōjū-ryū , URL: /wiki/G%C5%8Dj%C5%AB-ry%C5%AB
Shotokan , URL: /wiki/Shotokan
","both","deep (beginner), natural (advanced)","Gosoku, Rikyu, Denko Getsu, Tamashi","46 including weapons kata",""
"Isshin-ryū , URL: /wiki/Isshin-ry%C5%AB
","Okinawa , URL: /wiki/Okinawa
","Gōjū-ryū , URL: /wiki/G%C5%8Dj%C5%AB-ry%C5%AB
Shōrin-ryū , URL: /wiki/Sh%C5%8Drin-ry%C5%AB
Kobudō , URL: /wiki/Okinawan_kobud%C5%8D
","both, fast & hard","natural","Seisan, Naihanchi, Wansu, Passai, Chinto, Kusanku, Seiunchin, Sanchin, Sunsu","15 including weapons kata",""
"Kyokushin , URL: /wiki/Kyokushin
","Japan , URL: /wiki/Japan
","Shotokan , URL: /wiki/Shotokan
Gōjū-ryū , URL: /wiki/G%C5%8Dj%C5%AB-ry%C5%AB
","extremely hard","natural","Sokogi, Pinan + ura,","33","[4]"
"Motobu-ryū , URL: /wiki/Motobu-ry%C5%AB
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Shuri-te , URL: /wiki/Shuri-te
Tomari-te , URL: /wiki/Tomari-te
","","mainly natural","Primary: Naihanchi and Shiro Kuma","1",""
"Shindō jinen-ryū , URL: /wiki/Shind%C5%8D_jinen-ry%C5%AB
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Shuri-te , URL: /wiki/Shuri-te
Shitō-ryū , URL: /wiki/Shit%C5%8D-ry%C5%AB
Naha-te , URL: /wiki/Naha-te
Tomari-te , URL: /wiki/Tomari-te
","both","deep/natural","Shimpa, Taisabaki 1-3, Sunakake no Kon","More than 60 counting all kobudo kata",""
"Shitō-ryū , URL: /wiki/Shit%C5%8D-ry%C5%AB
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Shuri-te , URL: /wiki/Shuri-te
Naha-te , URL: /wiki/Naha-te
","both","deep/natural","Pinan, Bassai Dai, Seienchin, Saifa, Rōhai, Nipaipo","94","[3]"
"Shōrin-ryū , URL: /wiki/Sh%C5%8Drin-ry%C5%AB
","Okinawa , URL: /wiki/Okinawa
","Shuri-te , URL: /wiki/Shuri-te
Tomari-te , URL: /wiki/Tomari-te
Chinese martial arts , URL: /wiki/Chinese_martial_arts
","both, primarily fast & hard","natural","Fukyu, Pinan, Naihanchi, passai, kanku, seisan","21",""
"Shotokan , URL: /wiki/Shotokan
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Shōrin-ryū , URL: /wiki/Sh%C5%8Drin-ry%C5%AB
Shōrei-ryū , URL: /wiki/Sh%C5%8Drei-ry%C5%AB
","70% hard, 30% soft/fast","deep (beginner), longer (advanced)","Unsu, 3 Taikyoku, 5 Heian, 3 Tekki, Jion, Kanku Dai, Bassai Dai, Empi, Sochin","26","[3]"
"Shūkōkai , URL: /wiki/Sh%C5%ABk%C5%8Dkai
","Japan , URL: /wiki/Japan
","Gōjū-ryū , URL: /wiki/G%C5%8Dj%C5%AB-ry%C5%AB
Shitō-ryū , URL: /wiki/Shit%C5%8D-ry%C5%AB
","60% hard, 40% soft","natural","Pinan, Bassai Dai, Seienchin, Saifa, Rōhai","44",""
"Shuri-ryū , URL: /wiki/Shuri-ry%C5%AB
","United States , URL: /wiki/United_States
","Shuri-te , URL: /wiki/Shuri-te
Hsing-yi , URL: /wiki/Xingyiquan
","both","deep/natural","Wunsu, O-Naihanchi, Sanchin","15",""
"Uechi-Ryū , URL: /wiki/Uechi-Ry%C5%AB
","Fuzhou, Fujian Province , URL: /wiki/Fuzhou
Okinawa , URL: /wiki/Okinawa
","Pangai-noon , URL: /wiki/Pangai-noon
Naha-te , URL: /wiki/Naha-te
","half-hard, half-soft","mainly natural","Sanchin, Seisan, Sanseirui","8",""
"Wadō-ryū , URL: /wiki/Wad%C5%8D-ry%C5%AB
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Shindō Yōshin-ryū , URL: /wiki/Shind%C5%8D_Y%C5%8Dshin-ry%C5%AB
Jujutsu , URL: /wiki/Jujutsu
Tomari-te , URL: /wiki/Tomari-te
Shotokan , URL: /wiki/Shotokan
Motobu-Ryū , URL: /w/index.php?title=Motobu-Ry%C5%AB&action=edit&redlink=1
","both, primarily soft","mainly natural","Primary: Pinan, Kushanku, Naihanchi, Seishan, and Chintō. Secondary: Jion, Wanshu, Jitte, Rohai, Bassai, and Niseishi[6]","15",""
"Yōshūkai , URL: /wiki/Yoshukai_Karate
","Japan , URL: /wiki/Japan
Okinawa , URL: /wiki/Okinawa
","Chitō-ryū , URL: /wiki/Chit%C5%8D-ry%C5%AB
","90% hard, 10% soft (similar in hardness to Kyokushin-kai and/or Sabkai Enshin karate)","mainly natural","Shi Ho Hai, Seisan, Ro Hai Sho, Ro Hai Dai, Niseishi, Bassai, Chinto, Sochin, Tenshin, Sanshiryu, Ryusan, Kusanku, Sanchin","18",""
