"v t e JavaScript","v t e JavaScript"
"Code analysis , URL: /wiki/Static_program_analysis
","ESLint JSHint JSLint"
"Supersets , URL: /wiki/Subset
","JS++ Objective-J TypeScript"
"Transpilers , URL: /wiki/Source-to-source_compiler
","AtScript Babel ClojureScript CoffeeScript Dart Elm Emscripten Google Closure Compiler Google Web Toolkit Haxe LiveScript Morfik Nim Opa PureScript Reason WebSharper"
"Concepts","Client-side JavaScript library JavaScript syntax"
"Debuggers , URL: /wiki/Debugger
","Chrome DevTools Firefox Inspector Komodo IDE Microsoft Edge DevTools Opera DevTools Safari Web Inspector"
"Doc generators , URL: /wiki/Documentation_generator
","JSDoc"
"Editors (comparison)","Ace Cloud9 IDE Atom CodeMirror Brackets Light Table PhpStorm Orion Visual Studio Visual Studio Express Visual Studio Code Visual Studio Team Services Vim"
"Engines , URL: /wiki/JavaScript_engine
","Comparison of engines DOM support List of ECMAScript engines"
"Frameworks , URL: /wiki/Software_framework
","Comparison of JavaScript frameworks List of JavaScript libraries"
"technologies , URL: /wiki/Technology
","Ajax AssemblyScript asm.js Cascading Style Sheets Document Object Model HTML HTML5 JSON WebAssembly WebAuthn"
"Package managers , URL: /wiki/Package_manager
","npm"
"Module bundlers","Webpack"
"Server-side , URL: /wiki/Server-side_JavaScript
","Active Server Pages CommonJS Deno JSGI Node.js Wakanda"
"Unit testing , URL: /wiki/Unit_testing
","Jasmine Jest Mocha QUnit"
"People","Douglas Crockford Brendan Eich John Resig"
