"","Creator","Language","First public release","Latest stable version","Source code availability","License","Notes"
"ALGLIB , URL: /wiki/ALGLIB
","ALGLIB Project","C++, C#, FreePascal, VBA","2006","3.12.0 / 08.2017","Free","GPL/commercial","General purpose numerical analysis library with C++ and C# interfaces."
"Armadillo , URL: /wiki/Armadillo_(C%2B%2B_library)
","NICTA , URL: /wiki/NICTA
","C++","2009","9.200 / 10.2018","Free","Apache License 2.0 , URL: /wiki/Apache_License_2.0
","API , URL: /wiki/Application_programming_interface
MATLAB , URL: /wiki/MATLAB
"
"ATLAS , URL: /wiki/Automatically_Tuned_Linear_Algebra_Software
","R. Clint Whaley et al.","C","2001","3.10.3 / 07.2016","Free","BSD","Automatically tuned implementation of BLAS. Also includes LU and Cholesky decompositions."
"Blaze[4]","K. Iglberger et al.","C++","2012","3.8 / 08.2020","Free","BSD , URL: /wiki/BSD_licenses
","Blaze is an open-source, high-performance C++ math library for dense and sparse arithmetic."
"Blitz++ , URL: /wiki/Blitz%2B%2B
","Todd Veldhuizen","C++","?","1.0.2 / 10.2019","Free","GPL , URL: /wiki/GNU_General_Public_License
","Blitz++ is a C++ template class library that provides high-performance multidimensional array containers for scientific computing."
"Boost , URL: /wiki/Boost_(C%2B%2B_libraries)
","J. Walter, M. Koch","C++","2000","1.70.0 / 04.2019","Free","Boost Software License","uBLAS is a C++ template class library that provides BLAS level 1, 2, 3 functionality for dense, packed and sparse matrices."
"Dlib , URL: /wiki/Dlib
","Davis E. King","C++","2006","19.7 / 09/2017","Free","Boost","C++ template library; binds to optimized BLAS such as the Intel MKL; Includes matrix decompositions, non-linear solvers, and machine learning tooling"
"Eigen , URL: /wiki/Eigen_(C%2B%2B_library)
","Benoît Jacob","C++","2008","3.3.9 / 12.2020","Free","MPL2 , URL: /wiki/Mozilla_Public_License
","Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms."
"Fastor[5]","R. Poya, A. J. Gil and R. Ortigosa","C++","2016","0.6.3 / 06.2020","Free","MIT License , URL: /wiki/MIT_License
","Fastor is a high performance tensor (fixed multi-dimensional array) library for modern C++."
"GNU Scientific Library , URL: /wiki/GNU_Scientific_Library
","GNU Project","C, C++","1996","2.5 / 06.2018","Free","GPL , URL: /wiki/GNU_General_Public_License
","General purpose numerical analysis library. Includes some support for linear algebra."
"IMSL Numerical Libraries , URL: /wiki/IMSL_Numerical_Libraries
","Rogue Wave Software , URL: /wiki/Rogue_Wave_Software
","C, Java, C#, Fortran, Python","1970","many components","Non-free","Proprietary","General purpose numerical analysis library."
"LAPACK , URL: /wiki/LAPACK
","","Fortran","1992","3.9.0 / 11.2019","Free","3-clause BSD , URL: /wiki/BSD_licenses
","Numerical linear algebra library with long history"
"librsb , URL: /wiki/Librsb
","Michele Martone","C, Fortran, M4","2011","1.2 / September 2016","Free","GPL , URL: /wiki/GNU_General_Public_License
","High-performance multi-threaded primitives for large sparse matrices. Support operations for iterative solvers: multiplication, triangular solve, scaling, matrix I/O, matrix rendering. Many variants: e.g.: symmetric, hermitian, complex, quadruple precision."
"oneMKL , URL: /w/index.php?title=Intel(R)_oneAPI_Math_Kernel_Library&action=edit&redlink=1
","Intel","C++, Fortran","2003","2022.0 update 1 / 01.2022","Non-free","Intel Simplified Software License","Numerical analysis library optimized for Intel CPUs"
"Math.NET Numerics , URL: /wiki/Math.NET_Numerics
","C. Rüegg, M. Cuda, et al.","C#","2009","3.20 / 07.2017","Free","MIT License , URL: /wiki/MIT_License
","C# numerical analysis library with linear algebra support"
"Matrix Template Library , URL: /wiki/Matrix_Template_Library
","Jeremy Siek, Peter Gottschling, Andrew Lumsdaine, et al","C++","1998","4.0 / 2018","Free","Boost , URL: /wiki/Boost_(C%2B%2B_libraries)
","Generic programming , URL: /wiki/Generic_programming
"
"NAG Numerical Library , URL: /wiki/NAG_Numerical_Library
","The Numerical Algorithms Group , URL: /wiki/Numerical_Algorithms_Group
","C, Fortran","1971","many components","Non-free","Proprietary","General purpose numerical analysis library."
"NMath , URL: /wiki/NMath
","CenterSpace Software , URL: /wiki/CenterSpace_Software
","C#","2003","7.1 / December 2019","Non-free","Proprietary",".NET Framework , URL: /wiki/.NET_Framework
"
"SciPy , URL: /wiki/SciPy
","Enthought , URL: /wiki/Enthought
","Python","2001","1.0.0 / 10.2017","Free","BSD , URL: /wiki/BSD_licenses
","Based on Python"
"Xtensor[12]","S. Corlay, W. Vollprecht, J. Mabille et al.","C++","2016","0.21.10 / 11.2020","Free","3-clause BSD , URL: /wiki/BSD_licenses
","Xtensor is a C++ library meant for numerical analysis with multi-dimensional array expressions, broadcasting and lazy computing."
