"Language","Google Translate , URL: /wiki/Google_Translate
","Microsoft Translator , URL: /wiki/Microsoft_Translator
","Yandex Translate , URL: /wiki/Yandex_Translate
","Amazon Translate , URL: /w/index.php?title=Amazon_Translate&action=edit&redlink=1
","IBM Watson , URL: /wiki/Watson_(computer)
"
"Afrikaans , URL: /wiki/Afrikaans
","Yes","Yes","Yes","Yes","No"
"Albanian , URL: /wiki/Albanian_language
","Yes","Yes","Yes","Yes","No"
"Amharic , URL: /wiki/Amharic
","Yes","Yes","Yes","Yes","No"
"Arabic , URL: /wiki/Arabic
","Yes","Yes","Yes","Yes","Yes"
"Armenian , URL: /wiki/Armenian_language
","Yes","Yes","Yes","Yes","No"
"Assamese , URL: /wiki/Assamese_language
","No","Yes","No","No","No"
"Azerbaijani , URL: /wiki/Azerbaijani_language
","Yes","Yes","Yes","Yes","No"
"Bashkir , URL: /wiki/Bashkir_language
","No","Yes","Yes","No","No"
"Basque , URL: /wiki/Basque_language
","Yes","No","Yes","No","Yes"
"Belarusian , URL: /wiki/Belarusian_language
","Yes","No","Yes","No","No"
"Bengali , URL: /wiki/Bengali_language
","Yes","Yes","Yes","Yes","Yes"
"Bosnian , URL: /wiki/Bosnian_language
","Yes","Yes","Yes","Yes","Yes"
"Bulgarian , URL: /wiki/Bulgarian_language
","Yes","Yes","Yes","Yes","Yes"
"Burmese , URL: /wiki/Burmese_language
","Yes","Yes","Yes","No","No"
"Cantonese , URL: /wiki/Cantonese
","No","Yes","No","No","No"
"Catalan , URL: /wiki/Catalan_language
","Yes","Yes","Yes","Yes","Yes"
"Cebuano , URL: /wiki/Cebuano_language
","Yes","No","Yes","No","No"
"Chewa , URL: /wiki/Chewa_language
","Yes","No","No","No","No"
"Chinese , URL: /wiki/Chinese_language
Simplified , URL: /wiki/Simplified_Chinese_characters
","Yes","Yes","Yes","Yes","Yes"
"Chinese , URL: /wiki/Chinese_language
Traditional , URL: /wiki/Traditional_Chinese_characters
","Yes","Yes","No","Yes","Yes"
"Chuvash , URL: /wiki/Chuvash_language
","No","No","Yes","No","No"
"Classical Chinese , URL: /wiki/Classical_Chinese
","No","Yes","No","No","No"
"Corsican , URL: /wiki/Corsican_language
","Yes","No","No","No","No"
"Croatian , URL: /wiki/Croatian_language
","Yes","Yes","Yes","Yes","Yes"
"Czech , URL: /wiki/Czech_language
","Yes","Yes","Yes","Yes","Yes"
"Danish , URL: /wiki/Danish_language
","Yes","Yes","Yes","Yes","Yes"
"Dari , URL: /wiki/Dari
","No","Yes","No","Yes","No"
"Dhivehi , URL: /wiki/Dhivehi_Language
","No","Yes","No","No","No"
"Dutch , URL: /wiki/Dutch_language
","Yes","Yes","Yes","Yes","Yes"
"Sindarin , URL: /wiki/Sindarin
","No","No","Yes","No","No"
"English , URL: /wiki/English_language
","Yes","Yes","Yes","Yes","Yes"
"Esperanto , URL: /wiki/Esperanto
","Yes","No","Yes","No","No"
"Estonian , URL: /wiki/Estonian_language
","Yes","Yes","Yes","Yes","Yes"
"Fijian , URL: /wiki/Fijian_language
","No","Yes","No","No","No"
"Finnish , URL: /wiki/Finnish_language
","Yes","Yes","Yes","Yes","Yes"
"French , URL: /wiki/French_language
","Yes","Yes","Yes","Yes","Yes"
"French (Canada) , URL: /wiki/Canadian_French
","No","Yes","No","Yes","Yes"
"Galician , URL: /wiki/Galician_language
","Yes","No","Yes","No","No"
"Georgian , URL: /wiki/Georgian_language
","Yes","Yes","Yes","Yes","No"
"German , URL: /wiki/German_language
","Yes","Yes","Yes","Yes","Yes"
"Greek , URL: /wiki/Greek_language
","Yes","Yes","Yes","Yes","Yes"
"Gujarati , URL: /wiki/Gujarati_language
","Yes","Yes","Yes","Yes","Yes"
"Haitian Creole , URL: /wiki/Haitian_Creole
","Yes","Yes","Yes","Yes","No"
"Hausa , URL: /wiki/Hausa_language
","Yes","No","No","Yes","No"
"Hawaiian , URL: /wiki/Hawaiian_language
","Yes","No","No","No","No"
"Hebrew , URL: /wiki/Hebrew_language
","Yes","Yes","Yes","Yes","Yes"
"Hill Mari , URL: /wiki/Hill_Mari_language
","No","No","Yes","No","No"
"Hindi , URL: /wiki/Hindi
","Yes","Yes","Yes","Yes","Yes"
"Hmong , URL: /wiki/Hmong_language
","Yes","No","No","No","No"
"Hmong Daw , URL: /wiki/Hmong_Daw
","No","Yes","No","No","No"
"Hungarian , URL: /wiki/Hungarian_language
","Yes","Yes","Yes","Yes","Yes"
"Icelandic , URL: /wiki/Icelandic_language
","Yes","Yes","Yes","Yes","No"
"Igbo , URL: /wiki/Igbo_language
","Yes","No","No","No","No"
"Indonesian , URL: /wiki/Indonesian_language
","Yes","Yes","Yes","Yes","Yes"
