"","OS support","OS support","OS support","Protocol support","Protocol support","Protocol support","Protocol support","Protocol support","Protocol support","Protocol support","Features","Features","Features","Features","Features","Features","Features","Storage","Storage","License , URL: /wiki/Software_license
"
"Mail server","Linux , URL: /wiki/Linux
Unix , URL: /wiki/Unix
","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","SMTP , URL: /wiki/Simple_Mail_Transfer_Protocol
","POP3 , URL: /wiki/Post_Office_Protocol
","IMAP , URL: /wiki/Internet_Message_Access_Protocol
","JMAP , URL: /wiki/JSON_Meta_Application_Protocol
","IDLE , URL: /wiki/IMAP_IDLE
","SMTPS , URL: /wiki/SMTPS
","POP3S , URL: /wiki/Post_Office_Protocol#STARTTLS
","IPv6 , URL: /wiki/IPv6
","SSL , URL: /wiki/Transport_Layer_Security
","DANE , URL: /wiki/DNS-based_Authentication_of_Named_Entities
","Webmail , URL: /wiki/Webmail
","ActiveSync , URL: /wiki/Exchange_ActiveSync
","Sieve , URL: /wiki/Sieve_(mail_filtering_language)
","IDN , URL: /wiki/International_email
UTF8 , URL: /wiki/Simple_Mail_Transfer_Protocol#SMTPUTF8
","Database , URL: /wiki/Database
","File-based , URL: /wiki/File_system
","License , URL: /wiki/Software_license
"
"agorum core , URL: /wiki/Agorum_core
","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","?","Yes","No","GPLv2 , URL: /wiki/GNU_General_Public_License
"
"Apache James , URL: /wiki/Apache_James
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","No","No","Yes","?","Yes","Yes","ASLv2 , URL: /wiki/Apache_Software_License
"
"Axigen , URL: /wiki/Axigen
","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Ajax, Basic & Mobile","Yes","Yes","Yes","Embedded, Optimized for Email & Groupware","Yes","Proprietary , URL: /wiki/Proprietary_software
"
"Citadel , URL: /wiki/Citadel/UX
","Yes","No","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","?","Yes","No","Yes","?","Yes","No","GPLv3 , URL: /wiki/GNU_General_Public_License
"
"CommuniGate Pro , URL: /wiki/CommuniGate_Pro
","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
"
"Courier Mail Server , URL: /wiki/Courier_Mail_Server
","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","Yes","No","maildrop , URL: /wiki/Maildrop
","Yes","No","maildir , URL: /wiki/Maildir
","GPLv3+ , URL: /wiki/GNU_General_Public_License
"
"Cyrus IMAP , URL: /wiki/Cyrus_IMAP
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes[3]","Yes","Yes","Yes","No","No","No","Yes","No[4]","Indexes only","Yes","BSD 4-clause , URL: /wiki/BSD_4-Clause_License
"
"Dovecot , URL: /wiki/Dovecot_(software)
","Yes[6]","No","Yes","Yes[7]","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","maildir , URL: /wiki/Maildir
mbox , URL: /wiki/Mbox
","MIT , URL: /wiki/MIT_License
LGPL-2.1 , URL: /wiki/GNU_Lesser_General_Public_License
"
"Eudora Internet Mail Server , URL: /wiki/Eudora_Internet_Mail_Server
","No","No","Yes","Yes","Yes","Yes","?","?","No","No","?","No","?","No","No","?","?","No","No","Proprietary , URL: /wiki/Proprietary_software
"
