"Mail server","SMTP AUTH , URL: /wiki/SMTP_AUTH
","POP before SMTP , URL: /wiki/POP_before_SMTP
","APOP , URL: /wiki/APOP
","File System , URL: /wiki/File_System
","Database , URL: /wiki/Database
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
","Brute-force attack , URL: /wiki/Brute-force_attack
","Other"
"agorum core , URL: /wiki/Agorum_core
","Yes","No","No","No","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"Apache James , URL: /wiki/Apache_James
","Yes","?","?","?","Yes","Yes","?","PLAIN, LOGIN"
"Axigen , URL: /wiki/Axigen
","Yes","No","Yes","Yes","No","Yes","No","CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
"
"CommuniGate Pro , URL: /wiki/CommuniGate_Pro
","Yes","Yes","Yes","Yes","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
"
"Courier Mail Server , URL: /wiki/Courier_Mail_Server
","Yes","Yes","Yes","Yes","Yes","Yes","?","Courier authentication library , URL: http://www.courier-mta.org/authlib/
PAM , URL: /wiki/Pluggable_Authentication_Modules
PostgreSQL , URL: /wiki/PostgreSQL
MySQL , URL: /wiki/MySQL
LDAP , URL: /wiki/LDAP
"
"Cyrus IMAP , URL: /wiki/Cyrus_IMAP
","Yes","Yes","Yes","Yes","Yes","Yes","?","X.509 , URL: /wiki/X.509
STARTTLS , URL: /wiki/STARTTLS
Berkeley DB , URL: /wiki/Berkeley_DB
PAM , URL: /wiki/Pluggable_Authentication_Modules
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
SQLite , URL: /wiki/SQLite
LDAP , URL: /wiki/LDAP
Active Directory , URL: /wiki/Active_Directory
DCE , URL: /wiki/Distributed_Computing_Environment
Kerberos , URL: /wiki/Kerberos_(protocol)
CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
SCRAM-SHA-1(-PLUS), SCRAM-SHA-224(-PLUS), SCRAM-SHA-256(-PLUS), SCRAM-SHA-384(-PLUS), SCRAM-SHA-512(-PLUS) , URL: /wiki/Salted_Challenge_Response_Authentication_Mechanism
OTP , URL: /wiki/One-time_password
"
"Dovecot , URL: /wiki/Dovecot_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","?","PAM , URL: /wiki/Pluggable_Authentication_Modules
MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
SQLite , URL: /wiki/SQLite
LDAP , URL: /wiki/LDAP
Active Directory , URL: /wiki/Active_Directory
Kerberos , URL: /wiki/Kerberos_(protocol)
Vpopmail , URL: /wiki/Vpopmail
CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
SCRAM-SHA-1 , URL: /wiki/Salted_Challenge_Response_Authentication_Mechanism
OTP , URL: /wiki/One-time_password
"
"Eudora Internet Mail Server , URL: /wiki/Eudora_Internet_Mail_Server
","Yes","No","Yes","Yes","No","No","Yes","CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
"
"Exim , URL: /wiki/Exim
","Yes","Yes","Yes","Yes","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
"
"FirstClass , URL: /wiki/FirstClass
","Yes","?","?","Yes","Yes","Yes","?",""
"Gordano Messaging Suite , URL: /wiki/Gordano_Messaging_Suite
","Yes","Yes","Yes","No","Yes","Yes","?","CRAM-MD5 , URL: /wiki/CRAM-MD5
DIGEST-MD5 , URL: /wiki/DIGEST-MD5
"
"GroupWise , URL: /wiki/GroupWise
","Yes","Yes","Yes","Yes","Yes","Yes","?","eDirectory , URL: /wiki/EDirectory
"
"Halon , URL: /wiki/Halon_(software)
","Yes","No","No","Yes","Yes","Yes","?","Dovecot , URL: /wiki/Dovecot_(software)
REST , URL: /wiki/REST
"
"Haraka , URL: /wiki/Haraka_(software)
","Yes","No","No","Yes","Yes","Yes","?","Proxy to other server, any other mechanism via AUTH plugins."
