"Service","Owner","Launched","Primary service","Software license","Content license","Multilingual","Ad-free"
"GNU social , URL: /wiki/GNU_social
","Open source","2010","microblogging , URL: /wiki/Microblogging
","AGPLv3 , URL: /wiki/GNU_Affero_General_Public_License
","CC-BY , URL: /wiki/CC-BY
","Yes","Yes"
"Diaspora , URL: /wiki/Diaspora_(social_network)
","Open source","2010-11","social network , URL: /wiki/Social_network_service
","AGPLv3 , URL: /wiki/AGPLv3
","AGPLv3 , URL: /wiki/AGPLv3
","Yes","Yes"
"Facebook , URL: /wiki/Facebook
","Facebook, Inc. , URL: /wiki/Facebook,_Inc.
","2004-02","social network , URL: /wiki/Social_network_service
","proprietary , URL: /wiki/Proprietary_software
","own TOS","Yes","No"
"micro.blog , URL: /wiki/Micro.blog
","Riverfold Software","2017-04","microblogging , URL: /wiki/Microblogging
","???","???","Yes","Yes"
"Movim , URL: /wiki/Movim
","Open source","2011-03","social network , URL: /wiki/Social_network_service
","AGPLv3 , URL: /wiki/AGPLv3
","AGPLv3 , URL: /wiki/AGPLv3
","Yes","Yes"
"identi.ca , URL: /wiki/Identi.ca
","Status Net, Inc.","2008-07 [2]","microblogging , URL: /wiki/Microblogging
","Apache , URL: /wiki/Apache_License
pump.io , URL: /wiki/Pump.io
","CC-BY , URL: /wiki/CC-BY
","Yes","Yes"
"Tout , URL: /wiki/Tout_(company)
","Tout , URL: /wiki/Tout_(company)
","2010-04 [3]","microblogging , URL: /wiki/Microblogging
","proprietary , URL: /wiki/Proprietary_software
","own TOS","Yes","Yes"
"Twitter , URL: /wiki/Twitter
","Twitter, Inc. , URL: /wiki/Twitter,_Inc.
","2006-08 [4]","microblogging , URL: /wiki/Microblogging
","proprietary , URL: /wiki/Proprietary_software
","own TOS","Yes","No"
"Yammer , URL: /wiki/Yammer
","Yammer, Inc.","2008-09 [5]","microblogging , URL: /wiki/Microblogging
","proprietary , URL: /wiki/Proprietary_software
","own TOS","Yes","Yes"
"Mastodon , URL: /wiki/Mastodon_(software)
","Open source","2016-10[6]","microblogging , URL: /wiki/Microblogging
","AGPLv3 , URL: /wiki/AGPLv3
","own TOS","Yes","Yes"
"Twister , URL: /wiki/Twister_(software)
","Open source","2013","microblogging , URL: /wiki/Microblogging
","MIT and BSD licenses","own TOS","Yes","Yes"
"Tumblr , URL: /wiki/Tumblr
","Automattic , URL: /wiki/Automattic
","2007","microblogging , URL: /wiki/Microblogging
","proprietary , URL: /wiki/Proprietary_software
","own TOS","Yes","No"
"Steam , URL: /wiki/Steam_(service)
","Valve Corporation","","Content delivery Social network service","proprietary","","","Yes"
