"v t e Cellular network standards","v t e Cellular network standards","v t e Cellular network standards"
"List of mobile phone generations","List of mobile phone generations","List of mobile phone generations"
"0G , URL: /wiki/Mobile_radio_telephone
radio telephones , URL: /wiki/Radiotelephone
","MTS IMTS Altai OLT MTA - MTB - MTC - MTD AMTS Autotel (PALM) ARP B-Netz AMR","MTS IMTS Altai OLT MTA - MTB - MTC - MTD AMTS Autotel (PALM) ARP B-Netz AMR"
"1G , URL: /wiki/1G
","AMPS , URL: /wiki/Advanced_Mobile_Phone_System
","AMPS - N-AMPS TACS - ETACS"
"1G , URL: /wiki/1G
","Other","NMT C-450 Hicap Mobitex DataTAC CT1"
"2G , URL: /wiki/2G
","GSM , URL: /wiki/GSM
3GPP , URL: /wiki/3GPP
","GSM CSD - HSCSD"
"2G , URL: /wiki/2G
","3GPP2 , URL: /wiki/3rd_Generation_Partnership_Project_2
","cdmaOne (IS-95)"
"2G , URL: /wiki/2G
","AMPS , URL: /wiki/Advanced_Mobile_Phone_System
","D-AMPS (IS-54 and IS-136)"
"2G , URL: /wiki/2G
","Other","CDPD iDEN PDC PHS CT2"
"2G transitional (2.5G, 2.75G) , URL: /wiki/2G#Evolution
","GSM , URL: /wiki/GSM
","GPRS EDGE/EGPRS - Evolved EDGE"
"2G transitional (2.5G, 2.75G) , URL: /wiki/2G#Evolution
","3GPP2 family","CDMA2000 1X (TIA/EIA/IS-2000) CDMA2000 1X Advanced"
"2G transitional (2.5G, 2.75G) , URL: /wiki/2G#Evolution
","Other","WiDEN DECT"
"3G , URL: /wiki/3G
IMT-2000 , URL: /wiki/IMT-2000
","3GPP family","UMTS UTRA-FDD / W-CDMA FOMA UTRA-TDD LCR / TD-SCDMA UTRA-TDD HCR / TD-CDMA"
"3G , URL: /wiki/3G
IMT-2000 , URL: /wiki/IMT-2000
","3GPP2 family","CDMA2000 1xEV-DO Release 0 (TIA/IS-856)"
"3G transitional (3.5G, 3.75G, 3.9G) , URL: /wiki/3G#Evolution
","3GPP family","HSPA HSDPA HSUPA HSPA+ DC-HSDPA LTE (E-UTRA)"
"3G transitional (3.5G, 3.75G, 3.9G) , URL: /wiki/3G#Evolution
","3GPP2 family","CDMA2000 1xEV-DO Revision A (TIA/EIA/IS-856-A) EV-DO Revision B (TIA/EIA/IS-856-B) EV-DO Revision C"
"3G transitional (3.5G, 3.75G, 3.9G) , URL: /wiki/3G#Evolution
","IEEE , URL: /wiki/Institute_of_Electrical_and_Electronics_Engineers
","Mobile WiMAX IEEE 802.16e Flash-OFDM iBurst (IEEE 802.20) WiBro"
"3G transitional (3.5G, 3.75G, 3.9G) , URL: /wiki/3G#Evolution
","ETSI , URL: /wiki/ETSI
","HiperMAN"
"4G , URL: /wiki/4G
IMT Advanced , URL: /wiki/IMT_Advanced
","3GPP family","LTE Advanced (E-UTRA) LTE Advanced Pro (4.5G Pro/pre-5G/4.9G)"
"4G , URL: /wiki/4G
IMT Advanced , URL: /wiki/IMT_Advanced
","IEEE family","WiMAX (IEEE 802.16m) WiMax 2.1 (LTE-TDD / TD-LTE) WiBro"
"5G , URL: /wiki/5G
IMT-2020 , URL: /wiki/IMT-2020
","3GPP family","5G NR 5G-Advanced NR-IIoT LTE-M NB-IoT"
"5G , URL: /wiki/5G
IMT-2020 , URL: /wiki/IMT-2020
","Other","DECT-5G"
"Related articles","Cellular networks Mobile telephony History Comparison of standards Channel access methods FDMA OFDMA TDMA STDMA SSMA CDMA SDMA Spectral efficiency comparison table Frequency bands GSM UMTS PCS LTE 5G NR Mobile broadband Multimedia Broadcast Multicast Service NGMN Alliance Push-to-talk MIMO VoLTE ViLTE Wi-Fi calling Osmocom","Cellular networks Mobile telephony History Comparison of standards Channel access methods FDMA OFDMA TDMA STDMA SSMA CDMA SDMA Spectral efficiency comparison table Frequency bands GSM UMTS PCS LTE 5G NR Mobile broadband Multimedia Broadcast Multicast Service NGMN Alliance Push-to-talk MIMO VoLTE ViLTE Wi-Fi calling Osmocom"
"Telecommunication portal Telephones portal","Telecommunication portal Telephones portal","Telecommunication portal Telephones portal"
