"v t e Telecommunications","v t e Telecommunications","v t e Telecommunications"
"History , URL: /wiki/History_of_telecommunication
","Beacon Broadcasting Cable protection system Cable TV Communications satellite Computer network Data compression audio DCT image video Digital media Internet video online video platform social media streaming Drums Edholm's law Electrical telegraph Fax Heliographs Hydraulic telegraph Information Age Information revolution Internet Mass media Mobile phone Smartphone Optical telecommunication Optical telegraphy Pager Photophone Prepaid mobile phone Radio Radiotelephone Satellite communications Semaphore Semiconductor device MOSFET transistor Smoke signals Telecommunications history Telautograph Telegraphy Teleprinter (teletype) Telephone The Telephone Cases Television digital streaming Undersea telegraph line Videotelephony Whistled language Wireless revolution",""
"Pioneers","Nasir Ahmed Edwin Howard Armstrong Mohamed M. Atalla John Logie Baird Paul Baran John Bardeen Alexander Graham Bell Emile Berliner Tim Berners-Lee Francis Blake (telephone) Jagadish Chandra Bose Charles Bourseul Walter Houser Brattain Vint Cerf Claude Chappe Yogen Dalal Donald Davies Amos Dolbear Thomas Edison Lee de Forest Philo Farnsworth Reginald Fessenden Elisha Gray Oliver Heaviside Robert Hooke Erna Schneider Hoover Harold Hopkins Gardiner Greene Hubbard Internet pioneers Bob Kahn Dawon Kahng Charles K. Kao Narinder Singh Kapany Hedy Lamarr Innocenzo Manzetti Guglielmo Marconi Robert Metcalfe Antonio Meucci Samuel Morse Jun-ichi Nishizawa Charles Grafton Page Radia Perlman Alexander Stepanovich Popov Tivadar Puskás Johann Philipp Reis Claude Shannon Almon Brown Strowger Henry Sutton Charles Sumner Tainter Nikola Tesla Camille Tissot Alfred Vail Thomas A. Watson Charles Wheatstone Vladimir K. Zworykin",""
"Transmission media , URL: /wiki/Transmission_medium
","Coaxial cable Fiber-optic communication optical fiber Free-space optical communication Molecular communication Radio waves wireless Transmission line data transmission circuit telecommunication circuit",""
"Network topology , URL: /wiki/Network_topology
","Bandwidth Links Nodes terminal Network switching circuit packet Telephone exchange",""
"Multiplexing , URL: /wiki/Multiplexing
","Space-division Frequency-division Time-division Polarization-division Orbital angular-momentum Code-division",""
"Concepts","Communication protocol Computer network Data transmission Store and forward Telecommunications equipment",""
"Types of network , URL: /wiki/Telecommunications_network
","Cellular network Ethernet ISDN LAN Mobile NGN Public Switched Telephone Radio Television Telex UUCP WAN Wireless network",""
"Notable networks , URL: /wiki/Telecommunications_network
","ARPANET BITNET CYCLADES FidoNet Internet Internet2 JANET NPL network Toasternet Usenet",""
"Locations","Africa Americas North South Antarctica Asia Europe Oceania",""
"Telecommunication portal Category Outline Commons","Telecommunication portal Category Outline Commons","Telecommunication portal Category Outline Commons"
