"Camera model","Lens mount","Super 35?","Aperture size","Aperture plate","Lens interface","Ground glass","Frameline glow?"
"Eyemo 71K","Eyemo mount, many conversions","No, but conversions exist","Full frame , URL: /wiki/Full_frame_(cinematography)
","fixed","none","interchangeable","No"
"Arriflex 35-2C","Arri standard , URL: /wiki/Arri_standard
Arri bayonet , URL: /wiki/Arri_bayonet
","No, but conversions exist","Academy ratio , URL: /wiki/Academy_ratio
","fixed","none","interchangeable","No"
"Arriflex 35BL-1","Arri bayonet , URL: /wiki/Arri_bayonet
","No","Academy ratio , URL: /wiki/Academy_ratio
","removable","none","interchangeable","No"
"Panaflex-X","PV mount , URL: /wiki/PV_mount
","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-2","Arri bayonet , URL: /wiki/Arri_bayonet
","No","Academy ratio , URL: /wiki/Academy_ratio
","removable","none","interchangeable","No"
"Panaflex Gold II","PV mount , URL: /wiki/PV_mount
","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-3","Arri PL , URL: /wiki/Arri_PL
BNCR mount , URL: /wiki/BNCR_mount
","No","Academy ratio , URL: /wiki/Academy_ratio
","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","No"
"Arriflex 35-3C","Arri PL , URL: /wiki/Arri_PL
","No","Academy ratio , URL: /wiki/Academy_ratio
","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","No"
"Moviecam SuperAmerica","Arri PL , URL: /wiki/Arri_PL
BNCR mount , URL: /wiki/BNCR_mount
","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 35BL-4","Arri PL , URL: /wiki/Arri_PL
","Yes","Academy ratio , URL: /wiki/Academy_ratio
","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Panaflex Platinum","PV mount , URL: /wiki/PV_mount
","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Panaflex Panastar II","PV mount , URL: /wiki/PV_mount
","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-4s","Arri PL , URL: /wiki/Arri_PL
","Yes","Academy ratio , URL: /wiki/Academy_ratio
","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 535","Arri PL , URL: /wiki/Arri_PL
","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Moviecam Compact","Arri PL , URL: /wiki/Arri_PL
BNCR mount , URL: /wiki/BNCR_mount
","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 535B","Arri PL , URL: /wiki/Arri_PL
","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 435","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 435ES","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Moviecam SL","Arri PL , URL: /wiki/Arri_PL
","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Aaton 35-III","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
Nikon , URL: /wiki/Nikon_F-mount
","Yes","full frame","fixed","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Panaflex Millennium","PV mount , URL: /wiki/PV_mount
","Yes","full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Panaflex Millennium XL","PV mount , URL: /wiki/PV_mount
","Yes","full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arricam LT","Arri PL , URL: /wiki/Arri_PL
","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; integrated Lens Data Box (LDB)","interchangeable","Yes"
"Arricam ST","Arri PL , URL: /wiki/Arri_PL
","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; integrated Lens Data Box (LDB)","interchangeable","Yes"
"Arriflex 435 Advanced","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; usable with FEM-2 unit","interchangeable","Yes"
"Aaton 35-3P","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
Nikon , URL: /wiki/Nikon_F-mount
","Yes","full frame","fixed","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 235","Arri PL , URL: /wiki/Arri_PL
","Yes","full frame","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 435 Xtreme","Arri PL , URL: /wiki/Arri_PL
PV mount , URL: /wiki/PV_mount
","Yes","full range available","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts and integrated electronics","interchangeable","Yes"
