"Meaning","China , URL: /wiki/China
","China , URL: /wiki/China
","Hong Kong","Macau , URL: /wiki/Macau
","Malaysia , URL: /wiki/Malaysia
Singapore , URL: /wiki/Singapore
","Malaysia , URL: /wiki/Malaysia
Singapore , URL: /wiki/Singapore
","Taiwan , URL: /wiki/Taiwan
"
"Meaning","Traditional","Simplified","Traditional","Traditional","Traditional","Simplified","Traditional"
"bus , URL: /wiki/Bus
","公交車／大巴 / 公共汽車","公交车／大巴 / 公共汽车","巴士","巴士","巴士","巴士","公車"
"taxi , URL: /wiki/Taxicab
","出租車, 的士, 計程車","出租车, 的士, 计程车","的士, 的","的士, 的","德士","德士","計程車, 小黃"
"police , URL: /wiki/Police
","公安/警察","公安/警察","差人／警察","差人／治安警／司警","警察/警衞/馬達","警察/警卫/马达","警察 / 員警/警衞"
"town square , URL: /wiki/Town_square
","廣場","广场","廣場","前地","廣場","广场","廣場"
"laser , URL: /wiki/Laser
","激光, 鐳射","激光, 镭射","鐳射, 雷射, 激光","鐳射, 雷射, 激光","激光, laser","激光, laser","雷射"
"rapid transit , URL: /wiki/Rapid_transit
","軌道交通／地鐵","轨道交通／地铁","地鐵","地鐵","地鐵","地铁","捷運"
"light rail , URL: /wiki/Light_rail
","輕軌, 有軌電車","轻轨, 有轨電車","輕鐵","輕軌","輕軌","轻轨","輕軌"
"instant noodles , URL: /wiki/Instant_noodles
","方便麵, 泡麵","方便面, 泡面","即食麵, 公仔麵","即食麵, 公仔麵","泡麵, 快熟麵","泡面, 快熟面","泡麵, 速食麵, 生力麵"
"Standard Chinese , URL: /wiki/Standard_Chinese
","普通話","普通话","國語/普通話","國語/普通話","華語","华语","國語"
"potato , URL: /wiki/Potato
","土豆, 馬鈴薯, 地蛋, 洋芋","土豆, 马铃薯, 地蛋, 洋芋","薯仔","薯仔","馬鈴薯","马铃薯","馬鈴薯, 洋芋"
"pineapple , URL: /wiki/Pineapple
","鳳梨/菠蘿","凤梨/菠萝","菠蘿, 鳳梨(only in 鳳梨酥)","菠蘿","黃梨","黃梨","Hakka language , URL: /wiki/Hakka_language
"
"lorry/truck , URL: /wiki/Truck
","卡車(large truck);貨車 (small truck)","卡车(large truck)","貨車, 貨櫃車(cargo container truck)","貨車, 貨櫃車(cargo container truck)","羅里","罗里","貨車, 貨櫃車(cargo container truck)[1]"
"tights , URL: /wiki/Tights
pantyhose , URL: /wiki/Pantyhose
","褲襪/連褲襪","裤袜/连裤袜","襪褲","襪褲","褲襪","裤袜","褲襪"
"lunch box , URL: /wiki/Lunch_box
bento , URL: /wiki/Bento
","盒飯","盒饭","飯盒","飯盒","便當","盒饭","便當, 飯盒[3]"
"butter , URL: /wiki/Butter
","黃油","黄油","牛油","牛油","牛油","牛油","奶油"
"air-conditioner , URL: /wiki/Air-conditioner
","空調","空调","冷氣機","冷氣機","冷氣機","冷气机","冷氣機"
"paperclip , URL: /wiki/Paperclip
","迴形針/迴紋針","迴形针/回纹针","萬字夾","萬字夾","迴形針","回形针","迴紋針"
"rock paper scissors , URL: /wiki/Rock_paper_scissors
","石頭剪子布","石头剪子布","包剪揼","包剪揼","剪刀石頭布","剪刀石头布","剪刀石頭布"
"plastic bag , URL: /wiki/Plastic_bag
","袋子","袋子","膠袋","膠袋","塑膠袋","塑料袋","塑膠袋"
"wet market , URL: /wiki/Wet_market
","商場","商场","街市","商場","巴剎","巴刹","商場"
