"Name","IP SLA Reports","Logical Grouping","Trending","Trend Prediction","Auto Discovery","Agentless","SNMP , URL: /wiki/Simple_Network_Management_Protocol
","Syslog , URL: /wiki/Syslog
","Plugins","Triggers / Alerts","MIB , URL: /wiki/Management_information_base
","WebApp , URL: /wiki/Web_application
","Distributed Monitoring","Inventory","Platform","Data Storage Method","License","Maps , URL: /wiki/Network_mapping
","Access Control","IPv6 , URL: /wiki/IPv6
","Latest release date","Latest release version","Integrates with BigPanda"
"Cacti , URL: /wiki/Cacti_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","PHP , URL: /wiki/PHP
","RRDtool , URL: /wiki/RRDtool
MySQL , URL: /wiki/MySQL
MariaDB , URL: /wiki/MariaDB
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Via plugin","Yes","Yes","2021-10-27","1.2.19","Yes"
"Checkmk , URL: /wiki/Check_MK
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","C , URL: /wiki/C_(programming_language)
Python , URL: /wiki/Python_(programming_language)
","RRDtool , URL: /wiki/RRDtool
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","2020-08-19","1.6.0p16","Yes"
"collectd , URL: /wiki/Collectd
","No","No","No","No","multicast , URL: /wiki/Multicast
","Yes","Yes","Yes","Yes","Yes","No","Viewing","Yes","No","C , URL: /wiki/C_(programming_language)
","RRDtool , URL: /wiki/RRDtool
","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","Apache ACL","Yes","2019-11-13","5.10","Yes"
"Cruz , URL: /wiki/Dorado_Software#Cruz
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Full Control","Yes","Yes","Java , URL: /wiki/Java_(programming_language)
C++ , URL: /wiki/C%2B%2B
.NET , URL: /wiki/.NET_Framework
","MySQL , URL: /wiki/MySQL
Oracle , URL: /wiki/Oracle_database
","Commercial","Yes","Yes","Yes","2019-02","8.0.0","Yes"
"FreeNATS , URL: /wiki/FreeNATS
","Yes","Yes","No","No","Yes","No","No","Via plugin","Yes","In PHP Code","No","Full Control","No","No","PHP , URL: /wiki/PHP
","MySQL , URL: /wiki/MySQL
","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","Yes","Unknown","2011-07-09","1.13.3b","Yes"
"Ganglia , URL: /wiki/Ganglia_(software)
","No","Yes","Yes","No","Via gmond check in","No","Via plugin","No","Yes","No","No","Viewing","Yes","Unknown","C , URL: /wiki/C_(programming_language)
PHP , URL: /wiki/PHP
","RRDtool , URL: /wiki/RRDtool
","BSD , URL: /wiki/BSD_licenses
","Yes","No","Unknown","2016-06-14","3.7.2","Yes"
"Icinga , URL: /wiki/Icinga
","Via plugin","Yes","Yes","No","Via plugin","Yes","Via plugin","Via plugin","Yes","Yes","No","Full Control","Yes","Via plugin","C[1]","MySQL , URL: /wiki/MySQL
PostgreSQL , URL: /wiki/PostgreSQL
Oracle Database , URL: /wiki/Oracle_Database
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Unknown","Yes","Yes","2021-11-12","2.13.2[2]","Yes"
"InterMapper , URL: /wiki/InterMapper
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Viewing","Yes","Yes","Windows , URL: /wiki/Windows
Linux , URL: /wiki/Linux
Mac OS , URL: /wiki/Mac_OS
","PostgreSQL , URL: /wiki/PostgreSQL
","Limited free, Commercial","Yes","Yes","Yes","2017-07","6.1.5","Yes"
"isyVmon , URL: /wiki/Isyvmon
","Yes","Yes","Yes","No","Via plugin","No","Yes","Yes","Yes","Yes","No","Full Control","Yes","Via plugin","PHP , URL: /wiki/PHP
","RRDtool , URL: /wiki/RRDtool
MySQL , URL: /wiki/MySQL
","Limited free, Commercial","Via plugin","Yes","Yes","Unknown","Unknown","Yes"
"Munin , URL: /wiki/Munin_(network_monitoring_application)
","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Partial","No","Viewing","Via nodes","Unknown","Perl , URL: /wiki/Perl
","RRDtool , URL: /wiki/RRDtool
","GNU GPL , URL: /wiki/GNU_General_Public_License
","Unknown","Unknown","Yes","2021-02-22","2.0.67","Yes"
