"Software","Type","Version","Operating systems","Developer","License , URL: /wiki/Software_license
","FDA cleared","Supported Devices","Under Active Development","~Price Bracket"
"BetterFly , URL: http://btr-fly.com/why/
","Neurofeedback , URL: /wiki/Neurofeedback
","Clinic 2.0; Home 2.0","Windows , URL: /wiki/Windows
","BetterFly Neurofeedback","Proprietary , URL: /wiki/Proprietary_software
","Classification by device","GENIUS, U-WIZ","",""
"BioEra , URL: http://bioera.net/
","Biofeedback , URL: /wiki/Biofeedback
","2.0","Windows , URL: /wiki/Microsoft_Windows
Android , URL: /wiki/Android_(operating_system)
","PROATECH LLC","Proprietary , URL: /wiki/Proprietary_software
","No (but basis of Cygnet and others)","Pocket Neurobics,[1] BrainQuiry,[2] NeuroAmp,[3] Neurobit Optima, Neurobit Optima+,  Brainmaster,[4] QDS[2]","",""
"BioExplorer , URL: http://www.cyberevolution.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","1.5","Windows , URL: /wiki/Microsoft_Windows
","Cyberevolution, Larry Janow","Proprietary , URL: /wiki/Proprietary_software
","No ""Intended for personal use...""","Brainmaster,[4] BrainQuiry,[2] NeuroAmp,[3] Neurobit Optima, Neurobit Optima+,  J&J,[4] NeuroSky,[2]
 Pocket Neurobics,[1] QDS,[2] Telediagnostic Systems[4]","",""
"BioGraph Infiniti , URL: http://www.thoughttechnology.com/
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","6.1.0","Windows , URL: /wiki/Microsoft_Windows
","Thought Technology Ltd, Dr. Hal Myers","Proprietary , URL: /wiki/Proprietary_software
","Yes","Thought Technology[4]","",""
"BioTrace+ , URL: http://www.mindmedia.info/products/software/biotrace
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","2015","Windows , URL: /wiki/Microsoft_Windows
","Mind Media B.V.","Proprietary , URL: /wiki/Proprietary_software
","Medical class II","NeXus by Mind Media[2] 4, 10 (MKII), 32","",""
"Brainathalon , URL: https://web.archive.org/web/20071220185153/http://www.webkitchen.com/brainathlon/
","Game","?","Java","Amy Palke","Open source , URL: /wiki/Open-source_software
","No","","",""
"BrainBay , URL: http://www.shifz.org/brainbay/
","Neurofeedback , URL: /wiki/Neurofeedback
","?","Windows , URL: /wiki/Microsoft_Windows
","Chris Veigl and Jeremy Wilkerson","GPL , URL: /wiki/GPL
","No","Neurobit Optima, Neurobit Optima+ and more","",""
"BrainFeedback Pro , URL: http://www.deymed.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","v12","Windows , URL: /wiki/Microsoft_Windows
","Deymed Diagnostic","Proprietary , URL: /wiki/Proprietary_software
","Yes","Deymed","",""
"BrainMaster , URL: http://www.brainmaster.com/
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","various including BrainAvatar. Third-party SW includes: NeuroGuide, BioExplorer, BioERA, BrainPaint, SKIL, LENS, EEGer, BrainTrain, OpenVibe, EEGStudio","Windows , URL: /wiki/Microsoft_Windows
","Thomas F. Collura , URL: /w/index.php?title=Thomas_F._Collura&action=edit&redlink=1
","Proprietary; includes optional no-cost Application Programming Interfaces (API) , URL: /wiki/Proprietary_software
","FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe","Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery, MINI-Q","",""
"BrainPaint , URL: http://neurofeedback-system.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","2.0 Includes BrainPrint, Alpha Theta, Brain-Heart Coherence, Couples Synchrony, Nonlinear, Slow Cortical Potential, Coherence training and all other frequency rewards and inhibits.","N/A","BrainPaint, Inc. William C. Scott","Proprietary , URL: /wiki/Proprietary_software
","FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe","Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery","",""
"BWView , URL: http://uazu.net/bwview/
","Brainwave viewer","1.0.5","Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","Jim Peters","GPL , URL: /wiki/GPL
","No","","",""
"Cygnet , URL: http://www.beemedic.com/cygnet
","Neurofeedback , URL: /wiki/Neurofeedback
Biofeedback , URL: /wiki/Biofeedback
","2.0","Windows , URL: /wiki/Microsoft_Windows
","Developer: BEE Systems GmbH Manufacturer: Corscience GmbH&CoKG Distribution: BEE Medic Europe, BEE Medic EMEA, BEE Medic USA","Proprietary , URL: /wiki/Proprietary_software
","FDA class II, CE class IIa; including Cygnet Bio/Neurofeedback Software","NeuroAmp[3] Bio/Neurofeedback device plus add-ons: NeuroAmp x23 (23-channel digital EEG device) NeuroAmp x39 (39-channel digital EEG device) pIRx3 (3-channel passive infrared sensor) tactile feedback Combination Sensor (HRV, GSR, Temperature)","",""
"Dual Drive Pro , URL: http://www.somaticvision.com/dualdrivepro/
","Biofeedback , URL: /wiki/Biofeedback
GSR , URL: /wiki/Galvanic_Skin_Response
","3.0","Windows , URL: /wiki/Microsoft_Windows
","Somatic Vision Inc.","Proprietary , URL: /wiki/Proprietary_software
","Unknown (not EEG)","","",""
"eBioo , URL: http://www.soft-dynamics.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","1.5","Windows , URL: /wiki/Microsoft_Windows
","Soft-dynamics, Geoffrey Arens","Proprietary , URL: /wiki/Proprietary_software
","No – not stated or in FDA database","Pocket Neurobics,[1] Neurobit Optima,[2] Brainmaster[4]","",""
"EEGDigiTrack , URL: https://www.elmiko.pl/en/
","Neurofeedback , URL: /wiki/Neurofeedback
","15.0.5.0","Windows , URL: /wiki/Microsoft_Windows
","ELMIKO Biosignals Ltd. , URL: https://www.elmiko.pl/en/
","Proprietary , URL: /wiki/Proprietary_software
","Safety class according to EN60601-1 - Class IIa, type BF","Manufactured by ELMIKO Biosignals Ltd.: EEG-2, EEG-3, EEG-4, EEG-5, ExG-32 Manufactured by Braintronics: EEG-1166 Amplifier, EEG-1142 Amplifier, EEG-1042 Amplifier,","",""
"EEGer4 , URL: http://www.eegstore.com/
","Neurofeedback , URL: /wiki/Neurofeedback
","4.3.0","Windows , URL: /wiki/Microsoft_Windows
","EEG Software LLC","Proprietary , URL: /wiki/Proprietary_software
","FDA Class II","J&J,[4] Telediagnostic Systems,[4] Phoenix Neuro Systems,[4] Thought Technology,[4] Brainmaster,[4] Brainquiry,[2]
Pocket Neurobics,[1] external analog amplifiers","",""
"eProbe , URL: http://sciencebeam.com/eprobe/
","Neuro-Biofeedback , URL: /w/index.php?title=Neuro-Biofeedback&action=edit&redlink=1
","Clinic 7.0; Home use 7.0","Windows , URL: /wiki/Windows
","ScienceBeam","Proprietary , URL: /wiki/Proprietary_software
","CE, ISO 13485","eWave, eLab, , QEEG, EEG2-EEG128 channels eWave, eLab, eWave+,","",""
"ElectricGuru , URL: http://www.realization.org/page/topics/electric_guru.htm
","Neurofeedback , URL: /wiki/Neurofeedback
","0.4","Windows , URL: /wiki/Microsoft_Windows
","Rob Sacks","Open source , URL: /wiki/Open-source_software
","No","","",""
"EventIDE , URL: http://www.okazolab.com/feature-list
","Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.","1.0","Windows , URL: /wiki/Microsoft_Windows
","Okazolab Ltd","Proprietary , URL: /wiki/Proprietary_software
","No","The majority of popular bio-amplifiers","",""
"LENSware","Neurofeedback &Analysis","3","Windows","OchsLabs","Proprietary","FDA Class II Exempt","Ochslabs A200 amplifier","",""
