"Name","Drawing atop text [unclear]","Text box, flow diagram [unclear]","Text and paragraph formatting","hyperlink , URL: /wiki/Hyperlink
","image , URL: /wiki/Image
","image , URL: /wiki/Image
","table , URL: /wiki/Table_(information)
","audio , URL: /wiki/Audio_file_format
","video , URL: /wiki/Video
","Attachment [unclear]","Other objects","Remarks / other features"
"AllMyNotes Organizer , URL: /wiki/AllMyNotes_Organizer
","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Alarms, check-boxes, bullets, phones, advanced links, autosaving; last cursor position memory,passwords on tree folders,failure-resistant self-healing DB engine",""
"BasKet Note Pads , URL: /wiki/BasKet_Note_Pads
","?","?","Yes","Yes","Yes","?","No","No","No","Yes","tags (check boxes, etc.)","Adding, managing notes by category, autosave"
"CintaNotes , URL: /wiki/CintaNotes
","No","No","Yes","Yes","No","?","No","No","No","Yes","Links to notes","Tagging and searching for tags, tag hierarchy"
"ConnectedText , URL: /wiki/ConnectedText
","No","Yes","Yes","Yes","Yes","?","Yes","No","Yes","Yes","Python , URL: /wiki/Python_(programming_language)
","Transclusion , URL: /wiki/Transclusion
Directed Graphs and Flowcharts , URL: /wiki/Directed_acyclic_graph
GraphViz , URL: /wiki/GraphViz
"
"Day One , URL: /wiki/Day_One_(app)
","No","No","Yes","Yes","Yes","?","Yes","No","Yes","No","tags, bullets, numbering, line, programming code snippets","editable note metadata (date/time, location, weather, motion activity, music playing, step count)"
"Evernote , URL: /wiki/Evernote
","No","No","Yes","Yes","Yes","Yes (at least Microsoft Windows version (06/2016))","Yes","Yes","Yes","Yes","Check-box, line, tags","Business and personal notes integrated in same client; businesses have control over business notes, but cannot see personal notes"
"Gnote , URL: /wiki/Gnote
","No","No","Yes","Yes","No","No","No","No","No","No","?","Tomboy , URL: /wiki/Tomboy_(software)
"
"Google Keep , URL: /wiki/Google_Keep
","No","No","Yes","Yes","Yes","?","Partial[Notes 15]","Yes","?","No","Google Calendar , URL: /wiki/Google_Calendar
","Notes can be shared with other Google Keep users."
"IPython Notebook , URL: /wiki/IPython#Notebook
","?","?","?","?","?","?","?","?","?","?","?","IPython , URL: /wiki/IPython
"
"KeyNote NF , URL: /wiki/Keynote_(notetaking_software)
","No","No","Yes","Yes","Yes[Notes 16]","Yes","Yes[Notes 17]","No","No","Yes","OLE objects; "virtual nodes" which integrate and edit the content of external plain-text or rich-text files; internal links; mirror nodes.","Text processing; tree numbering and sorting; custom tree icons; node checkboxes; checkbox filtering; search filtering; reminder alarms; compressed or encrypted notebooks; auto-minimize and/or auto-lock when idle; quick access key for fast notes; additional scratchpad; autosave of up to 9 previous file versions; automatic clipboard capturing; read-only notebooks or notes; macros; templates; text shortcuts; plug-ins; bookmarks; custom keyboard shortcuts; program can be made portable through "Options" setting"
"Memonic , URL: /wiki/Memonic
","?","?","?","?","?","?","?","?","?","?","?",""
"Microsoft OneNote , URL: /wiki/Microsoft_OneNote
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[Notes 18]","Yes","Yes","OLE , URL: /wiki/Object_Linking_and_Embedding
","No local storage of notebooks on Mac or versions past Office 2016[6]"
"MyInfo , URL: /wiki/MyInfo
","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","OLE , URL: /wiki/Object_Linking_and_Embedding
","Tags; filters; calendar; reminders"
"MyNotex , URL: /wiki/MyNotex
","?","?","Yes","Yes","Yes","?","?","?","?","Yes","?","Activity lists; tags; notes management by subject; encryption with AES or GPG; multilingual"
"Notational Velocity , URL: /wiki/Notational_Velocity
","?","?","?","?","?","?","?","?","?","?","?","Instant open and searching"
"Notion , URL: /wiki/Notion_(app)
","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Bullets, numbering, checkboxes, reminders, calendars",""
"Okular , URL: /wiki/Okular
","?","?","?","?","?","?","?","?","?","?","?",""
"Open-Sankoré , URL: /wiki/Open-Sankor%C3%A9
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","plug-ins, web pages, applications","Annotate live desktop applications and web pages; autosave; plug-in system; audio recording"
"Org-mode , URL: /wiki/Org-mode
Emacs , URL: /wiki/Emacs
","?","Yes","Yes","Yes","Yes","?","Yes","No","No","Yes","Advanced linking,[clarification needed] bullets, tags, checkboxes, full spreadsheet, embedding of programming code, formulas, markup","Emacs , URL: /wiki/Emacs
"
"Outline , URL: /wiki/Outline_(software)
","Yes","Yes","Yes","Yes","Yes","?","Yes","No","No","Yes","Tags","Password protection, insert web pages, local storage, MS OneNote compatibility, text highlighting, bulleted and numbered lists, free placement of notes on a page"
"PDF Studio , URL: /wiki/PDF_Studio
","?","?","?","?","?","?","?","?","?","?","?",""
"Personal Knowbase , URL: /wiki/Personal_Knowbase
","?","?","?","Yes","?","?","?","?","?","Yes","?","Passwords; portable[clarification needed]"
"Qiqqa , URL: /wiki/Qiqqa
","Yes","Yes","No","Yes","Yes","?","No","No","No","No","PDF, brainstorm, citations",""
"TagSpaces , URL: /wiki/TagSpaces
","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Tags, plugins","Plugins, you can present your local images, videos and music to your TV via ChromeCast. You can create a personal "wiki" for tracking of your projects, ideas or memories."
"Simplenote , URL: /wiki/Simplenote
","No","No","Yes","Yes","No","?","No","No","No","No","",""
"TiddlyWiki , URL: /wiki/TiddlyWiki
","?","Yes(with plugin)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","LaTeX , URL: /wiki/LaTeX
","Plugins; user scripts"
"Tomboy , URL: /wiki/Tomboy_(software)
","Partial","No","Partial","Yes","No","No","No","No","No","No","Note Links, highlighting, fixed-width","LaTeX , URL: /wiki/LaTeX
"
"Microsoft Windows Journal , URL: /wiki/Microsoft_Windows_Journal
","?","?","?","?","?","?","?","?","?","?","?",""
"Xournal++ , URL: /w/index.php?title=Xournal%2B%2B&action=edit&redlink=1
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No","?","?","LaTeX , URL: /wiki/LaTeX
"
