"Software","Platform","Availability","License","Version","Persistence Specification"
"Apache Cayenne , URL: /wiki/Apache_Cayenne
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Open source , URL: /wiki/Open-source_software
","Apache License , URL: /wiki/Apache_License
","3.0.2 / July 21, 2011",""
"Dapper , URL: /wiki/Dapper_ORM
",".NET , URL: /wiki/.NET_Framework
","Open source , URL: /wiki/Open-source_software
","Apache License 2.0","1.8 NuGet",""
"DataNucleus , URL: /wiki/DataNucleus
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Open source , URL: /wiki/Open-source_software
","Apache License , URL: /wiki/Apache_License
","4.1.0.RELEASE / May 19, 2015","JDO , URL: /wiki/Java_Data_Objects
"
"DBIx::Class , URL: /wiki/DBIx::Class
","Perl","Open source , URL: /wiki/Open-source_software
","Artistic License , URL: /wiki/Artistic_License
GPL , URL: /wiki/GNU_General_Public_License
","0.082820 / March 20, 2015 (2015-03-20)[1]",""
"Django , URL: /wiki/Django_(web_framework)
","Python , URL: /wiki/Python_(programming_language)
","Open source , URL: /wiki/Open-source_software
","BSD licenses , URL: /wiki/BSD_licenses
","3.2.2 (May 6, 2021)",""
"Doctrine , URL: /wiki/Doctrine_(PHP)
","PHP","Open source , URL: /wiki/Open-source_software
","MIT","2.4/April 8, 2014",""
"EclipseLink , URL: /wiki/EclipseLink
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Open source , URL: /wiki/Open-source_software
","Eclipse Public License , URL: /wiki/Eclipse_Public_License
Eclipse Distribution License , URL: /w/index.php?title=Eclipse_Distribution_License&action=edit&redlink=1
","2.4.2 / July 4, 2013","JPA 2.0 , URL: /wiki/Java_Persistence_API
"
"Entity Framework Core , URL: /wiki/Entity_Framework
",".net core","Open Source , URL: /wiki/Open-source_software
","Apache License , URL: /wiki/Apache_License
","6.0 / November 10, 2021",""
"LLBLGen Pro",".net , URL: /wiki/.net
","Source available for customers","Proprietary License","5.7 / May 25, 2020","Entity Framework Core , URL: /wiki/Entity_Framework_Core
Entity Framework , URL: /wiki/Entity_Framework
"
"Hibernate , URL: /wiki/Hibernate_(Java)
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Open source , URL: /wiki/Open-source_software
","GNU Lesser General Public License , URL: /wiki/GNU_Lesser_General_Public_License
","5.4.31 / April 30, 2021","JPA 2.0 , URL: /wiki/Java_Persistence_API
"
"MyBatis , URL: /wiki/MyBatis
iBATIS , URL: /wiki/IBATIS
","Cross-platform , URL: /wiki/Cross-platform
","Open source , URL: /wiki/Open-source_software
","Apache License , URL: /wiki/Apache_License
","",""
"jOOQ , URL: /wiki/Java_Object_Oriented_Querying
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Open source , URL: /wiki/Open-source_software
","Apache License , URL: /wiki/Apache_License
","3.2.0 / October 9, 2013",""
"ADO.NET Entity Framework , URL: /wiki/ADO.NET_Entity_Framework
",".NET 4.5","Part of .NET 4.5","Apache License , URL: /wiki/Apache_License
","v6.0 (2014)",""
"nHibernate , URL: /wiki/NHibernate
",".NET 4.5","Open source , URL: /wiki/Open-source_software
","GNU Lesser General Public License , URL: /wiki/GNU_Lesser_General_Public_License
","4.0 (2014-08-17[3])",""
"ODB , URL: /w/index.php?title=ODB_(C%2B%2B)&action=edit&redlink=1
","Cross-platform , URL: /wiki/Cross-platform
C++ , URL: /wiki/C%2B%2B
","Dual-licensed","GNU General Public License , URL: /wiki/GNU_General_Public_License
","2.4.0 / February 11, 2015",""
"RedBeanPHP , URL: /wiki/Redbean_(software)
","PHP","Open source , URL: /wiki/Open-source_software
","BSD License","4/April 1, 2014",""
"SQLAlchemy , URL: /wiki/SQLAlchemy
","Python","Open source , URL: /wiki/Open-source_software
","MIT License , URL: /wiki/MIT_License
","1.2.14 / November 10, 2018 (2018-11-10)",""
"SQLObject , URL: /wiki/SQLObject
","Python","Open source , URL: /wiki/Open-source_software
","LGPL , URL: /wiki/LGPL
","3.9.0 / December 15, 2020 (2020-12-15)",""
"Skipper , URL: /wiki/Skipper_(computer_software)
","PHP","Commercial","Proprietary software , URL: /wiki/Proprietary_software
","3.0",""
"Storm , URL: /wiki/Storm_(software)
","Python","Open source , URL: /wiki/Open-source_software
","LGPL , URL: /wiki/LGPL
","0.20 / June 28, 2013 (2013-06-28)",""
"TopLink , URL: /wiki/TopLink
","Java Virtual Machine , URL: /wiki/Java_Virtual_Machine
","Commercial","Oracle License","10g","JPA , URL: /wiki/Java_Persistence_API
"
"WebORB Integration Server , URL: /wiki/WebORB_Integration_Server
",".NET, Java, PHP","Open source , URL: /wiki/Open-source_software
","WebORB for .NET and WebORB for Java = Proprietary License, WebORB for PHP = Mozilla Public License","WebORB for .NET v.4.2 (Oct 2010), WebORB for Java v.4.0 (Sep 2010), WebORB for PHP (Sep 2008)",""
