"Name","Word processing Software , URL: /wiki/Word_processor
","Spreadsheet Software , URL: /wiki/Spreadsheet
","Presentation Software , URL: /wiki/Presentation_program
","Notetaking software , URL: /wiki/Comparison_of_notetaking_software
","Diagramming software","Raster graphics editor , URL: /wiki/Raster_graphics_editor
","Vector graphics editor , URL: /wiki/Vector_graphics_editor
","Image viewer , URL: /wiki/Image_viewer
","Formula editor , URL: /wiki/Formula_editor
","Database management software , URL: /wiki/Database_management_system
","Project management software , URL: /wiki/Project_management_software
","Desktop publishing software , URL: /wiki/Desktop_publishing_software
","Communication , URL: /wiki/Communication
","Calendaring software , URL: /wiki/Calendaring_software
","File hosting service , URL: /wiki/File_hosting_service
"
"Ability Office , URL: /wiki/Ability_Office
","Ability Write , URL: /wiki/Ability_Write
","Ability Spreadsheet , URL: /wiki/Ability_Spreadsheet
","Ability Presentation , URL: /wiki/Ability_Presentation
","No","Ability Draw , URL: /wiki/Ability_Draw
","Ability Photopaint , URL: /wiki/Ability_Photopaint
","Ability Draw , URL: /wiki/Ability_Draw
","Ability Photoalbum , URL: /wiki/Ability_Photoalbum
","No","Ability Database , URL: /wiki/Ability_Database
","No","No","No","No","No"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","OpenOffice Writer , URL: /wiki/OpenOffice.org
","OpenOffice Calc , URL: /wiki/OpenOffice.org
","OpenOffice Impress , URL: /wiki/Apache_OpenOffice
","No","OpenOffice Draw , URL: /wiki/OpenOffice.org
","No","OpenOffice Draw , URL: /wiki/OpenOffice.org
","No","OpenOffice Math , URL: /wiki/OpenOffice.org
","OpenOffice Base , URL: /wiki/OpenOffice.org
","Partial[e]","OpenOffice Draw , URL: /wiki/OpenOffice.org
","No","No","No"
"Discontinued - Breadbox Office , URL: /wiki/GEOS_(16-bit_operating_system)#Breadbox_Ensemble
","Writer","Spreadsheet","No","No","No","Artist","Artist","No","No","Geofile","No","No","No","No","No"
"Calligra Suite , URL: /wiki/Calligra_Suite
","Calligra Words , URL: /wiki/Calligra_Words
","Calligra Sheets , URL: /wiki/Calligra_Sheets
","Calligra Stage , URL: /wiki/Calligra_Stage
","Braindump","Calligra Flow , URL: /wiki/Calligra_Flow
","Krita , URL: /wiki/Krita
","Karbon , URL: /wiki/Karbon_(software)
","Gwenview , URL: /wiki/Gwenview
Digikam , URL: /wiki/Digikam
","KFormula , URL: /wiki/KFormula
","Kexi , URL: /wiki/Kexi
","Calligra Plan , URL: /wiki/Calligra_Plan
","Calligra Words , URL: /wiki/Calligra_Words
","No","No","No"
"Collabora Online , URL: /wiki/Collabora_Online
","Writer , URL: /wiki/Collabora_Online
","Calc , URL: /wiki/Collabora_Online
","Impress , URL: /wiki/Collabora_Online
","Partial[f]","Yes","Yes","Yes","Yes","Partial[g]","Partial[g]","Partial[e]","Draw , URL: /wiki/Collabora_Online
","Partial[f]","Partial[f]","Partial[f]"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No"
"GNU TeXmacs , URL: /wiki/GNU_TeXmacs
","Yes","Yes","Yes","No","No","No","Yes","No","High quality maths typesetting","No","No","under development","No","No","No"
"Discontinued - GobeProductive , URL: /wiki/GobeProductive
","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"Google Workspace , URL: /wiki/Google_Workspace
","Google Docs , URL: /wiki/Google_Docs
","Google Sheets , URL: /wiki/Google_Sheets
","Google Slides , URL: /wiki/Google_Slides
","Google Keep , URL: /wiki/Google_Keep
","Google Drawings , URL: /wiki/Google_Drawings
","Google Drawings , URL: /wiki/Google_Drawings
","Google Drawings , URL: /wiki/Google_Drawings
","Google Photos , URL: /wiki/Google_Photos
","Google Docs , URL: /wiki/Google_Docs
","Google Fusion Tables , URL: /wiki/Google_Fusion_Tables
","No","Google Slides , URL: /wiki/Google_Slides
","Google Chat , URL: /wiki/Google_Chat
Meet , URL: /wiki/Google_Meet
","Google Calendar , URL: /wiki/Google_Calendar
","Google Drive , URL: /wiki/Google_Drive
"
"Hancom Office , URL: /wiki/Hancom_Office
","Write","Calc","Show","No","No","No","No","No","No","No","No","No","No","No","No"
