"v t e Social networking services","v t e Social networking services"
"Personal , URL: /wiki/List_of_social_networking_websites
","23snaps Amikumu aNobii Ask.fm Badoo Bumble Clash Cloob Clubhouse Cyworld Diaspora display! Douban Draugiem.lv Ello Facebook Foursquare City Guide Foursquare Swarm Friendica Gab Gapo Gettr GNU social Hello Hi5 Idka Instagram IGTV IRC-Galleria Kumu Letterboxd LiveJournal Likee Marco Polo Mastodon MeetMe Meetup MeWe Miaopai micro.blog Minds Mixi Myspace My World Nextdoor Odnoklassniki (OK.ru) Parler Peach Pinterest Pixnet Plurk Qzone Readgeek Renren ShareChat Sina Weibo Slidely Snapchat SNOW Spaces Spotify Greenroom StudiVZ Tagged Taringa! TikTok Tinder Triller Truth Social Tuenti TV Time Tumblr Twitter Untappd Vero VK Whisper Yik Yak Yo"
"Professional , URL: /wiki/Professional_network_service
","Academia.edu Brainly BranchOut Edmodo Google Currents HCL Connections LinkedIn Moodle ResearchGate Sciencescape (Metaα) Solaborate Viadeo XING Yammer"
"Defunct , URL: /wiki/List_of_defunct_social_networking_websites
","App.net AsianAve Avatars United Bebo Bolt Capazoo eConozco Emojli eWorld Eyegroove FitFinder Formspring FriendFeed Friends Reunited Friendster Grono.net Google+ Google Buzz Heello Highlight Houseparty Hyves IdeaPlane iTunes Ping iWiW Jaiku Keek Lifeknot LunarStorm Me2day Meerkat MixBit Mobli Mugshot Multiply Musical.ly Natter Social Network Netlog NK.pl Orkut Path Periscope Pheed Piczo PlanetAll Posterous Pownce Qaiku SixDegrees.com So.cl Spring.me Streetlife Surfbook tbh Tea Party Community Third Voice tribe.net Tout Tsū tvtag Vine Windows Live Spaces Wretch Xanga Yahoo! 360° Yahoo! Kickstart Yahoo! Mash Yahoo! Meme"
"Services","Software comparison White-label Ning Wall.fm"
"Tools","Social network analysis software Diaspora (software) Web 2.0 Suicide Machine"
"Concepts","Attention inequality Cybersectarianism Fediverse 1+ million users Online identity Small-world experiment Small-world network Social network Thirst trap User profile Virtual community"
"Applications","Hospitality exchange service Mobile Online dating service (comparison) Social network advertising Social network hosting service"
"User interface , URL: /wiki/User_interface
","Activity stream Brand page Groups Hashtag Like button Online petitions Polling Reblogging Stories"
"Implications","Issues relating to social networking services Privacy issues Use in investigations User gender difference"
"Protocols","ActivityPub Distributed Social Networking Protocol (defunct) Micropub OpenSocial (defunct) OStatus Pump.io XMPP"
