"","MusicSync , URL: https://musicsync.ashishb.net
","Media Leap , URL: https://medialeap.com
","YouTube Music , URL: /wiki/YouTube_Music
","iBroadcast","iTunes Match , URL: /wiki/ITunes_Match
","VOX Music Cloud , URL: https://vox.rocks/vox-player-premium
"
"Owner:","MusicSync LLC","Media Leap Inc. , URL: /w/index.php?title=Media_Leap_Inc.&action=edit&redlink=1
","YouTube LLC , URL: /wiki/YouTube
Google LLC , URL: /wiki/Google
","iBroadcast Media, LLC","Apple Inc. , URL: /wiki/Apple_Inc.
","Coppertino Inc."
"Launch date:","2020-10-25","2020-12-11","2015-11-12","2012-06-15[9]","2011-10-12","2015-04-15[10]"
"Currently Available:","Yes","Yes","Yes","Yes","Yes","Yes"
"Web Client:","No","Yes","Yes","Yes","No","No"
"Windows Client:","No","No","No","Yes","No","In beta"
"Android App:","Yes","Yes","Yes","Yes","No","No"
"iOS App:","","Yes","Yes","Yes","Yes[11]","Yes"
"Other listening platforms:","Chromecast , URL: /wiki/Chromecast
","","Google Home , URL: /wiki/Google_Nest_(smart_speakers)
Sonos , URL: /wiki/Sonos
Chromecast , URL: /wiki/Chromecast
Android TV , URL: /wiki/Android_TV
Android Auto , URL: /wiki/Android_Auto
","","Apple TV , URL: /wiki/Apple_TV
AirPlay , URL: /wiki/AirPlay
","macOS , URL: /wiki/MacOS
Apple TV , URL: /wiki/Apple_TV
AirPlay , URL: /wiki/AirPlay
Chromecast , URL: /wiki/Chromecast
Sonos , URL: /wiki/Sonos
"
"Upload software:","Web browser and via Google Drive client","Web browser, in-app upload","Web browser[13]","Windows, macOS, Linux, Web browser","Windows, macOS","VOX Player for Mac, Web browser"
"Music Format:","MP3, MP4/M4A/ALAC/AAC, OGG, OPUS, WMA, FLAC, WAV, APE, WV, TTA, MPC, AIFF, DSD (DFF/DSF), MKA, MPGA, TAK, FLV","MP3, OGG, FLAC .","AAC[14]","AAC, FLAC, MKA, MP3, OGG, PCM","AAC, MP3","AAC, AIFF, ALAC, APE, FLAC, M4A, MP3, OGG, WAV, WMA"
"Filetypes matched:","MP3, MP4/M4A/ALAC/AAC, OGG, OPUS, WMA, FLAC, WAV, APE, WV, TTA, MPC, AIFF, DSD (DFF/DSF), MKA, MPGA, TAK, FLV","None","None[15]","None","AAC, AIFF, ALAC, MP3, WAV","None"
"Filetypes transcoded:","None","None","FLAC, M4A, MP3, OGG, WMA","","AIFF, ALAC, WAV","None"
"Maximum file size:","No Limit","No Limit","300 MB","","200 MB or 2 hours[16]","250 MB[17]"
"Free Bitrate:","Original Quality","Original Quality","256 kbit/s[13]","128 kbit/s[18]","None","None"
"Premium Bitrate:","Original Quality","Original Quality","256 kbit/s","320 kbit/s or Original[19]","256 kbit/s","Original Quality"
"Free Storage:[a]","Limited to Google Drive free plan","1 TB","Unlimited","Unlimited","None[20]","None[21]"
"Premium Storage:","","Unlimited","Unlimited","Unlimited","100,000 files[b][22]","Unlimited"
"Premium service features:","","Unlimited storage","Ads-free, background play, download music offline, use audio-only mode, travel with YouTube Music, shuffle downloads, Apple Carplay & Android Auto compatibility[23]","Higher bitrate streaming, equalizer, Android Auto, Carplay","","Custom Equalizer, Download music offline, Carplay, World Radio Stations, BS2B, Gap/Crossfade, Hog Mode, Sync Sample Rate and more premium audio features [24]"
"Premium pricing:","Based on Google Drive paid plan [25]","$5 per month","YouTube Music Premium , URL: /wiki/YouTube_Music#Subscriptions
","Free during Beta, $3.99 per month after launch[26]","Annual fee of $24.99 (US), £21.99 (UK), €24.99 (FR), $39.99 (AU) Included with $9.99 per month Apple Music subscription","$4.99 per month, $49.99 annually (VOX Premium)"
"Premium service countries:","","Worldwide","YouTube Music Premium , URL: /wiki/YouTube_Music#Subscriptions
","","117[28]","Worldwide"
