"","AIX , URL: /wiki/IBM_AIX
","*BSD , URL: /wiki/Berkeley_Software_Distribution
","HP-UX , URL: /wiki/HP-UX
","Linux , URL: /wiki/Linux
","OS X , URL: /wiki/OS_X
","Solaris , URL: /wiki/Solaris_(operating_system)
","Windows , URL: /wiki/Microsoft_Windows
","Others"
"Ansible , URL: /wiki/Ansible_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes (Need linux control machine)","Yes[103]"
"Bcfg2 , URL: /wiki/Bcfg2
","Partial[104]","Yes[105]","No","Yes[106]","Partial[107]","Yes","No","No"
"CFEngine , URL: /wiki/CFEngine
","Yes","Yes[105]","Yes","Yes","Yes","Yes","Yes (Enterprise version only)","Yes[108]"
"cdist , URL: /wiki/Cdist
","","Yes","","Yes","Yes","","No",""
"Chef , URL: /wiki/Chef_(software)
","Yes[109]","Yes","Yes","Yes","Yes","Yes","Yes[110]","Yes"
"ISconf , URL: /wiki/ISconf
","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Juju , URL: /wiki/Juju_(software)
","","","","Yes","","","Yes[111]",""
"LCFG , URL: /wiki/LCFG
","No","No","No","Partial[112]","Partial[113]","Partial[114]","No","No"
"OCS Inventory NG , URL: /wiki/OCS_Inventory_NG
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Opsi , URL: /wiki/Opsi
","No","No","No","Yes","No","No","Yes","No"
"PIKT","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes[115]"
"Puppet , URL: /wiki/Puppet_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes[116]","Yes"
"Quattor , URL: /wiki/Quattor
","No","No","No","Yes","Partial[117]","Yes","No","No"
"Radmind , URL: /wiki/Radmind
","Yes","Yes[105][118][119]","No","Yes","Yes","Yes","Yes","No"
"Rex , URL: /wiki/Rex_(software)
","","Yes","","Yes","Yes[120]","Yes","Yes[120]","No"
"Rudder , URL: /wiki/Rudder_(software)
","Yes","Partial[121]","No","Yes","Partial[121]","Partial[122]","Yes","Yes[123]"
"SmartFrog , URL: /wiki/SmartFrog
","No[124]","No[124]","Yes","Yes","Yes","Yes","Yes","No[124]"
"Salt , URL: /wiki/Salt_(Software)
","Yes","Yes","Partial[125]","Yes[126]","Yes","Yes[127]","Yes","Partial[125]"
"Spacewalk , URL: /wiki/Spacewalk_(software)
","No[128]","No","No","Yes[129]","No","No[130]","No","No"
"STAF , URL: /wiki/STAF
","Yes[131]","Yes[132]","Yes[133]","Yes[134]","Yes[135]","Yes[136]","Yes[137]","Yes[138]"
"Synctool , URL: /wiki/Synctool
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes[139]"
"Uyuni","No","No","No","Yes","No","No","No","No"
"","AIX , URL: /wiki/IBM_AIX
","*BSD , URL: /wiki/Berkeley_Software_Distribution
","HP-UX , URL: /wiki/HP-UX
","Linux , URL: /wiki/Linux
","OS X , URL: /wiki/OS_X
","Solaris , URL: /wiki/Solaris_(operating_system)
","Windows , URL: /wiki/Microsoft_Windows
","Others"
