"Name","License , URL: /wiki/Software_license
","Kernel , URL: /wiki/Kernel_(operating_system)
","programming language , URL: /wiki/Programming_language
","thread , URL: /wiki/Thread_(computing)
","OS family","EOL , URL: /wiki/End-of-life_(product)
","Forks , URL: /wiki/Fork_(software_development)
"
"Linux , URL: /wiki/Linux
","GPL version 2 only , URL: /wiki/GNU_General_Public_License
","Monolithic , URL: /wiki/Monolithic_kernel
","C , URL: /wiki/C_(programming_language)
","1:1","Unix-like , URL: /wiki/Unix-like
","4.4","elks , URL: /wiki/Embeddable_Linux_Kernel_Subset
"
"FreeBSD , URL: /wiki/FreeBSD
","BSD , URL: /wiki/BSD_licenses
","Monolithic with modules","C","1:1","BSD , URL: /wiki/Berkeley_Software_Distribution
","11","DragonFly BSD"
"OpenBSD , URL: /wiki/OpenBSD
","BSD","Monolithic","C","1:1","BSD, Unix-like","6.4","MirOS , URL: /wiki/MirOS
"
"NetBSD , URL: /wiki/NetBSD
","BSD","Monolithic with modules","C","1:1","BSD, Unix-like","7.0","OpenBSD"
"DragonFly BSD , URL: /wiki/DragonFly_BSD
","BSD","Hybrid , URL: /wiki/Hybrid_kernel
","C","1:1","BSD, Unix-like","No",""
"OpenSolaris , URL: /wiki/OpenSolaris
illumos , URL: /wiki/Illumos
","CDDL , URL: /wiki/Common_Development_and_Distribution_License
","Monolithic with modules","C","1:1, M:N","Unix , URL: /wiki/Unix
","No",""
"Darwin , URL: /wiki/Darwin_(operating_system)
OpenDarwin , URL: /wiki/OpenDarwin
","APSL , URL: /wiki/Apple_Public_Source_License
","Hybrid","C++ , URL: /wiki/C%2B%2B
","1:1","OS X , URL: /wiki/OS_X
","No",""
"MINIX , URL: /wiki/MINIX
","BSD","Microkernel , URL: /wiki/Microkernel
","C","","Unix-like","No",""
"RedoxOS , URL: /wiki/Redox_(operating_system)
","MIT","Microkernel , URL: /wiki/Microkernel
","Rust","","Unix-like","No",""
"FreeRTOS , URL: /wiki/FreeRTOS
","MIT , URL: http://www.freertos.org/a00114.html
","RTOS , URL: /wiki/Real-time_operating_system
","C","","RTOS","No",""
